ticker,entry_date,entry_price,entry_cap_m,entry_sma_dollar_vol,signal_date,signal_price,signal_cap_m,signal_return_pct,peak_date,peak_price,peak_cap_m,peak_return_pct,days_low_to_signal,days_low_to_peak,year
FLNC,2026-04-29,11.83,1571.16,108.27,2026-05-08,24.16,3208.73,104.23,2026-05-08,24.16,3208.73,104.23,10.0,10.0,2026
PENG,2026-03-30,16.24,824.14,24.83,2026-05-05,36.45,1849.75,124.45,2026-05-08,44.23,2244.56,172.35,37.0,40.0,2026
INOD,2026-03-30,34.45,1124.98,80.2,2026-05-08,84.89,2772.11,146.42,2026-05-08,84.89,2772.11,146.42,40.0,40.0,2026
OGN,2026-03-30,5.7,1496.82,41.34,2026-04-27,13.16,3455.83,130.88,2026-05-06,13.41,3521.48,135.26,29.0,38.0,2026
CRDO,2026-03-30,87.81,16196.55,896.17,2026-04-21,183.32,33813.36,108.77,2026-04-24,195.04,35975.12,122.12,23.0,26.0,2026
CRML,2026-03-30,6.67,978.68,235.54,2026-04-27,14.45,2120.23,116.64,2026-04-27,14.45,2120.23,116.64,29.0,29.0,2026
APLD,2026-03-30,20.54,5871.14,873.99,2026-05-06,44.24,12642.44,115.33,2026-05-06,44.24,12642.44,115.33,38.0,38.0,2026
ALAB,2026-03-30,100.27,17187.07,866.86,2026-04-24,212.84,36482.47,112.27,2026-04-24,212.84,36482.47,112.27,26.0,26.0,2026
WOLF,2026-03-30,14.8,715.41,62.42,2026-04-24,31.23,1509.62,111.01,2026-04-24,31.23,1509.62,111.01,26.0,26.0,2026
RIOT,2026-03-30,11.83,4473.53,350.95,2026-05-06,23.7,8962.18,100.34,2026-05-07,24.11,9117.23,103.8,38.0,39.0,2026
BB,2026-03-30,3.15,1851.83,35.46,2026-05-08,6.37,3744.81,102.22,2026-05-08,6.37,3744.81,102.22,40.0,40.0,2026
INBX,2026-03-27,58.39,852.92,20.18,2026-04-29,124.82,1823.28,113.77,2026-05-06,141.84,2071.9,142.92,34.0,41.0,2026
APLS,2026-03-27,16.97,2172.52,60.47,2026-03-31,40.23,5150.3,137.07,2026-05-06,41.12,5264.23,142.31,5.0,41.0,2026
