rule,param,rule_trigger_rate,median_capture,mean_capture,median_realized,mean_realized,p25_realized,p75_realized,losers
fixed_gain_200pct,2.0,0.054982817869415807,0.8162423106102707,0.7548074770591031,0.44432928257506377,0.5720873686031308,0.24219356987609686,0.7333095858450502,12
fixed_gain_150pct,1.5,0.10194730813287514,0.8151133084519869,0.7562067977299742,0.4496569018823168,0.5619605511550064,0.24377400494165424,0.7473631740844375,9
JUST_EXIT_BEFORE_EARN (baseline),,0.0,0.8139783648489675,0.7518278326170332,0.4422641958047644,0.5849034716605077,0.24072390707436253,0.7233704415042445,14
trail_adr_5.0x,5.0,0.06128293241695303,0.8113552432605575,0.7470474636011735,0.4297231670568151,0.5813925088039731,0.23732936883362615,0.7227597478533004,12
trail_adr_4.0x,4.0,0.12313860252004583,0.8034563717656436,0.7332999220300072,0.42244260773815145,0.5642173976815978,0.23105514763235607,0.7080992266945716,11
fixed_gain_100pct,1.0,0.2325315005727377,0.8002244569905119,0.7453831705422646,0.46181257332861547,0.5243982049425432,0.24676264929159075,0.8441412040275882,6
trail_pct_30pct,0.3,0.14261168384879724,0.7999999999999996,0.7216142440527711,0.41065297382929244,0.5296822519040905,0.22822587328164062,0.6753383237381395,7
trail_pct_25pct,0.25,0.2222222222222222,0.7865187019234672,0.6941296540363118,0.3895211564808825,0.4933181104321448,0.21028804524883327,0.6334793819948215,8
n_bar_then_earn_45,45.0,0.30011454753722794,0.7721830032912311,0.7210544697648171,0.4146153654774345,0.5413045277583269,0.23657751810401567,0.6769860741354099,9
fixed_gain_75pct,0.75,0.3699885452462772,0.7709539815777742,0.7179422048892022,0.47372156680739774,0.4754406348580694,0.24959799425190266,0.75,6
trail_adr_3.0x,3.0,0.28350515463917525,0.7525291398349017,0.6718077781946475,0.3709125334125335,0.5113708638462541,0.18512109489840334,0.6514110515386078,7
trail_pct_20pct,0.2,0.33276059564719357,0.7348903145467093,0.648576407426239,0.34556220823869555,0.4402475221292425,0.18994614060403536,0.5693064724126431,10
n_bar_then_earn_30,30.0,0.5549828178694158,0.7243001781818785,0.6730082777891592,0.3715280940534579,0.49354600726336095,0.21481865206906414,0.6208712882660389,7
lower_low_13,13.0,0.3785796105383734,0.7153594169028687,0.6530006121792473,0.364052062910057,0.49552885491018356,0.17963451588299556,0.6324128017871005,7
fixed_gain_50pct,0.5,0.5824742268041238,0.679779005524862,0.646954294582792,0.5,0.38664060311893583,0.2582813923653561,0.5,6
trail_adr_2.5x,2.5,0.41809851088201605,0.678576197834482,0.6165259536001774,0.32012698221041624,0.46378531282918717,0.15961860475940914,0.5881289105250771,10
ma_cross_20,20.0,0.5154639175257731,0.645384780389662,0.6181312099563405,0.32219021894218736,0.4537455399527826,0.1771842123597855,0.5705831560505568,7
trail_pct_15pct,0.15,0.5189003436426117,0.6037950906371958,0.5728812233725383,0.29130710655051106,0.3769975478012462,0.1589742093593185,0.48404541406945684,10
fixed_gain_40pct,0.4,0.6941580756013745,0.6036584597732846,0.5923808773983025,0.3999999999999999,0.3337280473001543,0.2769654468214354,0.3999999999999999,6
n_bar_then_earn_20,20.0,0.7823596792668958,0.5767343194587777,0.5692744963130684,0.30715015715015714,0.3945534633432415,0.179601362682054,0.4794502998225541,7
lower_low_8,8.0,0.6334478808705613,0.5547195622435025,0.5433542424934533,0.2627194837524621,0.3891381980339436,0.13742317879836147,0.49990020756825804,9
ma_cross_13,13.0,0.7101947308132875,0.5381053759863981,0.5352884879392743,0.26605723912177703,0.38158477266122326,0.14475951101011764,0.4773636221902086,7
trail_adr_2.0x,2.0,0.6036655211912944,0.5208320298418818,0.5268339525320026,0.2529161882270118,0.3877531215743314,0.12300372557357397,0.49069951860071953,9
trail_pct_12pct,0.12,0.6443298969072165,0.49652412804586754,0.5082217661298102,0.24910388744361822,0.32404104232841136,0.1289616817856739,0.42436154276303967,9
fixed_gain_30pct,0.3,0.7938144329896907,0.48361205345790526,0.5109088029714087,0.30000000000000004,0.2678845683122589,0.30000000000000004,0.30000000000000004,6
n_bar_then_earn_13,13.0,0.8923253150057274,0.47634416438489247,0.4917793056264848,0.25169599467902615,0.3261783684597837,0.15005051598470093,0.41014903577717654,7
ma_cross_10,10.0,0.8253150057273768,0.42088568856174824,0.45504873085711695,0.22088043721587003,0.31439787876887004,0.12111616411270398,0.3778516489343753,9
lower_low_5,5.0,0.8127147766323024,0.3994909190974135,0.44589798941058784,0.21358231998472033,0.3103818027288363,0.11027399890339706,0.3781394302848576,10
trail_pct_10pct,0.1,0.7520045819014891,0.39872891423140877,0.44445702246939356,0.20553591029287033,0.27182794593615817,0.10359845634715126,0.3712836882954181,9
trail_adr_1.5x,1.5,0.7857961053837342,0.3800971208155393,0.43156083360159797,0.19739676713489085,0.31195280060751407,0.09109615233860707,0.40393395606577215,11
ma_cross_8,8.0,0.8877434135166093,0.369070551664604,0.40900521782105825,0.1945176139474324,0.2837304514776331,0.1046272837688127,0.33706859350694957,7
n_bar_then_earn_8,8.0,0.9610538373424972,0.3569297570533194,0.38980903724701466,0.18512422246468319,0.2580879910708162,0.1098637088310595,0.31860223163210805,6
lower_low_3,3.0,0.9226804123711341,0.34419260246584465,0.38537754580873246,0.18467733039161616,0.2671067858855468,0.09005928536781588,0.3279325465333894,8
ma_cross_5,5.0,0.9455899198167239,0.33824364024837983,0.374602076641806,0.17464144331514797,0.2551952993731628,0.09137119173682845,0.31553657380396716,7
fixed_gain_20pct,0.2,0.918098510882016,0.3353459830304961,0.39898261410586416,0.19999999999999996,0.1902502295514692,0.19999999999999996,0.19999999999999996,6
trail_pct_8pct,0.08,0.8276059564719358,0.3309897820944948,0.389544785035002,0.17453211311732209,0.2329824653642525,0.08407409271652322,0.310935672352527,10
n_bar_then_earn_5,5.0,1.0,0.3128223191322823,0.35029379401267563,0.1516823308270676,0.23615565577871653,0.09148270113934087,0.28476210023426984,8
trail_adr_1.0x,1.0,0.9100801832760596,0.273011584890966,0.3362183132063633,0.14366915365552246,0.23746832091016082,0.0683514241779356,0.2817025795089609,11
ma_cross_3,3.0,0.9788087056128293,0.2692399526283617,0.31514116623067373,0.13732387011117764,0.21687025350257108,0.06613248978196529,0.2654505198305738,10
trail_pct_5pct,0.05,0.9398625429553265,0.22777056554164984,0.29622939886819954,0.1265438352972169,0.17297657705776204,0.06310780236201846,0.22515873015873022,11
n_bar_then_earn_3,3.0,1.0,0.21530561757840236,0.26373696686368897,0.11036437970554724,0.17630550503529785,0.06208570472045544,0.21577617985709746,12
trail_adr_0.5x,0.5,0.9822451317296678,0.17539007664912296,0.23378671670396936,0.09450270745331568,0.1663605147345146,0.04425409124589186,0.19300895487576147,11
trail_pct_3pct,0.03,0.9833906071019473,0.17402548725637193,0.23424113321886614,0.09704411429717541,0.1394767115525974,0.04683497661573427,0.175703929519531,11
fixed_gain_10pct,0.1,0.981672394043528,0.1719041831133085,0.22302298772926502,0.10000000000000009,0.09765171533180392,0.10000000000000009,0.10000000000000009,6
