rule,param,trigger_rate,n_triggered,median_capture,mean_capture,median_realized,mean_realized,p25_capture,p75_capture
fixed_gain_10pct,0.1,0.9984615384615385,1947,0.08858180529719203,0.08072367593205854,0.10000000000000009,0.10000000000000007,0.07309140323719676,0.0962371282840921
fixed_gain_20pct,0.2,0.9984615384615385,1947,0.17716361059438387,0.1614473518641169,0.19999999999999996,0.19999999999999998,0.14618280647439336,0.19247425656818398
fixed_gain_30pct,0.3,0.997948717948718,1946,0.26575718703863005,0.2421788426964014,0.30000000000000004,0.3,0.2192541758876571,0.2887113848522761
fixed_gain_50pct,0.5,0.9969230769230769,1944,0.4429286450643831,0.40362692065229716,0.5,0.5,0.3654904058925385,0.48118564142046005
fixed_gain_75pct,0.75,0.9887179487179487,1928,0.6640106293747691,0.605125283282781,0.75,0.75,0.5480653315821086,0.7215180752798609
fixed_gain_100pct,1.0,0.9256410256410257,1805,0.8786574114752657,0.8007115373645488,1.0,1.0,0.7195279896387969,0.9610764055742431
fixed_gain_150pct,1.5,0.442051282051282,862,1.1102889731276702,1.0377065601226836,1.5,1.5,0.7661960271503415,1.3625525340146112
fixed_gain_200pct,2.0,0.25333333333333335,494,1.2275992569136447,1.2481774574481541,2.0,2.0,0.8261918412122488,1.771557735854929
fixed_gain_300pct,3.0,0.09743589743589744,190,1.2863843539831443,1.5116014143321779,3.0,3.0,0.7629562902035015,2.4587988483906504
fixed_gain_500pct,5.0,0.035897435897435895,70,1.2974269622802685,2.0776623814729,5.0,5.0,0.8394598568656545,3.5892111783956038
fixed_gain_1000pct,10.0,0.0071794871794871795,14,3.049494370651855,3.9294026886789077,10.0,10.0,0.586932710295451,7.178422356791207
n_bar_exit_1,1.0,1.0,1950,0.04031198074233826,0.07243168037264625,0.051964109408710324,0.10757109750454587,0.018194801913539557,0.0884402763411936
n_bar_exit_2,2.0,1.0,1950,0.06252980997646725,0.10617857003933677,0.07944866018591301,0.15140417520454275,0.030362820130419375,0.1260517611700712
n_bar_exit_3,3.0,1.0,1950,0.08842199032438461,0.13757285942011538,0.11176031057864655,0.19260497799445817,0.045472281426162664,0.17323933401317274
n_bar_exit_5,5.0,1.0,1950,0.12337960118364705,0.1833402430324872,0.15376118143339645,0.24811133942261773,0.06929487531041952,0.23036161972353847
n_bar_exit_8,8.0,0.9994871794871795,1949,0.15492662232519203,0.20613177442652542,0.19455894476504532,0.2761167333284543,0.08520019666807879,0.26724765124115857
n_bar_exit_13,13.0,0.9994871794871795,1949,0.21215235965002266,0.2652920347928074,0.27311411992263035,0.3516350085095337,0.12536020948964727,0.34813519228516965
n_bar_exit_20,20.0,0.9994871794871795,1949,0.2722566329172489,0.32895827114808324,0.3463776549316264,0.4391233219597029,0.15695150315145148,0.42354415520484895
n_bar_exit_30,30.0,0.9933333333333333,1937,0.37101777276581704,0.4369804270407217,0.46496815286624193,0.5814410829764861,0.20999723894868902,0.5660395409180151
n_bar_exit_45,45.0,0.9897435897435898,1930,0.4868155327838696,0.555159088935002,0.5948735980709642,0.7603305990107257,0.299465553471114,0.7175731403697725
n_bar_exit_60,60.0,0.9856410256410256,1922,0.5900024385734846,0.6520130252470238,0.7257852215453384,0.8796501715125646,0.38402824249476514,0.8237420608710805
n_bar_exit_90,90.0,0.9805128205128205,1912,0.7352919333821792,0.8004912155044354,0.8942075117437758,1.1193269726093897,0.5259101549622738,0.951342819537497
n_bar_exit_120,120.0,0.9466666666666667,1846,0.8725356633843369,0.9139936988235127,1.052941225536809,1.2685785952896036,0.6536217170966825,1.047132292853791
trail_pct_2pct,0.02,0.9994871794871795,1949,0.050433667274776155,0.08571482205370437,0.06653369425844136,0.12034180365434281,0.020821378629457262,0.11207507257512539
trail_pct_5pct,0.05,0.9989743589743589,1948,0.08722851281807964,0.12950299651401595,0.10988680078198909,0.17428984201182088,0.035386700025892066,0.17584708629074877
trail_pct_8pct,0.08,0.9943589743589744,1939,0.1387075647281146,0.20160297712758665,0.17737183264584577,0.2644090090090773,0.05831392312547004,0.27473628533996886
trail_pct_10pct,0.1,0.9764102564102564,1904,0.17200147198625612,0.2488544958350052,0.21943943654065645,0.32577961910614833,0.07085810585913378,0.35416779301074763
trail_pct_15pct,0.15,0.8471794871794872,1652,0.2730289046011547,0.3620865906676798,0.34279299040933975,0.49201625071071464,0.12592410986440594,0.525340973634959
trail_pct_20pct,0.2,0.683076923076923,1332,0.35932961583893847,0.4408794415737502,0.46230334666510486,0.6261685863844402,0.16712849492369514,0.6349374746201634
trail_pct_25pct,0.25,0.49538461538461537,966,0.46760715756585114,0.5048880169275209,0.5453791757037194,0.7592314788629432,0.19743382282810207,0.6307710092630825
trail_pct_30pct,0.3,0.39179487179487177,764,0.46742992848754017,0.5236736358964637,0.5659997596731553,0.8206737912082969,0.24741184477292166,0.6056080406420594
trail_pct_40pct,0.4,0.2271794871794872,443,0.3751567435709441,0.5002559195105121,0.5121951219512195,1.0188396731402092,0.25096530290221575,0.5730270492393917
trail_pct_50pct,0.5,0.1276923076923077,249,0.27636534839924665,0.4431890619637586,0.424635332252836,1.0007059117835024,0.13766913968096237,0.5104098920730051
trail_adr_0.5x,0.5,0.9866666666666667,1924,0.05857476935803524,0.10179812192252796,0.07453416304581328,0.14417702050834713,0.021918542616651052,0.1323423426437152
trail_adr_1.0x,1.0,0.9841025641025641,1919,0.10158846259830258,0.16529507831488738,0.12794550810014726,0.2264867204632762,0.03944084915935362,0.21276936125301396
trail_adr_1.5x,1.5,0.9641025641025641,1880,0.15286778650182098,0.2413936577146982,0.1934753689036246,0.32819584825076464,0.06519113787301976,0.3311242095147279
