rule,param,trigger_rate,n_triggered,median_capture,mean_capture,median_realized,mean_realized,p25_capture,p75_capture
fixed_gain_10pct,0.1,0.9984615384615385,1947,0.08858180529719203,0.08072367593205854,0.10000000000000009,0.10000000000000007,0.07309140323719676,0.0962371282840921
fixed_gain_20pct,0.2,0.9984615384615385,1947,0.17716361059438387,0.1614473518641169,0.19999999999999996,0.19999999999999998,0.14618280647439336,0.19247425656818398
fixed_gain_30pct,0.3,0.997948717948718,1946,0.26575718703863005,0.2421788426964014,0.30000000000000004,0.3,0.2192541758876571,0.2887113848522761
fixed_gain_50pct,0.5,0.997948717948718,1946,0.4429286450643831,0.40363140449400225,0.5,0.5,0.36542362647942844,0.48118564142046005
fixed_gain_75pct,0.75,0.9958974358974358,1942,0.6643341170743902,0.6053320548650686,0.75,0.75,0.5481354397191427,0.7217437378709897
fixed_gain_100pct,1.0,0.9933333333333333,1937,0.8854258898530193,0.8067482600252728,1.0,1.0,0.7306736811340055,0.9620935154897057
fixed_gain_150pct,1.5,0.6307692307692307,1230,1.2114360265341864,1.1171240992809164,1.5,1.5,0.8932559201963783,1.4148277307195514
fixed_gain_200pct,2.0,0.3902564102564103,761,1.5120586678763133,1.3738741856083665,2.0,2.0,0.9580838323353293,1.8491124260355032
fixed_gain_300pct,3.0,0.16564102564102565,323,1.6764459346186087,1.749554410609963,3.0,3.0,0.9659786873267746,2.595832166134756
fixed_gain_500pct,5.0,0.05692307692307692,111,1.9674195325411192,2.3325496290028296,5.0,5.0,0.9131407985897999,3.9813078704745477
fixed_gain_1000pct,10.0,0.011282051282051283,22,4.266542668099515,4.687649890001089,10.0,10.0,0.7789077144859181,8.555123245075734
n_bar_exit_1,1.0,1.0,1950,0.04031198074233826,0.07243168037264625,0.051964109408710324,0.10757109750454587,0.018194801913539557,0.0884402763411936
n_bar_exit_2,2.0,1.0,1950,0.06252980997646725,0.10617857003933677,0.07944866018591301,0.15140417520454275,0.030362820130419375,0.1260517611700712
n_bar_exit_3,3.0,1.0,1950,0.08842199032438461,0.13757285942011538,0.11176031057864655,0.19260497799445817,0.045472281426162664,0.17323933401317274
n_bar_exit_5,5.0,1.0,1950,0.12337960118364705,0.1833402430324872,0.15376118143339645,0.24811133942261773,0.06929487531041952,0.23036161972353847
n_bar_exit_8,8.0,0.9994871794871795,1949,0.15492662232519203,0.20613177442652542,0.19455894476504532,0.2761167333284543,0.08520019666807879,0.26724765124115857
n_bar_exit_13,13.0,0.9994871794871795,1949,0.21215235965002266,0.2652920347928074,0.27311411992263035,0.3516350085095337,0.12536020948964727,0.34813519228516965
n_bar_exit_20,20.0,0.9994871794871795,1949,0.2722566329172489,0.32895827114808324,0.3463776549316264,0.4391233219597029,0.15695150315145148,0.42354415520484895
n_bar_exit_30,30.0,0.9933333333333333,1937,0.37101777276581704,0.4369804270407217,0.46496815286624193,0.5814410829764861,0.20999723894868902,0.5660395409180151
n_bar_exit_45,45.0,0.9897435897435898,1930,0.4868155327838696,0.555159088935002,0.5948735980709642,0.7603305990107257,0.299465553471114,0.7175731403697725
n_bar_exit_60,60.0,0.9856410256410256,1922,0.5900024385734846,0.6520130252470238,0.7257852215453384,0.8796501715125646,0.38402824249476514,0.8237420608710805
n_bar_exit_90,90.0,0.9805128205128205,1912,0.7352919333821792,0.8004912155044354,0.8942075117437758,1.1193269726093897,0.5259101549622738,0.951342819537497
n_bar_exit_120,120.0,0.9466666666666667,1846,0.8725356633843369,0.9139936988235127,1.052941225536809,1.2685785952896036,0.6536217170966825,1.047132292853791
n_bar_exit_150,150.0,0.936923076923077,1827,0.932615246730555,1.0099533182840823,1.1533187909005918,1.3752081870250186,0.5883952798384737,1.253888886931783
n_bar_exit_180,180.0,0.92,1794,0.9836956751837591,1.1192743152996978,1.2534532043393223,1.5306006440789899,0.5837057841576524,1.428798739011132
trail_pct_2pct,0.02,0.9994871794871795,1949,0.050433667274776155,0.08571482205370437,0.06653369425844136,0.12034180365434281,0.020821378629457262,0.11207507257512539
trail_pct_5pct,0.05,0.9989743589743589,1948,0.08722851281807964,0.12950299651401595,0.10988680078198909,0.17428984201182088,0.035386700025892066,0.17584708629074877
trail_pct_8pct,0.08,0.9984615384615385,1947,0.1397822591779889,0.20524340027846813,0.1788022404136147,0.2680517053595331,0.05857480163025475,0.2777486862059352
trail_pct_10pct,0.1,0.9969230769230769,1944,0.17585933581501823,0.2636791091768048,0.22878320337078772,0.3427922787747692,0.07274620160192768,0.36871691476762586
trail_pct_15pct,0.15,0.9441025641025641,1841,0.3135626209639075,0.4179244216179394,0.3966725043782837,0.5495559539823354,0.13808601811768312,0.675244127564888
trail_pct_20pct,0.2,0.8256410256410256,1610,0.4734177078947537,0.5121578199185883,0.582423204065669,0.7070252478997121,0.20288781248144672,0.7049946328072315
trail_pct_25pct,0.25,0.6682051282051282,1303,0.5450511011683916,0.5788206327777937,0.643872113676732,0.8449135629300993,0.27028863497595434,0.7044180965314059
trail_pct_30pct,0.3,0.5446153846153846,1062,0.4992733051469205,0.5836544029269769,0.632527309039328,0.8874660630855131,0.3568230171859489,0.6704122131652395
trail_pct_40pct,0.4,0.3553846153846154,693,0.3846233723745233,0.5268036498148642,0.5254777070063694,0.9647848972263096,0.2575523355240237,0.6020519324365254
trail_pct_50pct,0.5,0.2271794871794872,443,0.26709519672402476,0.4294759642404814,0.43041237113402064,0.9009415813476729,0.12064944369959985,0.4879916123962488
trail_adr_0.5x,0.5,0.9866666666666667,1924,0.05857476935803524,0.10179812192252796,0.07453416304581328,0.14417702050834713,0.021918542616651052,0.1323423426437152
