PRESIGNAL 3-4DB MEDIUM SURVIVORS
Tier rule: 18/20  features=20
EX pass: 26/26 (100.0%)
NE pass: 301/524 (57.4%)
RANDOM pass: 181/8101 (2.2%)
Ratio: 25.71x

NON-EXAMPLE SURVIVORS:
  AA        2022-03-18
  AAOI      2024-12-16
  ACAD      2023-06-06
  ACDC      2022-12-02
  ACHR      2025-01-17
  ACLX      2023-05-19, 2023-12-18
  ADPT      2020-10-26
  AEVA      2025-07-09
  AEYE      2024-06-06
  AIR       2021-03-26
  AIT       2021-03-30
  ALHC      2022-08-23
  ALLO      2026-03-19
  ALLT      2025-10-15
  AMBQ      2026-01-29
  AMBR      2020-09-15
  AMD       2023-06-29
  AMR       2021-11-05
  AMRX      2020-06-18
  AMZN      2020-07-28
  APLD      2025-10-27, 2026-02-10
  APPS      2025-10-21
  AQST      2020-06-02
  ARKK      2023-07-26
  ARLO      2024-06-12
  AROC      2025-02-05
  ASTH      2021-08-05
  ASTS      2024-09-04
  ATER      2021-03-08
  ATOM      2025-01-23
  ATRO      2021-03-29
  AUR       2024-10-10
  AVAV      2021-02-05
  AZTA      2021-05-07
  BE        2026-02-11
  BEAM      2021-02-01
  BEEM      2022-12-16
  BILL      2020-05-28
  BIOA      2026-01-27
  BKCH      2021-11-30, 2024-12-12
  BLD       2021-02-02
  BLDR      2021-02-02
  BLND      2024-12-23
  BNR       2020-11-09
  BOC       2021-03-10
  BRBR      2020-12-31
  BTBT      2023-06-12
  BTDR      2025-01-16
  BTQ       2025-07-24
  BWXT      2025-10-27
  BXC       2021-03-03
  CARG      2022-03-17
  CATX      2024-05-20
  CCJ       2025-11-11
  CCS       2021-03-01
  CELH      2021-10-05
  CEPU      2024-12-26
  CGEM      2026-02-17
  CHWY      2025-02-12
  CLF       2021-08-25
  CLMT      2021-12-07
  CLNE      2021-03-01
  CLOV      2025-02-13
  CMBM      2020-10-30
  CNR       2021-09-22
  COHR      2025-11-24
  COIN      2021-11-24
  COKE      2021-12-15
  COLB      2020-12-01, 2020-12-03
  CONL      2023-02-16
  CORZ      2024-11-05
  CRDO      2022-08-18
  CRMT      2021-01-29, 2021-03-30
  CROX      2021-01-29
  CTMX      2026-02-11
  CTRA      2022-03-18
  CTRN      2021-03-30
  CUBI      2021-06-23
  CVGI      2021-05-27
  CYH       2020-11-17
  DAKT      2024-12-26
  DAPP      2024-12-13
  DDD       2021-01-05
  DHT       2022-11-29
  DNN       2023-10-06
  DSP       2024-12-24
  DVS       2025-10-15, 2025-10-20
  DXPE      2025-09-15
  EFXT      2026-03-17
  ELF       2023-08-22, 2025-09-30
  EMBC      2022-08-31
  ENOV      2021-03-22
  ENPH      2021-01-28
  ENVX      2021-12-06, 2021-12-08
  EOSE      2023-07-17
  EPAC      2021-03-30
  EVER      2024-03-11
  EYPT      2025-10-08
  FBNC      2021-03-30
  FDMT      2025-11-12
  FLEX      2021-01-28
  FLNC      2023-06-29
  FLNG      2022-04-28
  FTAI      2023-03-16
  FTK       2026-01-22
  FULT      2021-03-26
  GDS       2020-07-17
  GEV       2026-03-11
  GGAL      2023-07-11, 2025-01-29
  GOLD      2022-03-17, 2024-04-23
  GPGI      2026-02-09
  GRWG      2021-02-01
  GTLB      2024-02-22
  HCI       2021-10-28
  HII       2026-03-09
  HOOD      2024-06-26
  HOV       2023-06-29
  HROW      2023-02-28, 2026-01-14
  HST       2021-03-30
  HTZWW     2021-11-12
  HUT       2025-10-28
  HYMC      2025-09-29
  HZO       2021-02-08
  IBOC      2021-03-26
  ICLR      2021-10-07
  IIPR      2021-02-01
  INOD      2025-10-16
  INSM      2020-11-05
  INTT      2021-07-12
  INVX      2026-02-09
  IONQ      2023-08-14
  IRDM      2020-07-01
  JAKK      2022-08-18
  JELD      2021-02-05
  JMIA      2021-01-08
  JOYY      2025-03-03
  KALV      2024-02-16
  KOD       2026-01-09
  KRUS      2023-07-26
  LABD      2022-05-19
  LAR       2026-02-09
  LEU       2025-10-27
  LMND      2021-01-22
  LOVE      2021-02-12
  LPG       2024-01-12
  LPTH      2026-01-29
  LXEO      2025-11-11
  MATW      2021-03-29
  MAXN      2021-02-04
  MBIO      2021-02-03
  MEG       2021-02-02
  METC      2022-03-18
  MGNI      2021-03-01
  MGPI      2021-03-03, 2021-03-08
  MRNA      2024-06-06
  MSOS      2025-09-16
  MSOX      2024-02-22
  MSTR      2021-02-26, 2024-12-04
  MSTY      2024-12-04
  MTRX      2021-02-02
  MTSI      2025-11-24
  MTZ       2021-05-25
  MU        2025-11-25
  MULL      2025-11-28
  MUU       2025-11-28
  MVST      2025-10-31
  NAIL      2021-02-04
  NBTB      2021-03-29
  NCLH      2020-12-23
  NEXA      2026-02-11
  NINE      2023-01-27
  NIU       2021-02-10
  NMIH      2020-11-04
  NN        2025-09-11
  NNDM      2021-02-03
  NTB       2021-03-30
  NTGR      2020-06-15
  NTNX      2021-01-07
  OFIX      2021-02-02
  OKLO      2025-10-29
  ONDS      2025-10-27
  ONTO      2021-12-15
  OPEN      2020-12-29
  ORGO      2021-03-31
  ORMP      2021-10-07
  ORN       2026-02-24
  PACB      2021-02-01
  PBF       2025-10-06, 2025-11-28
  PBYI      2024-02-28
  PCT       2021-03-02
  PEN       2025-03-05
  PENG      2021-03-11
  PENN      2020-06-12
  PGNY      2021-01-29
  PHAT      2024-09-25
  PNTG      2021-01-04, 2021-01-20
  PODD      2020-05-20
  PR        2021-03-22
  PSNL      2020-09-09
  PTEN      2021-07-12
  PTON      2020-09-17
  PUMP      2026-04-07
  PVH       2020-10-02
  QRVO      2021-02-02
  QS        2025-10-27
  QUIK      2024-03-22
  RGNX      2025-11-12
  RIGL      2021-03-01
  RKLB      2026-02-03
  RL        2021-02-02
  RXST      2023-08-14
  SBLK      2021-06-01
  SBSI      2021-03-26
  SEI       2022-06-15, 2024-12-26
  SHAK      2020-09-28
  SIGA      2025-08-29
  SITE      2021-02-02
  SMCI      2023-03-20
  SMR       2024-12-06
  SNBR      2021-03-11
  SNDK      2025-11-28
  SNOW      2025-11-18
  SOUN      2025-01-06, 2025-10-27
  SOXL      2023-06-26
  SPT       2020-06-16, 2021-02-26
  SRTS      2022-03-09
  SRTY      2022-05-20
  SSB       2020-11-23
  SSRM      2026-03-10
  STIM      2021-02-05
  STLD      2021-03-25
  STOK      2021-02-03
  STX       2026-02-18
  SUNWQ     2022-08-31
  SUPV      2024-04-19, 2025-01-23, 2025-01-29
  SVIX      2023-02-13
  SYF       2021-02-03
  TBRG      2025-03-17
  TCRT      2021-02-26
  TE        2025-10-30
  TEM       2025-09-30
  TEX       2021-03-30
  TGB       2021-03-09
  THC       2025-11-05
  TITN      2022-12-20
  TMDX      2021-03-09
  TNK       2022-10-03, 2023-11-21
  TPR       2021-04-05
  TQQQ      2021-05-06
  TRVI      2025-11-25
  TSMX      2025-10-23
  TTI       2025-11-04
  TWM       2022-05-20
  TWST      2026-02-26, 2026-03-04
  TX        2021-05-21
  TZA       2022-05-20
  UAMY      2025-05-05
  UCTT      2021-02-26
  UEC       2023-12-20
  UMBF      2021-03-29
  UNM       2022-05-25
  URBN      2021-03-30
  URNM      2023-10-10
  USAU      2026-01-08
  UUUU      2021-03-10, 2021-11-24
  VICR      2026-02-11
  VIST      2023-07-31
  VSTM      2021-05-14
  WAY       2025-02-27
  WFRD      2021-11-22
  WPRT      2021-03-01
  WRAP      2020-06-15
  WTERD     2020-07-28
  WWW       2021-03-30
  WYNN      2021-04-01
  XPRO      2021-03-17
  XXXX      2024-07-31
  ZBIO      2025-12-19

278 unique tickers, 301 clusters
