PRESIGNAL 3-4DB TIGHT SURVIVORS
Tier rule: strict AND  features=30
EX pass: 26/26 (100.0%)
NE pass: 99/524 (18.9%)
RANDOM pass: 57/8101 (0.7%)
Ratio: 26.85x

NON-EXAMPLE SURVIVORS:
  AA        2022-03-18
  AAOI      2024-12-16
  ACHR      2025-01-17
  ACLX      2023-05-19
  ADPT      2020-10-26
  AEYE      2024-06-06
  ALLT      2025-10-15
  AMBR      2020-09-15
  AMD       2023-06-29
  APLD      2025-10-27
  AQST      2020-06-02
  ATRO      2021-03-29
  AUR       2024-10-10
  AVAV      2021-02-05
  AZTA      2021-05-07
  BE        2026-02-11
  BEAM      2021-02-01
  BILL      2020-05-28
  BKCH      2021-11-30
  BLD       2021-02-02
  BNR       2020-11-09
  BOC       2021-03-10
  BTDR      2025-01-16
  CARG      2022-03-17
  CATX      2024-05-20
  CCS       2021-03-01
  CELH      2021-10-05
  CEPU      2024-12-26
  CGEM      2026-02-17
  CLF       2021-08-25
  CLMT      2021-12-07
  CMBM      2020-10-30
  CORZ      2024-11-05
  CRMT      2021-03-30
  CYH       2020-11-17
  DDD       2021-01-05
  DSP       2024-12-24
  EMBC      2022-08-31
  ENVX      2021-12-06, 2021-12-08
  EVER      2024-03-11
  FDMT      2025-11-12
  FLNG      2022-04-28
  GDS       2020-07-17
  GGAL      2023-07-11, 2025-01-29
  GPGI      2026-02-09
  GTLB      2024-02-22
  HROW      2026-01-14
  HTZWW     2021-11-12
  HUT       2025-10-28
  IBOC      2021-03-26
  INOD      2025-10-16
  IONQ      2023-08-14
  IRDM      2020-07-01
  JAKK      2022-08-18
  JMIA      2021-01-08
  KRUS      2023-07-26
  LMND      2021-01-22
  LOVE      2021-02-12
  LXEO      2025-11-11
  MEG       2021-02-02
  MGNI      2021-03-01
  MRNA      2024-06-06
  MSTY      2024-12-04
  NEXA      2026-02-11
  NINE      2023-01-27
  NTGR      2020-06-15
  OKLO      2025-10-29
  ONDS      2025-10-27
  ORN       2026-02-24
  PBF       2025-11-28
  PCT       2021-03-02
  PENG      2021-03-11
  PGNY      2021-01-29
  PNTG      2021-01-04
  PODD      2020-05-20
  QS        2025-10-27
  RGNX      2025-11-12
  RKLB      2026-02-03
  RL        2021-02-02
  SMR       2024-12-06
  SOUN      2025-10-27
  SPT       2020-06-16
  SRTS      2022-03-09
  SSRM      2026-03-10
  STLD      2021-03-25
  SUPV      2025-01-29
  TMDX      2021-03-09
  TNK       2022-10-03
  TSMX      2025-10-23
  TWST      2026-03-04
  UCTT      2021-02-26
  USAU      2026-01-08
  UUUU      2021-11-24
  WFRD      2021-11-22
  WWW       2021-03-30
  XPRO      2021-03-17
  XXXX      2024-07-31

97 unique tickers, 99 clusters
