PRESIGNAL BASE LOOSE SURVIVORS
Tier rule: 12/15  features=15
EX pass: 37/37 (100.0%)
NE pass: 306/503 (60.8%)
RANDOM pass: 835/8101 (10.3%)
Ratio: 5.90x

NON-EXAMPLE SURVIVORS:
  AAT       2021-08-18
  ACAD      2025-07-28
  ADPT      2024-12-24, 2025-09-15
  AEIS      2020-07-27, 2020-07-29
  AGX       2026-03-19
  AGYS      2023-01-23
  AIR       2025-12-30
  ALG       2021-04-28
  ALGN      2021-06-22
  ALKT      2024-02-06, 2024-02-08
  ALNY      2022-11-10, 2022-11-25
  ALRM      2024-02-07
  AMH       2020-07-21
  AMSC      2024-10-29, 2024-10-31
  AMWD      2021-03-08
  AMZU      2024-10-29
  AN        2021-04-13
  ANET      2023-08-30
  AOSL      2021-10-22
  APA       2022-04-01
  APGE      2024-09-10, 2024-09-13
  APP       2024-06-28
  APPS      2020-12-11
  ARES      2020-09-29, 2021-03-23
  ASTE      2021-03-08
  ATAI      2025-09-22
  ATAT      2025-08-25
  ATI       2025-10-22
  ATMU      2025-11-24
  ATRO      2025-12-26, 2025-12-31
  AUB       2021-03-04
  AXGN      2021-02-16
  BBIO      2020-11-05
  BG        2021-04-07, 2021-04-14
  BRBR      2023-09-29
  BTU       2025-12-12, 2026-01-02
  C         2024-03-14
  CAKE      2025-05-09
  CALM      2022-08-30
  CALX      2025-08-21
  CALY      2020-08-18
  CBOE      2021-08-10
  CC        2020-07-14
  CCJ       2025-09-09
  CCS       2023-06-23
  CELH      2021-08-26
  CHEF      2021-04-12
  CHH       2024-10-15, 2024-10-18
  CI        2022-10-12
  CIBR      2021-02-05
  CLH       2021-03-04
  CMG       2020-12-10, 2020-12-14
  CNDT      2021-02-02, 2021-02-05
  CNK       2024-07-24, 2024-07-26
  CNR       2021-07-28
  CNTA      2026-03-25
  COCO      2026-01-27
  COF       2021-03-30, 2021-07-28
  COMP      2024-09-06
  CRAI      2024-10-03
  CRVL      2021-06-16
  CSW       2024-04-18
  CSX       2020-10-09
  CTRA      2022-02-28
  CUBE      2024-08-16
  CW        2021-03-31
  CX        2021-04-12
  CYH       2020-10-26
  DAC       2021-08-17, 2022-01-14
  DBD       2025-10-30, 2025-11-03
  DDOG      2020-09-25
  DFIN      2021-09-30
  DFTX      2026-03-25
  DGII      2022-10-11
  DIOD      2026-04-01
  DKNG      2020-08-24, 2021-01-28
  DLR       2024-02-05
  DRH       2021-03-08
  DVN       2021-05-26
  DY        2024-02-21
  EAT       2020-11-05, 2021-03-09, 2024-09-16
  EGBN      2021-05-20, 2021-05-27
  EGP       2020-07-23
  EMBJ      2025-06-13, 2025-12-23
  EQT       2022-02-24
  ERIE      2022-10-20
  ESI       2021-03-05
  ESRT      2021-05-27
  ESTA      2021-04-22
  EVH       2022-07-21
  EWTX      2026-03-24, 2026-03-26, 2026-03-31
  EXE       2022-02-16
  EYE       2021-07-13, 2021-07-15
  FCG       2021-05-25, 2021-05-28
  FIX       2022-10-17
