PRESIGNAL BF LOOSE SURVIVORS
Tier rule: 12/15  features=15
EX pass: 45/45 (100.0%)
NE pass: 289/400 (72.2%)
RANDOM pass: 372/8101 (4.6%)
Ratio: 15.73x

NON-EXAMPLE SURVIVORS:
  AAPB      2024-06-25
  AAPU      2024-06-25
  ABCL      2025-07-03
  ACMR      2024-03-12
  ADTN      2024-11-19
  AEHR      2025-07-16
  AEO       2020-09-25
  AGX       2025-11-24
  ALM       2026-02-19
  ALRM      2020-11-24
  ALTO      2020-10-13
  AMPX      2025-06-24, 2025-07-02
  AMRC      2020-12-30, 2021-01-19
  AMSC      2020-10-05, 2020-10-12
  ANF       2021-04-06
  ANNX      2025-12-17
  ARAY      2020-12-07
  ARCB      2021-02-22, 2021-09-24
  ARLO      2020-12-11
  ASC       2022-11-16
  ASO       2021-06-21
  ASRT      2023-03-21
  ASTS      2024-06-05
  ATAI      2025-07-10, 2025-08-05, 2025-08-08, 2025-08-12
  AVAV      2021-02-05
  AXGN      2025-12-15, 2025-12-17
  AXON      2021-02-01
  AXTI      2020-11-30
  BBAR      2024-12-30
  BE        2025-07-18
  BFLY      2024-12-03
  BIOA      2025-11-04
  BKCH      2024-11-22
  BKE       2020-10-15
  BL        2020-11-18
  BLDP      2020-12-31, 2025-10-13
  BLNK      2021-01-06
  BORR      2023-02-23, 2023-02-27
  BTBT      2023-07-03, 2023-12-18
  BTE       2025-11-24, 2025-12-01
  BVS       2024-10-01
  CALX      2020-08-18
  CC        2026-02-05
  CDE       2020-12-28
  CDNA      2020-12-02
  CDXS      2020-12-30, 2021-08-26
  CERT      2023-03-27
  CIFR      2025-07-16, 2025-07-18, 2025-09-08
  CIO       2021-09-16
  CLF       2020-10-15, 2020-11-19
  CLFD      2021-02-05, 2021-10-26
  CMBM      2020-10-29
  COHR      2025-12-19
  CORT      2024-11-27
  CORZ      2024-10-30, 2025-10-24
  CPS       2020-12-03
  CRDO      2024-10-24, 2024-12-24, 2024-12-30
  CROX      2021-08-03
  CRSP      2020-07-17
  CRVS      2023-05-31
  CSIQ      2021-01-12, 2021-01-14
  CVI       2021-03-03
  CYD       2025-08-21, 2026-02-02
  CYH       2020-11-24
  DAC       2020-12-04
  DAPP      2024-11-25, 2024-11-27
  DAVE      2024-12-06
  DCOM      2024-10-29
  DFTX      2024-04-01
  DOW       2026-03-24
  DRS       2021-01-15
  DXC       2021-05-06
  EBS       2020-08-17
  ECOR      2021-02-03, 2021-02-11
  EFXT      2026-02-20
  EHTH      2025-01-15
  ENPH      2021-01-04
  EOLS      2021-02-03
  EOSE      2025-09-09
  ESTC      2020-12-11
  FCX       2021-04-28
  FEIM      2025-08-04
  FIZZ      2020-11-30
  FLNG      2022-04-11
  FROG      2024-02-23
  FTAI      2024-07-18
  GAP       2021-04-05
  GCO       2021-01-28
  GDYN      2021-08-25, 2021-09-15
  GENI      2024-08-14
  GGAL      2024-04-19
  GLXY      2024-12-02
  GORO      2026-02-06, 2026-02-17
  GPRE      2026-02-25
  GTE       2026-03-13
  GUSH      2022-03-18, 2022-03-22
  HALO      2022-11-23
  HNRG      2023-10-06
  HRI       2021-10-11
  HUT       2024-11-05, 2025-10-01
  HYLN      2020-09-18
  HYMC      2025-11-26, 2025-12-04
  IBRX      2026-02-12
  IDR       2025-08-22, 2025-09-11
  IGIC      2024-11-18
  IMMR      2021-01-12
  IONQ      2023-07-20
  IZEA      2020-12-31, 2021-01-05
  JOBY      2025-06-24
  JOBY-WS   2025-06-24
  KYTX      2025-10-14
  LAR       2021-11-17
  LC        2021-10-26, 2024-11-20
  LEU       2021-10-07
  LFMD      2021-02-05
  LITE      2024-11-20, 2024-12-02
  LMND      2021-01-06
  LNW       2020-10-14
  LX        2024-12-19
  MARA      2021-10-29
  METC      2023-11-27
  METCB     2025-08-07
  MNSO      2023-08-28
  MTA       2020-12-22, 2020-12-30
  MX        2021-03-17
  NATL      2025-08-19
  NBIS      2025-09-17
  NET       2020-06-30
  NGD       2026-01-05
  NIO       2020-10-27
  NIU       2021-02-02, 2021-02-04
  NMM       2021-02-17, 2021-02-19
  NMRK      2021-03-10
  NRIX      2024-07-08
  NUGT      2025-08-20
  NVAX      2020-06-08
  NVCR      2024-12-27
  NVDL      2023-07-10
  OIS       2026-01-27
  OLN       2021-04-07, 2021-11-02
  OMER      2021-02-01
  ONCY      2023-06-29
  ONDS      2025-07-08
  OPEN      2023-07-24
  OPFI      2025-01-23
  OPK       2020-07-16
  OXY       2026-03-03
  OXY-WT    2021-10-22
  PENG      2021-02-02
  PHR       2021-02-01
  PI        2021-02-03, 2024-05-08
  PINS      2020-08-13
  PLUG      2020-06-17, 2020-12-11, 2020-12-31
  POWL      2024-10-29, 2024-10-31
  PRIM      2021-03-01
  PTON      2020-09-17
  QBTS      2024-12-04
  QCLN      2020-11-16
  QDEL      2020-07-01
  QFIN      2024-10-17, 2024-10-21
  QNCX      2024-11-12
  QURE      2024-12-23
  QXO       2025-05-30
  RDW       2024-12-19
  REAL      2024-11-18, 2025-08-29
  REPL      2020-11-10
  RGTIW     2025-10-01
  RIG       2023-07-19
  RKLB      2024-10-10, 2025-06-17, 2025-07-03
  RKT       2025-08-26
  RNA       2024-06-26
  RPAY      2020-06-03
  RVLV      2020-12-10, 2024-12-06
  SDGR      2021-01-05
  SDRL      2026-02-17
  SEED      2021-02-09
  SES       2025-10-01
  SEZL      2024-09-16
  SHAK      2021-02-05
  SHOP      2021-07-13
  SITM      2020-07-14, 2020-10-09
  SJT       2022-04-28
  SKIN      2021-08-24
  SLDP      2025-06-24, 2025-08-06
  SLI       2025-07-23
  SLP       2020-06-10
  SLQT      2025-01-17
  SLVP      2026-01-05
  SMPL      2020-07-17
  SMTC      2024-04-23
  SNAP      2020-11-13
  SNBR      2020-12-21
  SOFI      2021-10-28
  SOXL      2020-11-19
  SPT       2021-01-29, 2021-08-20
  SQM       2022-03-17, 2025-12-09
  SRRK      2023-12-19, 2023-12-22
  SYNA      2021-02-03
  TAN       2020-12-11
  TBCH      2021-02-08
  TBHC      2020-12-16
  TCMD      2023-05-31
  TDAY      2021-01-21, 2021-01-26
  TECL      2020-08-14
  TMC       2025-06-11
  TMDX      2022-08-18
  TROX      2020-11-20
  TRX       2026-02-24
  TSE       2020-11-27
  TSHA      2023-09-19
  TSL       2024-11-21, 2024-11-29, 2024-12-04
  TSLA      2024-11-21
  TSLY      2024-11-21, 2024-11-29
  TSSI      2025-06-16
  TTD       2020-10-27
  U         2025-07-14, 2025-08-28
  UEC       2021-02-19, 2021-03-25, 2021-11-02
  UPST      2024-10-30
  URBN      2021-03-01
  USLM      2024-10-07
  VNO       2024-08-14
  VRDN      2024-10-04
  WLK       2026-02-18
  WOLF      2020-12-31
  XFOR      2023-05-31
  XHR       2021-03-04
  ZETA      2024-07-31, 2024-08-13
  ZG        2020-09-28, 2020-12-31
  ZM        2020-09-15

229 unique tickers, 289 clusters
