PRESIGNAL DTSS LOOSE SURVIVORS
Tier rule: 12/15  features=15
EX pass: 61/61 (100.0%)
NE pass: 942/1060 (88.9%)
RANDOM pass: 1752/8101 (21.6%)
Ratio: 4.11x

NON-EXAMPLE SURVIVORS:
  AAON      2020-11-19, 2025-01-23
  AAP       2022-01-06, 2022-01-14
  ABCB      2024-11-25
  ABNB      2024-04-29
  ACET      2022-11-08
  ACGL      2020-12-30
  ACHC      2024-02-27
  ACHR-WS   2025-07-17
  ACVA      2024-05-21
  AD        2024-01-26
  ADAM      2026-03-02
  ADI       2021-09-24
  ADMA      2023-08-11
  AEP       2022-06-02
  AESI      2025-01-16
  AFG       2022-07-01
  AGM       2024-03-26
  AGYS      2024-02-14
  AHH       2022-01-03
  AHRT      2022-01-03
  AI        2023-03-30, 2023-04-03, 2023-05-26
  AIG       2022-02-08
  AIR       2022-06-02
  AIV       2023-07-19, 2023-07-21
  ALGT      2026-02-03
  ALKS      2021-02-09, 2023-07-20
  ALLT      2026-01-06
  ALNY      2022-12-02
  ALTO      2022-04-13
  ALXO      2024-04-30
  AM        2022-06-03
  AMPL      2025-01-29
  AMR       2023-01-19, 2023-02-28, 2023-03-06
  AMWD      2024-04-09
  AMX       2021-01-06
  AN        2021-09-29, 2024-07-30
  ANAB      2024-09-13
  ANET      2023-08-31
  AOS       2023-05-05, 2023-06-30
  APA       2021-06-02
  APG       2021-12-29, 2022-01-03
  API       2025-02-06
  APLE      2021-03-17
  APPS      2021-04-13
  ARCB      2024-04-03, 2024-04-09
  ARHS      2022-12-02
  ARLP      2022-11-07
  ARQQ      2025-07-17
  ARQT      2024-07-11, 2025-03-18
  ARRY      2022-11-10, 2023-04-13
  ASB       2022-02-09
  ASR       2021-06-15
  ATI       2023-06-28
  ATRO      2024-07-11, 2024-07-15
  AUB       2024-11-13
  AUR       2024-12-17
  AVAV      2023-05-18
  AVNT      2024-11-29
  AXL       2021-03-09
  AZO       2025-05-21
  BA        2023-04-03
  BAND      2021-02-04
  BANF      2024-08-27
  BBAR      2024-08-13
  BBIO      2025-05-01
  BBWI      2024-05-09, 2024-05-14
  BCO       2024-05-09
  BDC       2022-01-04
  BDN       2024-09-16
  BEP       2024-09-24
  BFAM      2021-02-12, 2023-08-30
  BG        2022-02-08, 2022-02-10
  BIO       2021-02-10
  BIPC      2021-06-30
  BKE       2024-08-23
  BKNG      2021-02-22, 2021-11-08
  BKR       2024-11-05, 2025-11-13, 2025-11-19, 2025-11-21, 2025-11-28
  BKU       2025-01-28
  BLD       2025-12-01
  BLMN      2023-01-17, 2023-01-23, 2023-06-15, 2023-06-20, 2023-09-01
  BMI       2024-09-23
  BMRN      2021-12-22, 2022-02-11
  BMY       2025-03-24
  BOH       2025-02-07
  BOKF      2024-11-25
  BPOP      2023-11-14
  BRBR      2021-03-12, 2024-06-04
  BRZE      2024-02-09
  BTAI      2021-02-08
  BTU       2022-11-29, 2022-12-01, 2026-03-04
  BUR       2024-04-10, 2024-05-06
  BVS       2024-07-24, 2024-07-26
  BXC       2022-03-16, 2022-03-22
  CAKE      2024-04-03
  CAMT      2023-11-29
  CARG      2025-01-24
  CARS      2024-07-31
  CASH      2024-11-11
  CASY      2025-02-05
  CAT       2024-12-03
  CATY      2021-11-03
  CBSH      2020-12-28
  CBU       2024-11-25, 2026-02-09
  CBZ       2021-12-29, 2021-12-31, 2023-02-24
  CCOI      2024-02-22
  CCS       2024-08-26, 2024-09-19
  CDNS      2024-03-04
  CDRE      2026-01-21, 2026-01-23
  CE        2023-09-18
  CEG       2025-02-18
  CELH      2024-05-16
  CENX      2021-03-02
  CF        2024-11-20, 2024-11-22, 2025-01-17
  CFFN      2025-11-26
  CFG       2025-01-21
  CFR       2024-04-24, 2025-01-23
  CHCO      2024-11-11
  CHEF      2024-11-07
  CHKP      2022-04-07
  CHRD      2023-08-08, 2023-08-18
  CIG       2025-09-05
  CIGI      2024-02-15
  CLF       2021-07-13
  CLFD      2024-07-31
  CLH       2022-12-02
  CMC       2021-12-31
  CMPR      2021-04-08, 2024-04-03, 2024-04-09
  CMPS      2026-01-06
  CNK       2023-08-08
  CNR       2022-11-30
