PRESIGNAL HTF LOOSE SURVIVORS
Tier rule: 12/15  features=15
EX pass: 29/29 (100.0%)
NE pass: 241/445 (54.2%)
RANDOM pass: 652/8101 (8.0%)
Ratio: 6.73x

NON-EXAMPLE SURVIVORS:
  ABCL      2025-06-17, 2025-07-16
  ACLX      2023-11-13
  ACVA      2023-02-27
  ADI       2026-01-14
  AFRM      2021-09-14
  ALAB      2024-11-12
  AMBR      2021-01-21, 2021-01-28
  AMD       2025-10-17
  AMDG      2025-10-17
  AMRC      2025-09-12
  AMSC      2020-10-12
  AMUU      2025-10-17
  ANAB      2020-05-12
  ANF       2023-08-25
  APGE      2025-11-13
  APP       2024-02-21
  APPS      2020-06-12
  APTV      2020-11-10
  AQMS      2020-12-30
  AQST      2025-09-30
  ARM       2023-12-21
  ASB       2021-03-01
  ASM       2025-04-25
  ATNM      2020-07-29
  AX        2021-01-08
  BB        2024-12-11
  BBAI      2024-11-27
  BBBY      2023-06-26
  BBH       2020-05-14, 2020-05-20
  BCLI      2020-06-18
  BCS       2024-04-30
  BEPC      2025-10-14
  BFLY      2024-11-13, 2024-11-22
  BIPC      2020-11-16
  BITX      2024-02-22
  BKD       2023-11-22
  BKSY      2025-02-03
  BLFS      2020-09-24
  BMRN      2020-06-23, 2020-06-29
  BSBR      2020-11-12
  BV        2024-05-09
  BWIN      2024-05-13, 2024-05-15
  CALX      2020-07-29
  CCJ       2021-02-12
  CCL       2021-03-02
  CGC       2021-01-12, 2021-01-19
  CHEF      2024-11-27
  CHRD      2026-02-10
  CHWY      2020-04-17
  CMI       2024-02-08
  CNQ       2026-01-20
  COF       2021-03-01
  COHR      2020-05-14
  COIN      2025-06-30
  CORT      2020-06-25
  CSTL      2020-12-18
  CSTM      2020-11-12
  CYTK      2020-04-16
  DAVA      2020-09-17
  DBX       2020-05-19, 2020-05-21
  DDS       2025-08-26
  DHI       2020-07-29
  DLX       2021-01-11
  DOCN      2021-09-08
  DRH       2020-11-18
  EGAN      2025-10-16
  EHC       2020-11-13
  ENOV      2021-02-26
  ENVA      2021-02-12
  ESI       2020-11-20
  ETHU      2024-11-29
  EXK       2024-05-13
  FANG      2020-12-07, 2024-02-23
  FIVE      2020-09-08
  FIVN      2020-05-11
  FNKO      2020-12-11
  FOXA      2024-08-12
  FTDR      2024-07-23, 2024-08-08
  FUTU      2024-04-29
  GDOT      2020-05-15
  GLDD      2026-01-20
  GPI       2020-08-03
  GRAB      2024-11-14
  GRPN      2025-05-16
  GVA       2021-03-03
  GWW       2020-07-20
  HALO      2024-06-12
  HIMS      2024-03-05
  HIPO      2024-11-15
  HNRG      2024-11-18
  HOOG      2025-09-15
  HOOX      2025-06-17
  HOV       2021-03-08
  HRB       2023-11-17
  HTT       2021-01-19, 2021-01-28
  HURN      2022-05-19
  HWM       2020-11-13, 2020-11-17
  IBKR      2022-10-20
  IBP       2025-08-11
  ICUI      2024-08-13
  IJH       2020-11-12
  IMMP      2021-05-24
  IREN      2024-05-31, 2025-08-21
  ITGR      2021-02-23
  IVVD      2025-10-16
  JBTM      2024-10-30
  JD        2020-05-21
  KC        2024-11-13
  KEYS      2020-05-22
  KRMN      2025-09-18
  KRRO      2020-12-01
  KURA      2024-01-29
  KW        2021-03-09
  KYNB      2021-02-01
  LBRDK     2024-10-30
  LECO      2025-06-25
  LII       2023-06-09
  LMND      2024-11-08, 2024-11-13
