PRESIGNAL HTF MEDIUM SURVIVORS
Tier rule: 18/20  features=20
EX pass: 29/29 (100.0%)
NE pass: 191/445 (42.9%)
RANDOM pass: 307/8101 (3.8%)
Ratio: 11.33x

NON-EXAMPLE SURVIVORS:
  ABCL      2025-06-17, 2025-07-16
  ACLX      2023-11-13
  AFRM      2021-09-14
  ALAB      2024-11-12
  AMBR      2021-01-21, 2021-01-28
  AMD       2025-10-17
  AMDG      2025-10-17
  AMRC      2025-09-12
  AMSC      2020-10-12
  AMUU      2025-10-17
  ANAB      2020-05-12
  ANF       2023-08-25
  APGE      2025-11-13
  APP       2024-02-21
  APPS      2020-06-12
  APTV      2020-11-10
  AQMS      2020-12-30
  AQST      2025-09-30
  ASB       2021-03-01
  ASM       2025-04-25
  ATNM      2020-07-29
  AX        2021-01-08
  BB        2024-12-11
  BBAI      2024-11-27
  BBBY      2023-06-26
  BCLI      2020-06-18
  BCS       2024-04-30
  BEPC      2025-10-14
  BFLY      2024-11-13, 2024-11-22
  BIPC      2020-11-16
  BITX      2024-02-22
  BKSY      2025-02-03
  BLFS      2020-09-24
  BMRN      2020-06-23, 2020-06-29
  BSBR      2020-11-12
  BWIN      2024-05-13, 2024-05-15
  CALX      2020-07-29
  CCJ       2021-02-12
  CGC       2021-01-12, 2021-01-19
  CHEF      2024-11-27
  CMI       2024-02-08
  CNQ       2026-01-20
  COHR      2020-05-14
  CSTL      2020-12-18
  CSTM      2020-11-12
  DDS       2025-08-26
  DLX       2021-01-11
  DOCN      2021-09-08
  DRH       2020-11-18
  EGAN      2025-10-16
  EHC       2020-11-13
  ENOV      2021-02-26
  ENVA      2021-02-12
  ESI       2020-11-20
  ETHU      2024-11-29
  EXK       2024-05-13
  FANG      2020-12-07, 2024-02-23
  FIVE      2020-09-08
  FNKO      2020-12-11
  FTDR      2024-07-23, 2024-08-08
  FUTU      2024-04-29
  GLDD      2026-01-20
  GPI       2020-08-03
  GRAB      2024-11-14
  GRPN      2025-05-16
  GVA       2021-03-03
  HIPO      2024-11-15
  HOOG      2025-09-15
  HOOX      2025-06-17
  HOV       2021-03-08
  HTT       2021-01-19, 2021-01-28
  HURN      2022-05-19
  HWM       2020-11-13, 2020-11-17
  IBKR      2022-10-20
  IBP       2025-08-11
  ICUI      2024-08-13
  IJH       2020-11-12
  IMMP      2021-05-24
  IREN      2024-05-31, 2025-08-21
  ITGR      2021-02-23
  IVVD      2025-10-16
  JBTM      2024-10-30
  JD        2020-05-21
  KC        2024-11-13
  KRMN      2025-09-18
  KRRO      2020-12-01
  KURA      2024-01-29
  KW        2021-03-09
  KYNB      2021-02-01
  LMND      2024-11-08, 2024-11-13
  LOGI      2023-10-27
  LOVE      2020-12-08
  LPX       2023-06-23
  M         2020-11-20
  MAXN      2022-08-04
  MITK      2020-08-05
  MMYT      2023-08-07
  MOD       2023-06-05
  MSGS      2025-12-18
  MSTR      2023-11-01
  MTN       2020-11-18, 2020-11-23
  MUX       2025-09-10
  NBIX      2023-12-19
  NBP       2021-05-24
  NCLH      2024-11-01
  NFLX      2023-05-25
  NIO       2020-06-12
  NSPR      2021-01-14
  NUGT      2022-02-25
  NVDA      2020-08-14
  NVT       2021-03-03
  NXT       2024-02-08
  OGI       2021-02-02
  OIH       2026-01-13
  OR        2023-03-23
  PACB      2025-10-21
  PARR      2026-03-10
  PAY       2024-03-15
  PDFS      2023-02-27
  PI        2021-02-16
  PK        2020-11-18
  PLAB      2021-12-14, 2021-12-17
  PLTR      2023-05-24
  PLUG      2020-06-17
  PRG       2020-07-31
  PUBM      2024-03-05
  QUBT      2024-11-12
  REI       2021-02-02, 2021-02-12
  RGEN      2025-10-14
  RGTI      2024-12-04
  RHP       2020-11-18
  RIG       2026-02-03
  SABR      2023-08-07
  SBCF      2021-01-08
  SCCO      2025-09-17
  SE        2024-04-25
  SKLZ      2020-12-02
  SKWD      2023-11-16
  SNDX      2020-11-06
  STNG      2022-05-19
  SXI       2025-08-11
  SYM       2023-06-05
  TAN       2020-08-17
  TDW       2022-03-16
  TE        2025-10-02
  TER       2024-05-08
  TIGR      2020-12-30
  TMV       2022-04-28
  TPH       2023-05-02
  TSAT      2021-01-15
  UEC       2021-03-19
  UHS       2025-11-03
  UI        2021-02-03
  UPBD      2020-08-03
  USAR      2025-10-01
  UUUU      2021-02-12
  UWM       2020-11-13
  VERI      2025-09-11, 2025-09-15
  VET       2021-02-26
  VKTX      2020-05-18
  VNDA      2025-12-16
  VNET      2025-01-16
  VNTG      2025-08-25
  VRDN      2024-09-20
  WBS       2021-03-03
  WDS       2026-02-05
  WHD       2021-02-26
  WING      2020-06-29
  WIX       2020-05-19
  WMK       2022-03-14
  WWD       2020-11-12
  XOM       2026-01-15
  XPEL      2020-11-19
  ZM        2020-06-05, 2020-09-14

174 unique tickers, 191 clusters
