setup,tier,features,rule,ex_pass,ex_total,ne_pass,ne_total,rand_pass,rand_total,own_rand_ratio
htf,tight,35,strict AND,29,29,85,445,79,8101,19.58711420850519
htf,medium,20,18/20,29,29,191,445,307,8101,11.325923214873917
htf,loose,15,12/15,29,29,241,445,652,8101,6.728961880471496
bf,tight,34,strict AND,45,45,116,400,99,8101,23.730202020202018
bf,medium,20,18/20,45,45,276,400,309,8101,18.089611650485438
bf,loose,15,12/15,45,45,289,400,372,8101,15.733797043010753
base,tight,32,strict AND,37,37,56,503,94,8101,9.594687195973098
base,medium,20,18/20,37,37,213,503,488,8101,7.0295970081152435
base,loose,15,12/15,37,37,306,503,835,8101,5.902086879918096
dtss,tight,19,strict AND,61,61,676,1060,758,8101,6.81569671927117
dtss,medium,19,18/19,61,61,764,1060,974,8101,5.994696059819456
dtss,loose,15,12/15,61,61,942,1060,1752,8101,4.109127035409667
3-4db,tight,30,strict AND,26,26,99,524,57,8101,26.851446364001607
3-4db,medium,20,18/20,26,26,301,524,181,8101,25.70959681160643
3-4db,loose,15,12/15,26,26,354,524,302,8101,18.121897275163036
