================================================================================
3-4DB  N=64  n_rel=8836
================================================================================
ticker   date           n_front_bars  first_off   last_off
ACHR     2025-10-27               64          0         63
AEVA     2025-07-08               64          0         63
AEVA     2025-07-21               64          0         63
APP      2026-01-14               64          0         63
ARM      2025-11-03               64          0         63
BE       2025-10-28               64          0         63
BTQ      2025-10-27               64          0         63
CLSK     2025-10-28               64          0         63
FIGR     2026-01-29               64          0         63
GOGO     2025-08-12               64          0         63
HIVE     2025-10-27               64          0         63
INOD     2025-10-16               64          0         63
IONQ     2025-10-27               64          0         63
IREN     2025-10-28               64          0         63
LEU      2025-10-27               64          0         63
OKLO     2025-10-27               64          0         63
ONDS     2025-10-27               64          0         63
OPEN     2025-09-26               64          0         63
PATH     2025-10-28               64          0         63
PL       2025-10-27               64          0         63
QS       2025-10-27               64          0         63
REAL     2026-01-28               64          0         63
RR       2025-10-27               64          0         63
SOUN     2025-10-27               64          0         63
VITL     2025-09-15               64          0         63
VSEC     2026-03-10               64          0         63
DPST     2026-12-18   DROPPED

Examples analyzed: 26
n_frontier_bars  min=64  median=64  max=64  of N=64
Examples with ZERO frontier bars: 0 / 26
