================================================================================
BASE  N=32  n_rel=8335
================================================================================
ticker   date           n_front_bars  first_off   last_off
AAPL     2024-11-25               32          0         31
ALM      2025-09-15               32          0         31
AMN      2021-04-22               32          0         31
APP      2024-09-11               32          0         31
ASTS     2025-06-04               32          0         31
ATI      2025-12-10               32          0         31
AXTI     2025-10-24               32          0         31
BAP      2025-12-02               32          0         31
CLS      2025-05-13               32          0         31
DRN      2024-07-11               32          0         31
EAT      2024-09-16               32          0         31
EOSE     2025-09-12               32          0         31
ERO      2025-11-24               32          0         31
FIX      2023-02-23               32          0         31
FIX      2025-09-10               32          0         31
FTAI     2025-12-30               32          0         31
IONQ     2025-09-11               32          0         31
IONQ-WS  2025-09-09               32          0         31
IREN     2025-06-24               32          0         31
KTOS     2025-05-16               32          0         31
KTOS     2025-09-11               32          0         31
LNG      2021-04-23               32          0         31
METC     2021-07-26               32          0         31
PAG      2021-09-15               32          0         31
PSIX     2025-05-12               32          0         31
PTON     2024-10-14               32          0         31
QXO      2025-06-06               32          0         31
RCAT     2024-11-05               32          0         31
RGTI     2025-09-12               32          0         31
RH       2020-07-15               32          0         31
SA       2025-08-29               32          0         31
SFM      2023-11-30               32          0         31
SIMO     2021-12-03               32          0         31
SKY      2021-11-03               32          0         31
SNBR     2020-10-02               32          0         31
SNDK     2025-08-22               32          0         31
SNDK     2026-01-02               32          0         31
SOUN     2024-11-21               32          0         31
STRL     2025-09-10               32          0         31
TSLA     2025-09-11               32          0         31
VITL     2024-02-20               32          0         31
WLDN     2025-05-09               32          0         31

Examples analyzed: 42
n_frontier_bars  min=32  median=32  max=32  of N=32
Examples with ZERO frontier bars: 0 / 42
