================================================================================
BF  N=49  n_rel=8013
================================================================================
ticker   date           n_front_bars  first_off   last_off
AA       2025-12-11               49          0         48
AMPX     2025-07-02               49          0         48
ANF      2023-11-01               49          0         48
ANF      2023-11-02               49          0         48
APLD     2025-10-01               49          0         48
AXON     2021-02-04               49          0         48
AXTI     2025-10-24               49          0         48
BE       2025-07-23               49          0         48
BIOA     2025-11-17               49          0         48
BLDP     2021-01-06               49          0         48
DAC      2020-12-04               49          0         48
EH       2021-01-05               49          0         48
EOSE     2025-09-12               49          0         48
EOSE     2025-09-18               49          0         48
EQX      2025-08-22               49          0         48
GDXU     2025-08-21               49          0         48
HROW     2024-09-10               49          0         48
HUT      2025-10-01               49          0         48
HYMC     2025-12-11               49          0         48
IONQ     2024-11-07               49          0         48
IREN     2024-06-03               49          0         48
IREN     2025-06-23               49          0         48
IREN     2025-06-24               49          0         48
IZEA     2021-01-08               49          0         48
JD       2020-05-29               49          0         48
KTOS     2025-09-11               49          0         48
MSTR     2024-02-26               49          0         48
MU       2025-10-01               49          0         48
ONDS     2025-08-22               49          0         48
OSCR     2024-01-24               49          0         48
QBTS     2024-11-21               49          0         48
QUBT     2024-12-16               49          0         48
QXO      2025-06-06               49          0         48
REAL     2024-11-13               49          0         48
RGTI     2024-12-06               49          0         48
RGTI     2025-10-02               49          0         48
RKLB     2024-09-11               49          0         48
SNBR     2021-01-06               49          0         48
SOUN     2024-11-21               49          0         48
TSE      2020-12-04               49          0         48
TSLA     2024-12-05               49          0         48
UAMY     2025-10-01               49          0         48
UAN      2022-03-17               49          0         48
UPST     2021-08-24               49          0         48
WULF     2025-09-09               49          0         48

Examples analyzed: 45
n_frontier_bars  min=49  median=49  max=49  of N=49
Examples with ZERO frontier bars: 0 / 45
