================================================================================
DTSS  N=86  n_rel=8675
================================================================================
ticker   date           n_front_bars  first_off   last_off
AAOI     2024-02-16               86          0         85
ACHR     2025-07-18               86          0         85
AEE      2025-11-28               86          0         85
AIR      2022-06-08               86          0         85
ALTS     2025-02-20               86          0         85
APP      2025-12-22               86          0         85
ASST     2025-09-10               86          0         85
AVAV     2023-05-23               86          0         85
AX       2022-01-13               86          0         85
BETR     2025-10-24               86          0         85
BTBT     2025-10-20               86          0         85
CELH     2024-05-22               86          0         85
CEPU     2023-08-29               86          0         85
CSL      2022-06-08               86          0         85
CVNA     2023-09-15               86          0         85
CVNA     2026-01-23               86          0         85
DELL     2022-02-10               86          0         85
DNLI     2024-11-11               86          0         85
DNTH     2024-11-08               86          0         85
EBC      2025-02-06               86          0         85
EME      2025-01-22               86          0         85
FFIC     2024-11-25               86          0         85
FITB     2022-02-10               86          0         85
FRT      2024-11-29               86          0         85
FTAI     2025-01-10               86          0         85
FUBO     2025-09-23               86          0         85
GAP      2024-06-03               86          0         85
GFS      2023-04-03               86          0         85
GH       2025-05-01               86          0         85
GRPN     2025-08-07               86          0         85
GTM      2025-11-04               86          0         85
HAL      2022-06-09               86          0         85
HCC      2022-06-07               86          0         85
HNRG     2022-08-23               86          0         85
INVA     2022-04-05               86          0         85
ISRG     2021-12-31               86          0         85
KYMR     2024-11-11               86          0         85
LABU     2024-11-11               86          0         85
LOPE     2024-08-01               86          0         85
LTH      2025-05-08               86          0         85
MET      2022-04-21               86          0         85
MOD      2025-01-22               86          0         85
MPC      2023-04-03               86          0         85
MSFT     2025-10-28               86          0         85
NAIL     2024-10-18               86          0         85
NEOV     2025-01-06               86          0         85
NOW      2023-09-11               86          0         85
NSP      2023-06-09               86          0         85
NUE      2022-01-05               86          0         85
PACB     2026-01-23               86          0         85
PDS      2024-07-31               86          0         85
PNR      2024-05-15               86          0         85
PR       2022-06-08               86          0         85
PRKS     2022-04-21               86          0         85
PSIX     2025-09-24               86          0         85
REPX     2025-01-21               86          0         85
ROOT     2024-05-01               86          0         85
SERV     2025-01-06               86          0         85
SFM      2025-06-03               86          0         85
SLS      2025-10-20               86          0         85
SMCI     2022-06-06               86          0         85
SOUN     2023-06-29               86          0         85
TJX      2022-01-05               86          0         85
TRNS     2024-07-24               86          0         85
UTSL     2024-11-27               86          0         85
VCTR     2025-02-10               86          0         85
VRTX     2024-11-11               86          0         85
WAL      2022-01-12               86          0         85
WGO      2024-04-01               86          0         85
WHD      2024-11-25               86          0         85
WING     2024-09-24               86          0         85
ZIM      2024-07-02               86          0         85
ZVRA     2024-02-20               86          0         85

Examples analyzed: 73
n_frontier_bars  min=86  median=86  max=86  of N=86
Examples with ZERO frontier bars: 0 / 73
