================================================================================
HTF  N=39  n_rel=7262
================================================================================
ticker   date           n_front_bars  first_off   last_off
AFG      2021-02-04               39          0         38
AGO      2023-12-19               39          0         38
AR       2020-12-17               39          0         38
ASTS     2024-05-28               39          0         38
BB       2024-12-20               39          0         38
CHEF     2024-12-03               39          0         38
CLNE     2020-11-20               39          0         38
CR       2023-10-31               39          0         38
EOSE     2025-09-18               39          0         38
EQX      2025-08-22               39          0         38
FORM     2026-01-08               39          0         38
FTDR     2024-08-06               39          0         38
GME      2021-01-22               39          0         38
HTOO     2020-11-25               39          0         38
HTT      2021-01-12               39          0         38
LMND     2024-11-05               39          0         38
LMND     2024-11-06               39          0         38
MOD      2023-06-02               39          0         38
NHI      2024-03-04               39          0         38
OGI      2021-02-08               39          0         38
OSCR     2024-01-24               39          0         38
PL       2025-09-11               39          0         38
PRCH     2023-11-24               39          0         38
PRTA     2021-06-07               39          0         38
QUBT     2024-11-20               39          0         38
REAL     2024-11-13               39          0         38
RHP      2020-11-13               39          0         38
RR       2024-12-23               39          0         38
SOUN     2024-02-26               39          0         38
SOUN     2024-11-29               39          0         38
XPEV     2020-11-12               39          0         38
CRCL     2025-06-13   DROPPED

Examples analyzed: 31
n_frontier_bars  min=39  median=39  max=39  of N=39
Examples with ZERO frontier bars: 0 / 31
