setup,class,ticker,entry_date,direction,entry_idx,entry_close,stop,adr,mae_peak_bar,mae_peak_adr,outcome,outcome_bar,first_past_be_bar,had_earnings
dtss,fade,AAOI,2024-02-16,short,1038,21.34,24.75,1.8699214285714285,1,0.0,WIN,2,1.0,1
dtss,fade,ACHR,2025-07-18,short,1148,13.29,13.73,0.6821214285714285,1,0.29027089856225907,WIN,15,2.0,1
dtss,fade,AEE,2025-11-28,short,1485,104.8773,105.12876884344148,1.3374693812216927,1,-0.17695055661022874,WIN,12,1.0,1
dtss,fade,AIR,2022-06-08,short,613,50.87,52.47,1.8071428571428574,1,-0.16600790513833832,WIN,9,1.0,1
dtss,fade,ALTS,2025-02-20,short,1290,6.95,7.38,0.6378571428571427,1,-0.07838745800671867,WIN,38,1.0,1
dtss,fade,APP,2025-12-22,short,1178,733.6,738.01,29.224428571428582,1,0.11634102585410362,WIN,33,3.0,1
dtss,fade,ASST,2025-09-10,short,651,161.8,252.0,26.861285714285714,1,1.3327731360588,WIN,77,3.0,1
dtss,fade,AVAV,2023-05-23,short,853,109.34,112.39,2.6158,1,-0.09557305604404005,WIN,5,1.0,1
dtss,fade,AX,2022-01-13,short,513,60.52,61.7903,1.4293071428571444,1,0.31483785850286766,WIN,8,2.0,1
dtss,fade,BETR,2025-10-24,short,1127,79.52,92.69,10.209357142857142,1,0.30168402935682237,WIN,1,,1
dtss,fade,BTBT,2025-10-20,short,1457,4.22,4.55,0.3971428571428571,1,-0.12589928057553915,WIN,18,1.0,1
dtss,fade,CELH,2024-05-22,short,1104,93.49,98.85,4.957142857142857,2,0.3772334293948136,WIN,50,4.0,1
dtss,fade,CEPU,2023-08-29,short,920,6.3771,6.541950204081633,0.30459916127285985,1,0.41297963580411995,WIN,24,2.0,1
dtss,fade,CSL,2022-06-08,short,613,255.9063,259.7913714660569,6.75468109362477,1,0.5240435694687188,WIN,13,2.0,1
dtss,fade,CVNA,2023-09-15,short,932,52.2,56.4,3.872714285714285,1,0.7591574753771806,WIN,33,3.0,1
dtss,fade,CVNA,2026-01-23,short,1522,473.31,486.89,20.119999999999997,2,0.5705765407554682,WIN,16,4.0,1
dtss,fade,DELL,2022-02-10,short,532,55.4208,56.169236363636365,1.4016827629060293,1,0.3776759136884069,WIN,8,2.0,1
dtss,fade,DNLI,2024-11-11,short,1223,31.58,33.33,1.2921785714285712,1,-0.08512755313562324,WIN,42,1.0,1
dtss,fade,DNTH,2024-11-08,short,1222,29.06,32.27,1.3434214285714288,1,0.6550438911308564,WIN,12,2.0,1
dtss,fade,EBC,2025-02-06,short,1082,18.4555,18.469956005221935,0.4491676306023939,1,-0.10737601479416133,WIN,47,1.0,1
dtss,fade,EME,2025-01-22,short,1270,534.8813,544.1620628687102,13.524966603036082,2,-0.11805334859348189,WIN,23,1.0,1
dtss,fade,FFIC,2024-11-25,short,1233,16.609,16.964907142857147,0.5575615496480808,1,0.2454227278178179,WIN,40,2.0,1
dtss,fade,FITB,2022-02-10,short,532,41.592,42.44721009771987,1.2187049348841958,4,0.5905460236200287,WIN,17,2.0,1
dtss,fade,FRT,2024-11-29,short,1236,109.1978,110.54580541791685,1.427574685207833,1,-0.163951827976114,WIN,29,1.0,1
dtss,fade,FTAI,2025-01-10,short,1263,172.02650451660156,179.5592041015625,7.024173259735107,1,-0.4264339804649353,WIN,11,1.0,1
dtss,fade,FUBO,2025-09-23,short,1438,53.4,56.64,3.111428571428571,1,0.5245179063360875,WIN,25,2.0,1
dtss,fade,GAP,2024-06-03,short,1111,27.3979,29.021199621081635,1.0182758948695414,1,-0.11122069301452006,WIN,39,1.0,1
dtss,fade,GFS,2023-04-03,short,358,70.71,72.37,2.3127214285714315,1,0.23751239263576376,WIN,24,2.0,1
dtss,fade,GH,2025-05-01,short,1338,48.87,52.92,2.4678285714285724,1,1.0179394262162236,WIN,18,2.0,1
dtss,fade,GRPN,2025-08-07,short,1406,36.89,43.08,2.107857142857143,1,0.08065062690613431,WIN,63,2.0,1
dtss,fade,GTM,2025-11-04,short,1362,11.69,12.31,0.4167857142857145,1,0.6958011996572426,WIN,15,2.0,1
dtss,fade,HAL,2022-06-09,short,614,38.9539,39.535301492537315,1.3694143685242426,1,-0.5391874957263676,WIN,25,1.0,1
dtss,fade,HCC,2022-06-07,short,612,37.4496,38.30934149592693,1.834047036222497,1,0.07054168189459646,WIN,28,2.0,1
dtss,fade,HNRG,2022-08-23,short,665,7.14,7.95,0.49850714285714304,3,0.8224556174864954,WIN,24,5.0,1
dtss,fade,INVA,2022-04-05,short,569,19.61,20.71,0.6628571428571431,3,0.7844827586206887,WIN,14,6.0,1
dtss,fade,ISRG,2021-12-31,short,504,359.3,366.15,8.76957857142857,2,0.3078825257118549,WIN,12,3.0,1
dtss,fade,KYMR,2024-11-11,short,1062,51.84,53.23,2.1848571428571417,1,0.2952138093369932,WIN,6,2.0,1
dtss,fade,LABU,2024-11-11,short,1223,142.7053,150.82053337583986,6.758984139358188,1,-0.2179036244807526,WIN,6,1.0,0
dtss,fade,LOPE,2024-08-01,short,1152,153.22,157.53,3.626721428571429,1,-0.12683632009233273,WIN,2,1.0,1
dtss,fade,LTH,2025-05-08,short,899,30.76,34.99,1.4504999999999997,1,-0.18614270941055028,WIN,27,1.0,1
dtss,fade,MET,2022-04-21,short,580,63.3479,64.76389105895502,1.1868410380739267,1,-0.05220683423751029,WIN,8,1.0,1
dtss,fade,MOD,2025-01-22,short,1270,142.68,145.94,5.037142857142859,1,0.5995462280204159,WIN,8,2.0,1
