feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
es_ext50_ch_pos_5,1.0916091,0.3581476,-0.14468181,0.7128184,1.7343701,118
es_ext50_rsi_slope_5_off1,24.218693,12.869543,-1.4247898,14.989538,1.7107587,118
es_ext50_rsi_slope_7_off1,19.13777,10.000573,-0.30934677,11.711894,1.6604587,118
ct_l_gt_xavgc8_3,1.2605042,1.0928289,2.472689,0.7420279,1.6336107,119
es_ext50_rsi_slope_9_off1,15.786547,8.353825,0.19619256,9.759985,1.5973748,118
es_ext200_ch_pos_5,1.0363948,0.39383975,-0.12760061,0.73897904,1.5751401,110
es_ext50_ch_pos_7,1.1871842,0.62362325,0.060477957,0.7500634,1.5021479,117
es_ext50_rsi_slope_14_off1,10.983324,6.013192,0.61395186,7.058764,1.4690068,118
es_ext200_rsi_slope_5_off1,20.550657,11.879103,-0.9679702,14.822162,1.4517874,110
st_l_gt_xavgc8_50,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118
st_l_gt_xavgc8_20,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118
st_l_gt_xavgc8_30,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118
st_l_gt_xavgc8_15,2.2118645,3.1537569,0.11440678,1.4819058,1.4153785,118
es_ext200_rsi_slope_7_off1,16.335814,9.040676,-0.044557333,11.629443,1.4085258,110
es_ext50_tl_dev_5,0.502887,0.34276056,-0.09111968,0.42977387,1.3821377,118
es_ext200_rsi_slope_9_off1,13.532591,7.362141,0.3757464,9.693041,1.3573495,110
stoch_5,66.96363,14.072649,82.27817,11.295686,1.3557864,119
es_ext50_rsi_slope_21_off1,7.725317,4.322117,0.68854296,5.1919994,1.355311,118
touched_xavgc8,0.49579832,0.5020962,0.069327734,0.31818092,1.3403399,119
st_l_gt_xavgc8_10,1.8898305,2.7882056,0.11369464,1.3268733,1.3385873,118
es_ext200_ch_pos_7,1.1121836,0.6324092,0.071642995,0.77916294,1.3354595,110
stoch_7,68.76006,14.610462,83.46606,11.138883,1.3202395,118
retrace_low_10,0.5141167,0.16730426,0.69285005,0.13551295,1.3189393,118
ext_slope_xavgc8_atr14_1b,0.9243384,0.5612899,-0.0050458387,0.7182204,1.2940098,118
es_ext50_rsi_slope_28_off1,5.9794407,3.374062,0.65161663,4.144912,1.2853891,118
stoch_10,71.36891,14.391914,85.00546,10.646786,1.2808139,118
es_ext200_tl_dev_5,0.4682391,0.32924268,-0.08587543,0.43483377,1.2743134,110
low_vs_xavgc21_atr14,0.9328255,0.66997564,1.9150519,0.77514607,1.2671502,118
stoch_28,78.523834,10.366129,88.56462,7.9404573,1.2645099,118
adx_slope_10_off3,1.3236648,7.5792904,10.6812935,7.41883,1.2613349,118
stoch_9,70.78191,14.537877,84.470634,10.872438,1.2590295,118
es_ext200_rsi_slope_14_off1,9.489977,5.0761857,0.7159964,6.9889226,1.2554125,110
low_vs_xavgc8_atr14,0.075346634,0.41858837,0.7371651,0.52768266,1.2541978,118
ext_slope_xavgc8_adr14_1b,0.99287313,0.60414445,-0.0064390395,0.8065908,1.2389332,118
ext_slope_xavgc12_atr14_1b,0.98965895,0.5950186,0.046453714,0.7621901,1.2374934,118
stoch_14,73.58342,13.966154,86.18552,10.2384,1.2308657,118
adx_slope_14_off3,1.14702,5.7282825,7.623789,5.268143,1.2294216,118
adx_14_slope_3,1.14702,5.7282825,7.623789,5.268143,1.2294216,118
ct_h_gt_maxh5_1_5,1.6806723,1.141905,3.0105042,1.0843633,1.2263712,119
ext_slope_xavgc8_off1,1.0353078,0.6338832,0.07743546,0.78197545,1.2249391,118
slope_xavgc21_off3_atr14,0.43803743,0.21702248,0.7095326,0.222256,1.2215427,118
retrace_low_15,0.58524024,0.14176266,0.73206735,0.1209931,1.2135164,118
stoch_21,76.96319,11.418376,87.67896,8.866909,1.208513,118
low_vs_xavgc8_adr14,0.09013014,0.45938408,0.8046964,0.59170717,1.2076349,118
slope_xavgc13_off3_atr14,0.52173835,0.30079767,0.91419184,0.32505482,1.2073455,118
slope_xavgc12_off3_atr14,0.53645086,0.31578577,0.95176387,0.34510726,1.2034317,118
ct_cci14_gt_100_3,1.1848739,1.0412378,2.3277311,0.95488614,1.1968518,119
ct_c_gt_xavgc8_3,2.5630252,0.6056049,2.9516807,0.3256146,1.1936057,119
low_vs_xavgc21_adr14,1.0187694,0.75579536,2.0803967,0.892563,1.1894144,118
tir_l_gt_xavgc8_5,1.2184874,1.7032353,3.0168068,1.5126774,1.188832,119
adx_7_slope_3,1.9828274,10.735929,14.514542,10.577704,1.1847291,118
adx_slope_7_off3,1.9828274,10.735929,14.514542,10.577704,1.1847291,118
slope_xavgc9_off3_atr14,0.59258735,0.36951777,1.0939711,0.42330354,1.1844544,118
ext_slope_xavgc12_adr14_1b,1.0623289,0.63995093,0.0488102,0.8582507,1.1809121,118
low_vs_xavgc50_atr14,1.9972948,0.92069364,3.1595268,0.98496103,1.1799777,118
ct_c_lt_xavgc8_3,0.42016807,0.5893946,0.04621849,0.31786734,1.1764328,119
ct_xavgc8_falling_3,0.42016807,0.5893946,0.04621849,0.31786734,1.1764328,119
cci_5,138.99889,37.98685,95.19252,37.316525,1.1739134,119
slope_xavgc8_off3_atr14,0.6178564,0.39121628,1.1549194,0.45799002,1.1726522,118
bb_pctb_5,0.88034236,0.073648684,0.75262153,0.10898064,1.1719589,119
ct_h_gt_maxh10_1_5,1.3277311,1.0744272,2.6659663,1.1452298,1.1685297,119
ns_l_minl5_atr14,1.3131667,0.8487248,2.4843106,1.0038248,1.1666815,118
ext_slope_xavgc21_atr14_1b,1.0415429,0.6165992,0.111127526,0.7978413,1.166166,118
ct_h_gt_maxh5_1_3,1.1764706,0.8197468,2.1323528,0.8209443,1.1643691,119
ct_h_gt_maxh10_1_3,0.92436975,0.72672474,1.9558823,0.88589895,1.1643682,119
es_ext200_rsi_slope_21_off1,6.7376733,3.6028173,0.7630689,5.1328907,1.1639844,110
ct_stoch14_gt_80_3,0.7815126,1.0669113,1.9957983,1.0437517,1.1633856,119
ct_h_gt_maxh20_1_3,0.789916,0.69956344,1.8382353,0.9084106,1.1540148,119
ext_slope_xavgc13_off1,1.1431885,0.69609886,0.16753897,0.8472969,1.1514847,118
slope_xavgc50_off3_atr14,0.3007598,0.11578302,0.42923903,0.11230823,1.1439878,118
slope_xavgc13_off3_adr14,0.5667218,0.342075,0.990268,0.3719282,1.1387849,118
tir_c_gt_xavgc8_5,3.3865547,1.6109232,4.5357146,1.0096952,1.1381255,119
ct_xavgc8_rising_3,2.554622,0.63376015,2.9474788,0.34519088,1.1380858,119
slope_xavgc12_off3_adr14,0.582711,0.35856557,1.0309451,0.39388737,1.1379752,118
slope_xavgc21_off3_adr14,0.47512352,0.2482354,0.7683633,0.25776318,1.1376325,118
slope_xavgc9_off3_adr14,0.6436365,0.41752878,1.1847638,0.47921625,1.1291922,118
tir_xavgc8_rising_5,3.3781512,1.6260157,4.527311,1.0247056,1.1214534,119
slope_xavgc8_off3_adr14,0.6709502,0.44109285,1.250609,0.5169225,1.1213652,118
adx_slope_7_off5,-0.2961674,16.515991,16.91236,15.355882,1.1206472,118
adx_7_slope_5,-0.2961674,16.515991,16.91236,15.355882,1.1206472,118
low_vs_xavgc50_adr14,2.160117,1.0288314,3.4184747,1.1294665,1.1141169,118
ct_h_gt_maxh20_1_5,1.1680672,1.0760827,2.4684873,1.1679745,1.1133977,119
ext_slope_xavgc21_adr14_1b,1.1175959,0.6636028,0.11833103,0.90151167,1.1084325,118
ns_l_minl5_adr14,1.4279604,0.973169,2.6883867,1.1378716,1.1077051,118
es_ext200_rsi_slope_28_off1,5.257213,2.8310497,0.7191603,4.105926,1.1052446,110
adx_slope_10_off5,-0.49155232,13.242786,12.218222,11.506071,1.1046146,118
adx_slope_20_off3,1.2201651,4.14894,5.2646246,3.6840687,1.0978241,118
ct_h_gt_maxh50_1_3,0.64705884,0.61875015,1.6659663,0.93358755,1.0913893,119
ext_slope_xavgc21_off1,1.2208387,0.738925,0.24994516,0.89017975,1.0906713,118
ct_l_gt_xavgc8_5,2.067227,1.696113,3.4516807,1.2696989,1.0903796,119
retrace_low_20,0.63004005,0.124582104,0.7552834,0.11514162,1.0877331,118
es_ext50_tl_dev_7,0.64653254,0.51629364,0.023776963,0.57561845,1.0818895,117
slope_xavgc50_off3_adr14,0.3245878,0.13093044,0.4636152,0.12914796,1.0764972,118
