feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
aroon_up_7,97.84418,5.676674,62.129738,5.6692543,6.2996716,73
st_h_gt_maxh5_1_30,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73
st_h_gt_maxh5_1_20,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73
st_h_gt_maxh5_1_50,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73
st_h_gt_maxh5_1_10,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73
st_h_gt_maxh5_1_15,0.15068494,0.39690593,2.6506848,0.39690596,6.2987213,73
aroon_up_10,97.26028,11.088066,73.49315,6.0985074,3.8972042,73
ct_h_gt_maxh5_1_3,2.2054794,0.7062992,0.6130137,0.42235845,3.7704127,73
ct_h_gt_maxh10_1_3,2.1232877,0.76276565,0.59931505,0.4512793,3.3770053,73
st_h_gt_maxh10_1_10,0.2739726,1.1088065,2.6027398,0.72909737,3.1940415,73
tir_h_gt_maxh5_1_5,2.2328768,1.6374142,0.0,0.73227394,3.049237,73
tir_h_gt_maxh10_1_5,2.0821917,1.5612804,0.0,0.6982258,2.982118,73
tir_h_gt_maxh20_1_5,1.7397261,1.3231633,0.0,0.5917366,2.9400344,73
ct_h_gt_maxh20_1_3,1.9178082,0.81229144,0.57191783,0.48406893,2.780369,73
tir_h_gt_maxh5_1_30,2.369863,1.9401236,0.0,0.8676496,2.7313595,73
tir_h_gt_maxh5_1_15,2.369863,1.9401236,0.0,0.8676496,2.7313595,73
tir_h_gt_maxh5_1_10,2.369863,1.9401236,0.0,0.8676496,2.7313595,73
tir_h_gt_maxh5_1_20,2.369863,1.9401236,0.0,0.8676496,2.7313595,73
tir_h_gt_maxh10_1_30,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73
tir_h_gt_maxh10_1_15,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73
tir_h_gt_maxh10_1_20,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73
tir_h_gt_maxh10_1_10,2.1780822,1.7899603,0.0,0.80049455,2.7209208,73
tir_h_gt_h1_5,2.5616438,1.7239032,0.19863014,0.8704956,2.7145612,73
st_cci14_gt_100_10,0.12328767,0.4392292,2.25,0.80613136,2.638171,73
tir_h_gt_maxh20_1_30,1.8082192,1.5425223,0.0,0.6898369,2.621227,73
tir_h_gt_maxh20_1_20,1.8082192,1.5425223,0.0,0.6898369,2.621227,73
tir_h_gt_maxh20_1_15,1.8082192,1.5425223,0.0,0.6898369,2.621227,73
tir_h_gt_maxh20_1_10,1.8082192,1.5425223,0.0,0.6898369,2.621227,73
st_h_gt_maxh5_1_5,0.15068494,0.39690593,2.4212327,0.8731144,2.6005158,73
nr_h_maxh7_atr14,-0.6763199,0.82769597,1.646947,0.9001484,2.5809822,73
nr_h_maxh5_atr14,-0.6845137,0.8593632,1.6463652,0.9058127,2.5732458,73
cci_5,86.35179,58.600063,-67.18295,59.986027,2.5595086,73
nr_h_maxh10_atr14,-0.64271355,0.7986437,1.6469914,0.8948576,2.5587366,73
nr_h_maxh15_atr14,-0.6008485,0.73333704,1.6471351,0.88340557,2.5446792,73
nr_h_maxh20_atr14,-0.5699062,0.72772163,1.6511292,0.87986064,2.5243037,73
ct_h_gt_h1_3,2.4246576,0.62177616,0.9417808,0.5877361,2.5230315,73
nr_h_maxh25_atr14,-0.53683764,0.72439057,1.6577141,0.87568676,2.506092,73
cci_7,110.50474,50.15722,-57.29016,68.29417,2.4569433,73
st_h_gt_maxh20_1_10,0.24657534,1.1276921,2.5068493,0.9203434,2.4559028,73
nr_h_maxh7_adr14,-0.73180056,0.9174418,1.7794673,1.0240238,2.4523532,73
nr_h_maxh30_atr14,-0.48198962,0.71750265,1.6658192,0.8769342,2.4492247,73
nr_h_maxh5_adr14,-0.7416732,0.9596141,1.778872,1.0315548,2.4434428,73
nr_h_maxh10_adr14,-0.6944379,0.8825037,1.7795162,1.0178372,2.4305992,73
tir_h_gt_h1_15,2.8767123,2.2970102,0.19863014,1.1039227,2.425969,73
tir_h_gt_h1_10,2.8767123,2.2970102,0.19863014,1.1039227,2.425969,73
