setup,class,ticker,signal_date,signal_idx,entry_idx,is_example,entry_close,adr,stop,outcome,reason,bars,move_adr
bf,breakout,JD,2020-05-28,101,102,1,47.6843,2.22132441076948,44.81428967421314,WIN,earnings_flat_favorable,54.0,3.0542589669060587
bf,breakout,JD,2020-06-24,120,121,0,53.1084,1.7353662868904896,51.62512126921171,LOSS,stop_hit,2.0,-0.8547352463819616
bf,breakout,RPAY,2020-06-03,105,106,0,23.67,1.2916928571428574,23.04,BE,ratchet_hit,27.0,0.0
bf,breakout,NVAX,2020-06-08,108,109,0,45.93,5.2299999999999995,44.02,LOSS,stop_hit,2.0,-0.365200764818355
bf,breakout,SLP,2020-06-10,110,111,0,46.9745,3.1246944661816913,46.33851947510935,WIN,earnings_flat_favorable,18.0,4.327463099623813
bf,breakout,PLUG,2020-06-17,115,116,0,5.39,0.40071428571428563,5.12,WIN,exit_fired,12.0,9.844919786096261
bf,breakout,PLUG,2020-12-11,239,240,0,25.7,2.2885642857142856,25.7,WIN,exit_fired,19.0,17.618032515706975
bf,breakout,PLUG,2020-12-31,252,253,0,32.17,2.4434357142857155,31.066,LOSS,stop_hit,1.0,-0.4518228138949556
bf,breakout,NET,2020-06-30,124,125,0,36.93,2.310285714285715,34.995,LOSS,stop_hit,8.0,-0.8375587435072973
bf,breakout,QDEL,2020-07-01,125,126,0,227.04,13.741507142857145,218.75,LOSS,stop_hit,2.0,-0.6032817153036336
bf,breakout,OPK,2020-07-16,135,136,0,4.6,0.3710642857142856,4.0201,WIN,exit_fired,2.0,3.6516583572349823
bf,breakout,SITM,2020-07-14,133,134,0,48.59,3.259285714285715,47.56,LOSS,stop_hit,1.0,-0.31602016217400863
bf,breakout,SITM,2020-10-09,195,196,0,89.78,3.955142857142856,86.4,BE,ratchet_hit,12.0,0.0
bf,breakout,CRSP,2020-07-17,136,137,0,95.3,5.664528571428572,93.63,LOSS,stop_hit,1.0,-0.29481712007303623
bf,breakout,SMPL,2020-07-17,136,137,0,22.27,0.9520071428571428,22.19,WIN,exit_fired,31.0,2.54199773411064
bf,breakout,AMZN,2020-07-27,142,143,0,150.0165,6.533218088781128,149.788,WIN,earnings_flat_favorable,1.0,0.25408611459803493
bf,breakout,PINS,2020-08-13,155,156,0,34.68,2.099714285714286,34.455,LOSS,stop_hit,1.0,-0.1071574363859035
bf,breakout,TECL,2020-08-14,156,157,0,27.6376,1.1506277111895937,27.457574423396476,LOSS,stop_hit,1.0,-0.15645857895895857
bf,breakout,EBS,2020-08-17,157,158,0,129.92,7.003114285714289,126.02,LOSS,stop_hit,4.0,-0.556895095651321
bf,breakout,RPD,2020-08-17,157,158,0,61.19,1.7552214285714283,59.56,BE,ratchet_hit,13.0,0.0
bf,breakout,CALX,2020-08-18,158,159,0,20.62,0.9254285714285714,20.58,LOSS,stop_hit,1.0,-0.04322321704229992
