setup,class,ticker,signal_date,signal_idx,entry_idx,is_example,entry_close,adr,stop,outcome,reason,bars,move_adr
dtss,fade,MASI,2020-11-05,214,215,0,254.94,8.407857142857141,259.29,BE,ratchet_hit,15.0,0.0
dtss,fade,MASI,2020-11-19,224,225,0,247.96,7.753571428571432,250.715,LOSS,stop_hit,4.0,-0.35532012897282284
dtss,fade,MASI,2020-12-01,231,232,0,254.53,5.838214285714293,254.985,LOSS,stop_hit,1.0,-0.07793478925796987
dtss,fade,MASI,2020-12-03,233,234,0,265.24,6.6464285714285785,267.97,LOSS,stop_hit,1.0,-0.4107469102633016
dtss,fade,CWST,2020-11-16,221,222,0,60.99,1.5525428571428581,61.02,LOSS,stop_hit,1.0,-0.019323138077624525
dtss,fade,CWST,2020-12-17,243,244,0,62.82,1.5171071428571428,63.58,WIN,exit_fired,20.0,2.8409331669766256
dtss,fade,CWST,2025-01-17,1268,1269,0,110.87,2.158307142857143,112.71,WIN,exit_fired,5.0,2.0293682548823027
dtss,fade,TROW,2020-11-16,221,222,0,111.3296,3.726869671271687,114.13781502155018,LOSS,stop_hit,6.0,-0.7535050241217478
dtss,fade,FIZZ,2020-11-17,222,223,0,38.6609,1.671470910807738,40.97683859049653,LOSS,stop_hit,8.0,-1.3855691867095385
dtss,fade,MLAB,2020-11-17,222,223,0,272.0701,6.962122138603111,284.83039240057326,BE,ratchet_hit,15.0,0.0
dtss,fade,MLAB,2020-12-17,243,244,0,274.806,7.326911055303539,282.9602491658976,WIN,exit_fired,10.0,0.09851354746247437
dtss,fade,MLAB,2020-12-21,245,246,0,278.4735,7.439073795601672,282.03366908931696,WIN,exit_fired,8.0,0.5900331305484764
dtss,fade,MLAB,2024-10-02,1194,1195,0,129.3361,4.90127391353194,134.09772756218905,LOSS,stop_hit,11.0,-0.9715081520015996
dtss,fade,NVR,2020-11-18,223,224,0,4215.53,173.11785714285708,4308.0,BE,ratchet_hit,19.0,0.0
dtss,fade,AAON,2020-11-19,224,225,0,42.3928,1.9774499471050693,42.878436169237816,LOSS,stop_hit,1.0,-0.2455870855031107
dtss,fade,AAON,2025-01-23,1271,1272,0,131.9406,4.128766166442273,135.55949672217616,WIN,earnings_flat_favorable,22.0,7.390125468474287
dtss,fade,GPI,2020-11-19,224,225,0,116.4094,5.166841212391314,117.66121752005957,LOSS,stop_hit,1.0,-0.24227907702241838
dtss,fade,HOV,2020-11-19,224,225,0,37.71,2.5742857142857143,39.46,LOSS,stop_hit,1.0,-0.6798002219755827
dtss,fade,WSM,2020-11-23,226,227,0,51.1831,2.1609160659313673,51.94885282400851,BE,ratchet_hit,16.0,0.0
dtss,fade,WKHS,2020-11-27,229,230,0,76110.0,7072.9285714285725,82410.0,WIN,exit_fired,20.0,1.8917199381949281
dtss,fade,PTGX,2020-11-30,230,231,0,23.17,1.6151714285714285,24.9,BE,ratchet_hit,14.0,0.0
dtss,fade,QLD,2020-12-01,231,232,0,26.6567,0.6265637685067768,26.723415878754174,LOSS,stop_hit,1.0,-0.10647899241472362
dtss,fade,PCTY,2020-12-02,232,233,0,195.81,6.600285714285716,199.57,LOSS,stop_hit,2.0,-0.5696723085580695
dtss,fade,VICR,2020-12-03,233,234,0,84.11,2.385478571428572,84.49,LOSS,stop_hit,1.0,-0.15929717606829222
dtss,fade,VICR,2020-12-16,242,243,0,92.59,3.043928571428571,96.0,LOSS,stop_hit,3.0,-1.1202628182564816
dtss,fade,VICR,2021-02-12,281,282,0,100.37,3.670342857142856,104.68,WIN,earnings_flat_favorable,8.0,0.5122137285734331
dtss,fade,ELF,2020-12-04,234,235,0,22.26,0.622771428571429,22.55,LOSS,stop_hit,1.0,-0.46566041198329877
dtss,fade,ELF,2021-03-09,297,298,0,27.41,1.120728571428571,27.81,LOSS,stop_hit,1.0,-0.35691068310155266
dtss,fade,ELF,2021-10-29,461,462,0,32.77,0.7683214285714285,32.9625,LOSS,stop_hit,1.0,-0.25054618137869533
dtss,fade,ELF,2024-06-25,1126,1127,0,204.59,9.58882142857143,213.48,LOSS,stop_hit,1.0,-0.9271212386447
dtss,fade,ELF,2024-06-27,1128,1129,0,210.72,10.459921428571429,215.99,LOSS,stop_hit,1.0,-0.5038278763361385
dtss,fade,UNIT,2020-12-07,235,236,0,13.0415,0.6034530890487358,13.585374422299903,LOSS,stop_hit,7.0,-0.9012704254397809
dtss,fade,LSTR,2020-12-10,238,239,0,123.734,2.9575158155955714,124.99613675028834,LOSS,stop_hit,1.0,-0.4267557061344692
dtss,fade,LSTR,2021-12-29,502,503,0,162.2277,3.5712426584548433,164.63841835922165,LOSS,stop_hit,2.0,-0.6750362800226754
dtss,fade,ODFL,2020-12-08,236,237,0,98.8518,2.499414866800798,102.8444825565912,WIN,exit_fired,13.0,1.685234434646457
dtss,fade,PINC,2020-12-08,236,237,0,30.992,0.8054092846224601,31.844753752084493,LOSS,stop_hit,1.0,-1.0587831160702663
dtss,fade,DDOG,2020-12-15,241,242,0,104.55,4.862164285714286,105.0,LOSS,stop_hit,1.0,-0.09255137703227456
dtss,fade,NFLX,2020-12-16,242,243,0,53.29,1.4071935559480357,53.54900000000001,LOSS,stop_hit,1.0,-0.18405428230199464
dtss,fade,NFLX,2020-12-21,245,246,0,52.733,1.333293555948035,53.03999999999999,LOSS,stop_hit,4.0,-0.23025686926215097
dtss,fade,IQV,2020-12-17,243,244,0,180.39,3.7364285714285757,180.99,WIN,exit_fired,6.0,1.488051997705975
dtss,fade,FSM,2020-12-21,245,246,0,7.33,0.30250714285714286,7.83,WIN,exit_fired,1.0,-0.495856060069421
dtss,fade,CRI,2020-12-23,247,248,0,78.0882,2.289564955441652,79.07447344490053,LOSS,stop_hit,1.0,-0.4307689295105773
dtss,fade,CRI,2021-01-07,256,257,0,83.9401,2.5056052568408336,84.30173364339566,LOSS,stop_hit,1.0,-0.14432985499544543
dtss,fade,PEGA,2020-12-22,246,247,0,69.1486,1.8040652246439035,69.66788214847662,LOSS,stop_hit,1.0,-0.28784000787949265
dtss,fade,PEGA,2021-02-16,282,283,0,70.1143,2.1210671125844973,71.05416997319034,LOSS,stop_hit,1.0,-0.4431118504520676
dtss,fade,VRSK,2020-12-23,247,248,0,194.4078,3.0935863393543923,194.939153625205,LOSS,stop_hit,1.0,-0.1717597528943948
dtss,fade,WB,2020-12-22,246,247,0,34.7622,1.20299936671567,35.35864777826661,WIN,earnings_flat_favorable,1.0,0.7310062036033007
dtss,fade,CBSH,2020-12-28,249,250,0,49.1787,1.0723030260100888,50.24195694745526,WIN,exit_fired,1.0,-0.20945571778875985
dtss,fade,INTU,2020-12-23,247,248,0,367.5713,7.3297419362704135,368.17883992811414,LOSS,stop_hit,1.0,-0.08288694655234613
dtss,fade,INTU,2020-12-28,249,250,0,364.8422,7.380025855592602,371.1008257447202,BE,ratchet_hit,13.0,0.0
dtss,fade,INTU,2021-02-17,283,284,0,401.2231,9.229816912482018,405.675875683093,WIN,earnings_flat_favorable,2.0,1.4483385885934286
dtss,fade,EW,2020-12-29,250,251,0,89.64,2.085714285714285,90.76,LOSS,stop_hit,1.0,-0.5369863013698654
dtss,fade,EW,2025-08-26,1419,1420,0,80.9,1.278571428571429,81.7,LOSS,stop_hit,3.0,-0.6256983240223439
