setup,class,alt_rank,expression,direction,threshold,n,wr,lr,ber,mean_w,mean_l,expectancy_1adr,expectancy_actual
base,breakout,1,w_range_pos_3,<=,0.242432,490,0.44693877551020406,0.5142857142857142,0.03877551020408163,3.345405682377024,-0.4854684143109588,0.9809058049807515,1.2455220490494012
base,breakout,2,w_retrace_3,<=,0.242432,490,0.44693877551020406,0.5142857142857142,0.03877551020408163,3.345405682377024,-0.4854684143109588,0.9809058049807515,1.2455220490494012
base,breakout,9,w_ext_avgc10_adr14,<=,0.691895,490,0.5612244897959183,0.42448979591836733,0.014285714285714285,2.5010674257421597,-0.4647202034010833,0.9791704940389672,1.2063913056564666
base,breakout,8,w_ext_avgc10_atr14,<=,0.685059,490,0.5612244897959183,0.42448979591836733,0.014285714285714285,2.4987589446626557,-0.4647202034010833,0.9778749179229189,1.2050957295404183
base,breakout,6,w_low_vs_xavgc8_atr14,<=,-0.350342,490,0.49387755102040815,0.46530612244897956,0.04081632653061224,2.90998147482149,-0.4640684889323399,0.9718684018506132,1.2212406151637285
base,breakout,7,w_low_vs_xavgc8_adr14,<=,-0.351074,490,0.4959183673469388,0.46530612244897956,0.03877551020408163,2.8971060132927056,-0.4640684889323399,0.9714219616941377,1.220794175007253
base,breakout,4,w_slope_xavgc8_off2_adr14,<=,0.323237,490,0.5551020408163265,0.42653061224489797,0.018367346938775512,2.4157221102938093,-0.4596266884563395,0.9144416612243187,1.1449274206378393
base,breakout,3,w_slope_xavgc8_off2_atr14,<=,0.319336,490,0.5551020408163265,0.42653061224489797,0.018367346938775512,2.3943770660182664,-0.4596266884563395,0.9025929835856499,1.1330787429991704
base,breakout,0,w_slope_xavgc9_off2_atr14,<=,0.402832,490,0.6,0.38979591836734695,0.01020408163265306,1.98431928939032,-0.43837521034308974,0.8007956552668452,1.0197147059290286
base,breakout,5,w_slope_xavgc9_off2_adr14,<=,0.410156,490,0.5979591836734693,0.39183673469387753,0.01020408163265306,1.9809464222367215,-0.4377989599026259,0.7926883708476722,1.012979390640929
