setup,class,alt_rank,expression,direction,threshold,n,wr,lr,ber,mean_w,mean_l,expectancy_1adr,expectancy_actual
htf,breakout,0,w_rsi_slope_21_off3,<=,-8.459807,466,0.30257510729613735,0.5836909871244635,0.11373390557939914,5.299979002815391,-0.47336190718198073,1.0199507283196785,1.327344636573973
htf,breakout,1,w_cci_5,<=,33.8125,466,0.47639484978540775,0.5021459227467812,0.02145922746781116,4.05021748517699,-0.4383079826213713,1.4273568277023432,1.7094081840684356
htf,breakout,2,w_ns_l_minl2_pct,<=,-1.602146,466,0.45064377682403434,0.51931330472103,0.030042918454935622,4.169600705713972,-0.4541492830036101,1.359691305150073,1.643158844877812
htf,breakout,3,w_rsi_slope_14_off3,<=,-10.09375,466,0.3497854077253219,0.5708154506437768,0.07939914163090128,4.910243505645479,-0.4645819006775411,1.146716076009041,1.4523409996566248
htf,breakout,4,w_nr_h_maxh3_adr14,>=,0.627441,466,0.41630901287553645,0.5364806866952789,0.04721030042918455,4.1566848972850545,-0.4579187314383861,1.1939846997281127,1.4848008309306953
htf,breakout,5,w_retrace_high_15,<=,0.876131,466,0.4313304721030043,0.5257510729613734,0.04291845493562232,3.9957921085276813,-0.45685303305321495,1.1977558236353305,1.4833159242833183
htf,breakout,6,w_rsi_slope_21_off5,<=,-8.328125,466,0.27467811158798283,0.5879828326180258,0.13733905579399142,5.625601529097834,-0.476286111183976,0.9572467719410359,1.2651815477684836
htf,breakout,7,w_rsi_slope_21_off3,<=,-7.042506,466,0.3240343347639485,0.572961373390558,0.10300429184549356,5.080979070491918,-0.4586758698158949,1.073450299665836,1.38360811674557
htf,breakout,8,w_nr_h_maxh25_atr14,>=,0.57959,466,0.43776824034334766,0.5107296137339056,0.05150214592274678,3.5641734288358426,-0.4430755316611531,1.0495523164860772,1.333990135079737
htf,breakout,9,w_nr_h_maxh25_adr14,>=,0.590332,466,0.43776824034334766,0.5107296137339056,0.05150214592274678,3.5788090498131204,-0.4430755316611531,1.0559593265276321,1.3403971451212922
bf,breakout,0,w_nr_h_maxh2_pct,>=,7.746094,398,0.33668341708542715,0.6105527638190955,0.052763819095477386,5.14373831787466,-0.41657527942975275,1.121258629636192,1.4774702052607398
bf,breakout,1,w_nr_h_maxh3_adr14,>=,1.052734,398,0.2964824120603015,0.6306532663316583,0.0728643216080402,5.622205853202942,-0.4312780608341836,1.0362318861254955,1.3948982346948922
bf,breakout,2,w_nr_h_maxh7_atr14,>=,0.98584,398,0.314070351758794,0.6231155778894473,0.06281407035175879,5.317899253502741,-0.4258926747754993,1.0470789112759866,1.4048141290038163
bf,breakout,3,w_nr_h_maxh15_atr14,>=,1.021484,398,0.30904522613065327,0.6256281407035176,0.06532663316582915,5.449256708534312,-0.42639606971019806,1.0584386310294482,1.417301391436887
bf,breakout,4,w_nr_h_maxh15_adr14,>=,1.051758,398,0.30402010050251255,0.6256281407035176,0.07035175879396985,5.50222766988173,-0.42639606971019806,1.0471596684816313,1.4060224288890701
bf,breakout,5,w_nr_h_maxh35_atr14,>=,0.960449,398,0.31909547738693467,0.6180904522613065,0.06281407035175879,5.227512198099448,-0.4273584838613185,1.0499850481372608,1.4039293018310188
bf,breakout,6,w_nr_h_maxh35_adr14,>=,0.991699,398,0.3165829145728643,0.6180904522613065,0.06532663316582915,5.3647497265420965,-0.4273584838613185,1.080297652121367,1.434241905815125
bf,breakout,7,w_nr_h_maxh2_atr14,>=,0.791992,398,0.32914572864321606,0.6231155778894473,0.04773869346733668,5.270337850925855,-0.4238449966179925,1.1115936142494647,1.4706047721357407
bf,breakout,8,w_nr_h_maxh2_adr14,>=,0.810547,398,0.3241206030150754,0.6231155778894473,0.052763819095477386,5.317325103753883,-0.4238449966179925,1.1003390411664598,1.4593501990527358
