setup,class,alt_rank,expression,direction,threshold,n,wr,lr,ber,mean_w,mean_l,expectancy_1adr,expectancy_actual
htf,breakout,1,w_cci_5,<=,33.8125,466,0.47639484978540775,0.5021459227467812,0.02145922746781116,4.05021748517699,-0.4383079826213713,1.4273568277023432,1.7094081840684356
htf,breakout,2,w_ns_l_minl2_pct,<=,-1.602146,466,0.45064377682403434,0.51931330472103,0.030042918454935622,4.169600705713972,-0.4541492830036101,1.359691305150073,1.643158844877812
htf,breakout,5,w_retrace_high_15,<=,0.876131,466,0.4313304721030043,0.5257510729613734,0.04291845493562232,3.9957921085276813,-0.45685303305321495,1.1977558236353305,1.4833159242833183
htf,breakout,4,w_nr_h_maxh3_adr14,>=,0.627441,466,0.41630901287553645,0.5364806866952789,0.04721030042918455,4.1566848972850545,-0.4579187314383861,1.1939846997281127,1.4848008309306953
htf,breakout,3,w_rsi_slope_14_off3,<=,-10.09375,466,0.3497854077253219,0.5708154506437768,0.07939914163090128,4.910243505645479,-0.4645819006775411,1.146716076009041,1.4523409996566248
htf,breakout,7,w_rsi_slope_21_off3,<=,-7.042506,466,0.3240343347639485,0.572961373390558,0.10300429184549356,5.080979070491918,-0.4586758698158949,1.073450299665836,1.38360811674557
htf,breakout,9,w_nr_h_maxh25_adr14,>=,0.590332,466,0.43776824034334766,0.5107296137339056,0.05150214592274678,3.5788090498131204,-0.4430755316611531,1.0559593265276321,1.3403971451212922
htf,breakout,8,w_nr_h_maxh25_atr14,>=,0.57959,466,0.43776824034334766,0.5107296137339056,0.05150214592274678,3.5641734288358426,-0.4430755316611531,1.0495523164860772,1.333990135079737
htf,breakout,0,w_rsi_slope_21_off3,<=,-8.459807,466,0.30257510729613735,0.5836909871244635,0.11373390557939914,5.299979002815391,-0.47336190718198073,1.0199507283196785,1.327344636573973
htf,breakout,6,w_rsi_slope_21_off5,<=,-8.328125,466,0.27467811158798283,0.5879828326180258,0.13733905579399142,5.625601529097834,-0.476286111183976,0.9572467719410359,1.2651815477684836
