feature,mean_winner,mean_loser,std_winner,std_loser,n_winner,n_loser,sep_z
m_di_spread_7,66.15076335877863,36.586333664455864,21.76226461266046,21.518477473184902,131,1569,1.3661485123375197
m_ext_avgc8_pct,40.28139909351145,20.459316843767382,15.464066923601685,14.676233725510661,131,1545,1.3148716946772756
m_ns_c_minl2_pct,52.4749765037594,28.252881412842413,19.824987489279355,17.497530841075545,133,1588,1.2954717438976555
m_ext_avgc10_pct,43.859130859375,23.77282708568717,15.71171688726046,15.611854913825947,128,1459,1.2824975277437018
m_ext_avgc5_pct,30.766080239661655,13.765397118109911,14.307054786720714,12.652400797854146,133,1587,1.2588349731383262
m_ext_avgc13_pct,47.45664702868852,26.831290980911543,16.16124817103629,16.613056825103012,122,1331,1.258510074969135
m_ns_c_minl3_pct,56.89955357142857,33.46872724633973,19.366739010275143,18.41632223791342,133,1588,1.2398898400438354
m_ext_slope_xavgc13_off3,2.0239079313458137,0.7365705478671482,1.0920707555382614,0.9887971543371356,106,1167,1.235787098514297
m_ext_xavgc8_pct,32.747167223282446,16.693723729204592,14.017897788208195,12.244394828834425,131,1545,1.2197688723005564
m_ext_slope_xavgc21_off2,2.0762139892578126,0.7285474100813698,1.2081068055023716,1.007740989173316,100,939,1.2114465111286594
m_ext_slope_xavgc13_off2,1.729263028231534,0.4931395686679072,1.1442218083299092,0.9177469941334349,110,1232,1.1918068006472422
m_ext_slope_xavgc21_off3,2.3822866112294823,1.0285501066809228,1.1769855201010082,1.1017601363489646,99,923,1.1874949435420545
w_ext_slope_xavgc100_off2,2.110560099283854,0.9665547788670633,1.0764460749948495,0.8403773321789999,96,904,1.1846964640540611
w_ext_slope_avgc50_off2,2.2045178535657053,0.9029191113772175,1.3167456228911996,0.8251059895730668,117,1293,1.1845893330263952
m_ext_xavgc9_pct,34.504723837209305,18.068738554381305,14.799105077782677,12.902041402402777,129,1499,1.1838916740849696
m_ext_xavgc5_pct,24.335526315789473,11.33002024351912,12.036575780524212,10.162591879679958,133,1587,1.167558399209967
m_ext_xavgc10_pct,36.18072509765625,19.390541353807457,15.521897823201778,13.30962897221996,128,1459,1.1612963723652288
m_ns_c_minl2_atr14,3.052709119073276,1.6846146549950751,1.2941989046482005,1.0794142418688804,116,1277,1.1480620062676776
m_ns_c_minl2_adr14,3.0660105738146552,1.6963501574009214,1.296983316954802,1.0864413400195605,116,1277,1.1448632084256583
m_ext_slope_xavgc8_off3,1.5831016014362205,0.5240336069392336,0.9927662957353011,0.8691788144919841,116,1277,1.1350954437578509
w_ext_slope_xavgc50_off2,2.062472873263889,0.8524824540373529,1.2812721891895165,0.8070978265036128,117,1293,1.130026728328521
m_cci_10,190.79248046875,132.36344322952365,45.36844729208283,57.3622779924086,128,1459,1.129844079828472
m_ext_avgc5_atr14,1.833161189638335,0.8352687390595558,0.9706353573746371,0.7908807650244952,116,1277,1.1271392974011964
m_ext_avgc5_adr14,1.8408097891971982,0.8412096326763777,0.9734632990301012,0.7958688346172277,116,1277,1.1242688027989838
m_di_spread_14,51.73168103448276,28.700456599845676,22.27877603382445,18.567400813928504,116,1277,1.123078759500515
m_di_spread_20,47.01999080882353,24.898223466198086,21.847166244311644,17.354977199154895,102,1003,1.1212622724859764
m_ext_slope_xavgc8_off2,1.379601708773909,0.33278592676507746,1.0382282316907196,0.8168032688471965,116,1277,1.1206678467755349
m_bb_pctb_30,1.2303440824468086,0.9085104779270449,0.2769177244034316,0.3002773349742449,94,813,1.1142519598508986
m_ext_xavgc12_pct,38.52387152777778,21.013770157930562,17.139070528463442,14.320125243781726,126,1383,1.108752113126902
m_ns_c_minl5_pct,62.89476799242424,42.02938817711623,19.08859070258374,18.914128736188378,132,1583,1.0980877292813436
m_ext_xavgc13_pct,39.509029200819676,21.448554986943705,17.85529048661275,14.968340538044645,122,1331,1.0962236802234528
m_ns_c_minl7_pct,67.05510496183206,46.92253425869741,17.88155740233858,19.025387831895994,131,1545,1.0904673172871073
m_cci_30,280.1120345744681,147.31017330681118,131.53633933479844,113.89984319061959,94,813,1.0793870588374415
