class,setup,feature,n_w,n_l,w_p50,l_p50,w_p50_quantile_in_loser,auc
breakout,ALL,m_di_spread_7,131,1569,64.6875,35.625,0.9139579349904398,0.8443239482531296
breakout,base,m_di_spread_7,47,599,56.65625,28.359375,0.9398998330550918,0.8715234610876283
breakout,bf,m_di_spread_7,55,474,73.5625,47.75,0.9135021097046413,0.8475067126965861
breakout,htf,m_di_spread_7,29,496,63.59375,34.375,0.9213709677419355,0.8395091768631813
breakout,ALL,m_ext_avgc8_pct,131,1545,38.59375,18.9375,0.8815533980582524,0.8228958225252601
breakout,base,m_ext_avgc8_pct,47,599,35.03125,14.2734375,0.9599332220367279,0.869925052392285
breakout,bf,m_ext_avgc8_pct,55,464,48.46875,28.4453125,0.9181034482758621,0.7957288401253918
breakout,htf,m_ext_avgc8_pct,29,482,39.375,17.09375,0.8941908713692946,0.8166046644727429
breakout,ALL,m_ns_c_minl2_pct,133,1588,52.65625,26.09375,0.8998740554156172,0.8187084524914301
breakout,base,m_ns_c_minl2_pct,47,599,39.65625,17.890625,0.9348914858096828,0.883298405143324
breakout,bf,m_ns_c_minl2_pct,56,474,62.90625,37.0625,0.9113924050632911,0.7895569620253164
breakout,htf,m_ns_c_minl2_pct,30,515,55.75,25.78125,0.9145631067961165,0.8212297734627831
breakout,ALL,m_ext_avgc10_pct,128,1459,42.5625,22.453125,0.8779986291980809,0.8158814898903358
breakout,base,m_ext_avgc10_pct,45,554,36.5625,17.7890625,0.9259927797833934,0.8563377456879262
breakout,bf,m_ext_avgc10_pct,55,446,50.71875,32.5625,0.8834080717488789,0.7844068487566246
breakout,htf,m_ext_avgc10_pct,28,459,44.515625,19.765625,0.906318082788671,0.8264861500155618
breakout,ALL,m_ext_avgc5_pct,133,1587,30.6875,12.2890625,0.9124133585381222,0.8171468368463692
breakout,base,m_ext_avgc5_pct,47,599,24.0625,8.3125,0.9532554257095158,0.8932085390544524
breakout,bf,m_ext_avgc5_pct,56,474,37.234375,19.796875,0.8924050632911392,0.78833257986739
breakout,htf,m_ext_avgc5_pct,30,514,27.171875,12.88671875,0.8599221789883269,0.7628728923476005
breakout,ALL,m_ext_avgc13_pct,122,1331,46.5625,25.6875,0.873779113448535,0.8117063467625723
breakout,base,m_ext_avgc13_pct,43,527,39.15625,20.921875,0.8975332068311196,0.8449759498698204
breakout,bf,m_ext_avgc13_pct,53,396,55.65625,36.671875,0.8914141414141414,0.776705736611397
breakout,htf,m_ext_avgc13_pct,26,408,48.265625,20.96875,0.9215686274509803,0.8229166666666666
breakout,ALL,m_ns_c_minl3_pct,133,1588,56.1875,31.0625,0.8803526448362721,0.8065164485521108
breakout,base,m_ns_c_minl3_pct,47,599,45.5,22.9375,0.9398998330550918,0.8737967534543388
breakout,bf,m_ns_c_minl3_pct,56,474,67.15625,44.0625,0.8755274261603375,0.7819092827004219
breakout,htf,m_ns_c_minl3_pct,30,515,58.375,30.984375,0.887378640776699,0.7826860841423948
breakout,ALL,m_ext_slope_xavgc13_off3,106,1167,1.95947265625,0.67529296875,0.9023136246786633,0.8190813406412184
breakout,base,m_ext_slope_xavgc13_off3,43,492,1.5966796875,0.263916015625,0.9471544715447154,0.8712894687086405
breakout,bf,m_ext_slope_xavgc13_off3,44,314,2.0732421875,1.2119140625,0.8057324840764332,0.7526418645049219
breakout,htf,m_ext_slope_xavgc13_off3,19,361,2.046875,0.892578125,0.9113573407202216,0.8643388249015892
breakout,ALL,m_ext_xavgc8_pct,131,1545,31.46875,15.234375,0.8763754045307444,0.8084340028162751
breakout,base,m_ext_xavgc8_pct,47,599,29.015625,12.3828125,0.9465776293823038,0.8703157745178134
breakout,bf,m_ext_xavgc8_pct,55,464,37.78125,22.9765625,0.8793103448275862,0.7836990595611285
breakout,htf,m_ext_xavgc8_pct,29,482,26.234375,13.96875,0.8423236514522822,0.7859493489769638
breakout,ALL,m_ext_slope_xavgc21_off2,100,939,1.98388671875,0.6494140625,0.9148029818956337,0.8171725239616613
breakout,base,m_ext_slope_xavgc21_off2,39,367,1.6455078125,0.374755859375,0.9427792915531336,0.8797945923286523
breakout,bf,m_ext_slope_xavgc21_off2,42,255,2.0283203125,0.85400390625,0.8470588235294118,0.7451447245564893
breakout,htf,m_ext_slope_xavgc21_off2,19,317,2.1640625,0.8212890625,0.9242902208201893,0.8557197409928607
breakout,ALL,m_ext_slope_xavgc13_off2,110,1232,1.56982421875,0.4324951171875,0.900974025974026,0.8155512101534829
breakout,base,m_ext_slope_xavgc13_off2,43,508,1.37109375,0.1854248046875,0.9468503937007874,0.8801730452298114
breakout,bf,m_ext_slope_xavgc13_off2,45,346,1.7802734375,0.568359375,0.869942196531792,0.7624919717405266
breakout,htf,m_ext_slope_xavgc13_off2,22,378,1.853515625,0.6640625,0.9285714285714286,0.8172198172198172
breakout,ALL,m_ext_slope_xavgc21_off3,99,923,2.32421875,0.982421875,0.8959913326110509,0.8106306838701205
breakout,base,m_ext_slope_xavgc21_off3,38,365,1.98291015625,0.5029296875,0.9534246575342465,0.8729632299927902
breakout,bf,m_ext_slope_xavgc21_off3,42,246,2.4931640625,1.63525390625,0.7723577235772358,0.7151084010840109
breakout,htf,m_ext_slope_xavgc21_off3,19,312,2.423828125,1.0625,0.9102564102564102,0.8620951417004049
