setup,rule,IS_kept_winner_fb,IS_kept_winner_ex,LOO_kept_winner_ex,kept_loser_fb,IS_lift,LOO_lift,overfit_delta
htf,m_bb_pctb_30>=1.06 AND m_ext_slope_xavgc13_off3>=1.33,0.5,0.5,0.4166666666666667,0.07961165048543689,0.4203883495145631,0.3370550161812298,0.08333333333333331
htf,m_bb_pctb_30>=1.06 AND w_ext_slope_avgc50_off2>=0.94,0.4666666666666667,0.5,0.4583333333333333,0.07766990291262135,0.38899676375404535,0.38066343042071193,0.041666666666666685
htf,m_ext_slope_xavgc13_off3>=1.33 AND w_ext_slope_avgc50_off2>=0.94,0.5,0.5416666666666666,0.5,0.13592233009708737,0.3640776699029126,0.3640776699029126,0.04166666666666663
bf,w_ext_slope_xavgc100_off2>=1.28 AND m_di_spread_7>=54.37,0.5892857142857143,0.627906976744186,0.627906976744186,0.08227848101265822,0.5070072332730561,0.5456284957315278,0.0
bf,w_ext_slope_xavgc100_off2>=1.28 AND m_di_spread_20>=33.19,0.5892857142857143,0.627906976744186,0.627906976744186,0.08649789029535865,0.5027878239903556,0.5414090864488275,0.0
bf,w_ext_slope_xavgc100_off2>=1.28 AND m_bb_pctb_30>=0.82,0.5535714285714286,0.627906976744186,0.6046511627906976,0.09915611814345991,0.4544153104279687,0.5054950446472377,0.023255813953488413
base,m_ext_avgc5_pct>=12.96 AND m_bb_pctb_30>=1.05,0.6382978723404256,0.5675675675675675,0.5675675675675675,0.11352253756260434,0.5247753347778212,0.4540450300049632,0.0
base,m_bb_pctb_30>=1.05 AND m_di_spread_20>=26.55,0.6595744680851063,0.5945945945945946,0.5675675675675675,0.12020033388981637,0.53937413419529,0.44736723367775116,0.027027027027027084
base,m_ext_avgc5_pct>=12.96 AND m_di_spread_20>=26.55,0.7021276595744681,0.6216216216216216,0.6216216216216216,0.12687813021702837,0.5752495293574398,0.4947434914045932,0.0
dtss,m_ns_c_minl55_pct>=56.88 AND m_stoch_7<=76.69,0.34782608695652173,0.36065573770491804,0.3442622950819672,0.12999216914643696,0.21783391781008477,0.21427012593553024,0.016393442622950838
dtss,w_es_ext50_pullback_20>=1.13 AND m_stoch_7<=76.69,0.7934782608695652,0.819672131147541,0.8032786885245902,0.4283476898981989,0.3651305709713663,0.3749309986263913,0.016393442622950838
dtss,w_es_ext50_peak_20<=0.69 AND m_stoch_7<=76.69,0.7934782608695652,0.819672131147541,0.819672131147541,0.4494909945184025,0.34398726635116267,0.3701811366291385,0.0
