setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_max,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
base,long,PAAS,128,128,1,0,2020-07-07,27.109,1.184187562662654,14.6953125,,1,20,7.000004930609655,-0.5928373568140343,14,5,0,12.9625,1.0517578125
base,long,TXG,128,128,1,0,2020-07-07,88.66,3.388214285714288,19.703125,,1,24,3.777801201644352,0.8618108991251185,19,5,0,12.9625,1.0517578125
base,long,VECO,129,129,1,0,2020-07-08,13.73,0.6322857142857146,-3.56640625,,1,17,1.1150022593764117,1.992769995481246,3,12,0,12.9625,1.0517578125
base,long,SHW,131,131,1,0,2020-07-10,185.0005,4.4353017407304804,9.9609375,,1,11,3.435193457640841,0.6108762587009409,11,2,0,12.9625,1.0517578125
base,long,FRPT,132,132,1,0,2020-07-13,85.07,3.5144571428571436,21.5,,1,14,3.2010633627627914,0.24470351039786656,14,1,0,12.9625,1.0517578125
base,long,HRL,132,132,1,0,2020-07-13,40.7625,0.7855816100718164,3.853515625,,1,30,5.301158378457739,4.122994780512491e-06,30,1,0,12.9625,1.0517578125
base,long,LEN,132,132,1,0,2020-07-13,51.1081,1.9820407696352333,14.734375,,1,43,7.188339795000584,0.131901974001082,30,1,0,12.9625,1.0517578125
base,long,LEN,1043,1043,1,0,2024-02-26,132.2372,2.5097059655966274,12.0390625,1.12890625,1,11,4.1911289222647525,0.44444391545998907,9,1,0,12.9625,1.0517578125
base,long,CC,133,133,1,0,2020-07-14,13.2226,0.6309238479371301,24.0625,,1,11,3.1190572053960355,0.3287145230819814,11,4,0,12.9625,1.0517578125
base,long,MTH,133,134,2,0,2020-07-15,38.796,1.7573665871840956,18.0625,,1,4,1.1708210463986413,0.17453899391140676,4,1,0,12.9625,1.0517578125
base,long,RH,133,133,1,1,2020-07-14,267.22,10.62317857142857,25.734375,,1,40,7.3650272819878335,-0.22074372413421858,35,1,0,12.9625,1.0517578125
base,long,ARE,137,137,1,0,2020-07-20,130.7,2.688811889167482,2.962890625,,1,4,1.3911810912910207,0.24411558488423687,3,2,0,12.9625,1.0517578125
base,long,PRAA,137,137,1,0,2020-07-20,38.69,1.418928571428571,19.96875,,1,12,2.255222753586713,0.5426629750817995,12,9,0,12.9625,1.0517578125
base,long,AMH,138,138,1,0,2020-07-21,24.007,0.5528748551105035,6.546875,,1,11,2.9390904216925025,0.9006885117125051,11,4,0,12.9625,1.0517578125
base,long,NVMI,138,139,2,0,2020-07-22,49.95,1.4288428571428575,10.0703125,,1,8,2.862456133334663,1.224767294214099,8,2,0,12.9625,1.0517578125
base,long,NVMI,146,146,1,0,2020-07-31,51.4,1.6040928571428574,10.0703125,,1,1,1.6457900103752454,-0.0623405306960329,1,1,0,12.9625,1.0517578125
base,long,EGP,139,140,2,0,2020-07-23,103.1891,2.380774545308365,9.1015625,,1,2,0.8903516858853188,0.5805205797631672,2,2,0,12.9625,1.0517578125
base,long,AEIS,142,142,1,0,2020-07-27,69.4767,2.257200688248176,8.8203125,,1,6,2.1588381787452593,1.1511056763003678,5,1,0,12.9625,1.0517578125
base,long,AEIS,144,144,1,0,2020-07-29,68.0354,2.1122300950979374,8.8203125,,1,4,2.989367037963478,0.4409692833265296,3,1,0,12.9625,1.0517578125
base,long,UI,142,142,1,0,2020-07-27,175.3268,4.809794519139792,2.478515625,,1,18,1.9226678820894967,1.2771859131755883,9,1,0,12.9625,1.0517578125
base,long,IWO,143,143,1,0,2020-07-28,204.2585,4.229600641266627,9.1875,,0,60,7.14792974211596,0.2935117217693574,55,41,0,12.9625,1.0517578125
base,long,QRVO,144,144,1,0,2020-07-29,115.28,3.3238999999999987,11.171875,,0,60,7.644634315111768,0.9777670808387741,51,28,0,12.9625,1.0517578125
base,long,RAMP,144,144,1,0,2020-07-29,45.95,1.438571428571427,16.84375,,1,7,5.51241310824231,1.056603773584909,7,1,0,12.9625,1.0517578125
base,long,RAMP,994,994,1,0,2023-12-13,34.62,0.9392857142857147,15.390625,0.68408203125,1,37,8.55969581749049,0.22357414448669283,23,1,0,12.9625,1.0517578125
base,long,UNH,144,144,1,0,2020-07-29,278.3601,6.7139550481695585,3.693359375,,1,53,3.8387186584073523,2.142272082836542,53,40,0,12.9625,1.0517578125
base,long,NSC,145,145,1,0,2020-07-30,167.9269,4.233450435142247,12.9296875,,0,60,7.817153650801061,0.8295921370758625,33,1,0,12.9625,1.0517578125
base,long,PAR,147,147,1,0,2020-08-03,31.31,1.5414285714285716,23.96875,,1,3,3.211306765523632,0.4151992585727506,2,1,0,12.9625,1.0517578125
base,long,UHAL,147,147,1,0,2020-08-03,32.0564,0.8154967670337633,11.1015625,,1,1,0.035276382678183435,0.12508459324160834,1,1,0,12.9625,1.0517578125
base,long,UHAL,282,283,2,0,2021-02-17,50.2364,1.64311131749342,17.859375,,0,60,9.315325653503793,-0.037592530954421284,22,1,0,12.9625,1.0517578125
base,long,NG,149,149,1,0,2020-08-05,9.56,0.3921428571428569,6.25,,0,60,6.477231329690348,3.595628415300549,38,4,0,12.9625,1.0517578125
base,long,WWW,149,149,1,0,2020-08-05,21.2792,0.8466248569440449,7.7734375,,0,60,4.877864666632546,1.8807165839227615,50,1,0,12.9625,1.0517578125
base,long,MMSI,151,152,2,0,2020-08-10,43.77,2.026607142857143,-4.80859375,,1,55,3.2602766763591484,2.1341087320468777,21,32,0,12.9625,1.0517578125
base,long,MMSI,154,154,1,0,2020-08-12,45.27,2.0291214285714285,-4.80859375,,1,53,2.517000672352916,2.870700549498905,19,30,0,12.9625,1.0517578125
base,long,IBKR,155,155,1,0,2020-08-13,12.6411,0.28804942490364194,2.724609375,,1,46,2.5435432111276612,3.7346220733734294,16,30,0,12.9625,1.0517578125
