setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,MASI,214,214,1,0,2020-11-05,249.99,8.000499999999997,,81.3125,0,60,1.672395475282795,4.358477595150306,3,43,0,56.875,76.69375000000002
dtss,short,MASI,224,224,1,0,2020-11-19,246.47,8.018214285714288,,81.3125,0,60,0.6959155494187355,4.787849093581578,3,33,0,56.875,76.69375000000002
dtss,short,MASI,231,231,1,0,2020-12-01,253.07,6.082857142857149,,81.3125,1,55,1.5814936589948325,5.2261625176139015,38,26,0,56.875,76.69375000000002
dtss,short,MASI,233,233,1,0,2020-12-03,261.47,6.423928571428577,,82.8125,1,53,2.805137043420251,3.6410741090787737,36,24,0,56.875,76.69375000000002
dtss,short,CWST,221,221,1,0,2020-11-16,61.05,1.5693142857142865,,84.0625,0,60,4.855623930379052,1.6121691002439644,40,23,0,56.875,76.69375000000002
dtss,short,CWST,241,243,3,0,2020-12-17,61.78,1.4821071428571433,,78.625,1,40,5.633870695679414,1.214487096074602,18,1,0,56.875,76.69375000000002
dtss,short,CWST,1268,1268,1,0,2025-01-17,111.49,2.1833071428571436,55.65625,71.4375,1,16,3.119121385316502,0.5587853289406954,5,1,0,56.875,76.69375000000002
dtss,short,TROW,221,221,1,0,2020-11-16,113.1546,3.742602067130337,,80.625,1,48,1.860087211771451,3.8723418420828204,3,47,0,56.875,76.69375000000002
dtss,short,FIZZ,222,222,1,0,2020-11-17,40.0108,1.6014500381897048,,79.25,1,15,1.5208773665536086,1.8257778994437095,5,11,0,56.875,76.69375000000002
dtss,short,MLAB,222,222,1,0,2020-11-17,282.6858,6.748359585517436,,79.25,1,51,4.187755817324042,2.6237029453295597,7,40,0,56.875,76.69375000000002
dtss,short,MLAB,243,243,1,0,2020-12-17,279.4586,6.961837091616429,,79.5625,1,30,1.4640941151797313,3.006805624031739,29,19,0,56.875,76.69375000000002
dtss,short,MLAB,245,245,1,0,2020-12-21,278.2199,7.406328635177549,,79.5625,1,28,1.2089775052847007,2.993600745092177,27,17,0,56.875,76.69375000000002
dtss,short,MLAB,1194,1194,1,0,2024-10-02,130.9893,4.903041730647708,29.65625,63.9375,1,25,4.3631462433198935,1.6596510957544073,19,25,0,56.875,76.69375000000002
dtss,short,NVR,222,223,2,0,2020-11-18,4290.27,172.1832142857142,,71.75,1,46,2.4106298730795523,1.8569173616973598,10,45,0,56.875,76.69375000000002
dtss,short,AAON,224,224,1,0,2020-11-19,42.5806,1.9476179492512469,,78.6875,0,60,1.42466683571838,5.226938650560983,12,55,0,56.875,76.69375000000002
dtss,short,AAON,1270,1271,2,0,2025-01-23,133.9787,4.097896104455917,59.375,42.1875,1,23,8.882044124489155,0.3857581260923755,22,1,1,56.875,76.69375000000002
dtss,short,GPI,224,224,1,0,2020-11-19,116.496,5.119382153404453,,82.0625,1,50,1.0353932502438372,7.913762919023613,21,35,0,56.875,76.69375000000002
dtss,short,HOV,224,224,1,0,2020-11-19,38.71,2.609285714285714,,78.5625,0,60,3.2729263618943336,8.281960032849714,29,59,0,56.875,76.69375000000002
dtss,short,WSM,226,226,1,0,2020-11-23,51.0109,2.1622105282262147,,78.1875,0,60,2.8981705524072763,8.215870694327961,27,43,0,56.875,76.69375000000002
