setup,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,outcome,reason,bars_to_outcome,profit_adr,ref_price,ref_idx,adr,had_earnings,entry_idx,rule_pass
base,PAAS,128,128,1,0,BE,breakout_too_far,0,0.0,27.24400498007968,128,1.184187562662654,0,,0
base,TXG,128,128,1,0,LOSS,stop_hit,1,-1.0,90.48,128,3.388214285714288,1,129.0,0
base,VECO,129,129,1,0,BE,no_breakout_within_fw,0,0.0,13.8,129,0.6322857142857146,0,,0
base,SHW,131,131,1,0,WIN,earnings_flat_favorable,9,2.7793082114875594,185.89412945156272,131,4.4353017407304804,1,133.0,0
base,FRPT,132,132,1,0,WIN,exit_fired,1,0.3556737069736435,88.61,132,3.5144571428571436,1,133.0,0
base,HRL,132,132,1,0,LOSS,stop_hit,1,-1.0,41.33924781523096,132,0.7855816100718164,1,133.0,0
base,LEN,132,132,1,0,WIN,exit_fired,29,4.810071115335592,54.171642944560034,132,1.9820407696352333,1,134.0,0
base,LEN,1043,1043,1,0,WIN,exit_fired,3,1.1486533955342735,134.01311772082482,1043,2.5097059655966274,1,1046.0,1
base,CC,133,133,1,0,LOSS,stop_hit,1,-1.0,13.27952386223862,133,0.6309238479371301,1,134.0,0
base,MTH,133,134,2,0,LOSS,stop_hit,2,-1.0,39.069662576328916,134,1.7573665871840956,1,135.0,0
base,RH,133,133,1,1,BE,breakout_too_far,0,0.0,267.51,133,10.62317857142857,0,,0
base,ARE,137,137,1,0,LOSS,stop_hit,1,-1.0,132.091855751195,137,2.688811889167482,1,139.0,0
base,PRAA,137,137,1,0,LOSS,stop_hit,1,-1.0,39.13,137,1.418928571428571,1,138.0,0
base,AMH,138,138,1,0,LOSS,stop_hit,1,-1.0,24.164251091703058,138,0.5528748551105035,1,139.0,0
base,NVMI,138,139,2,0,BE,no_breakout_within_fw,0,0.0,50.9697,139,1.4288428571428575,0,,0
base,NVMI,146,146,1,0,BE,breakout_too_far,0,0.0,51.69,146,1.6040928571428574,0,,0
base,EGP,139,140,2,0,BE,no_forward_window_after_earnings,0,0.0,104.749231010682,140,2.380774545308365,1,142.0,0
base,AEIS,142,142,1,0,LOSS,stop_hit,1,-1.0,69.99635355630821,142,2.257200688248176,1,145.0,0
base,AEIS,144,144,1,0,BE,breakout_too_far,0,0.0,68.48642008935005,144,2.1122300950979374,0,,0
base,UI,142,142,1,0,BE,breakout_too_far,0,0.0,176.23547423203584,142,4.809794519139792,0,,0
base,IWO,143,143,1,0,LOSS,stop_hit,1,-1.0,208.0035287307438,143,4.229600641266627,0,145.0,0
base,QRVO,144,144,1,0,BE,breakout_too_far,0,0.0,116.01,144,3.3238999999999987,0,,0
base,RAMP,144,144,1,0,LOSS,stop_hit,1,-1.0,46.28,144,1.438571428571427,1,147.0,0
base,RAMP,994,994,1,0,WIN,exit_fired,6,3.2790874524714795,35.07,994,0.9392857142857147,1,997.0,0
base,UNH,144,144,1,0,WIN,exit_fired,4,0.7840973705338498,281.1466055008478,144,6.7139550481695585,1,149.0,0
base,NSC,145,145,1,0,LOSS,stop_hit,1,-1.0,169.89184122412243,145,4.233450435142247,0,146.0,0
base,PAR,147,147,1,0,WIN,earnings_flat_favorable,2,2.0889712696941625,31.73,147,1.5414285714285716,1,148.0,0
base,UHAL,147,147,1,0,WIN,exit_fired,28,6.245264587433731,32.428906919677345,147,0.8154967670337633,0,149.0,0
base,UHAL,282,283,2,0,WIN,exit_fired,32,6.1780861107002485,51.019516791059516,283,1.64311131749342,0,284.0,0
base,NG,149,149,1,0,BE,no_breakout_within_fw,0,0.0,9.86,149,0.3921428571428569,0,,0
base,WWW,149,149,1,0,BE,no_breakout_within_fw,0,0.0,22.24762607626076,149,0.8466248569440449,0,,0
base,MMSI,151,152,2,0,LOSS,stop_hit,1,-1.0,45.02,152,2.026607142857143,1,154.0,0
base,MMSI,154,154,1,0,LOSS,stop_hit,1,-1.0,46.2,154,2.0291214285714285,1,155.0,0
base,NTES,154,154,1,0,LOSS,stop_hit,1,-1.0,85.43183730428004,154,1.9734482895764225,0,158.0,0
base,IBKR,155,155,1,0,LOSS,stop_hit,2,-1.0,12.738243428571428,155,0.28804942490364194,1,156.0,0
base,IBKR,1269,1269,1,0,BE,breakout_too_far,0,0.0,48.543377192345595,1269,1.2369924107151706,0,,0
base,NOW,157,159,3,0,LOSS,stop_hit,2,-1.0,89.03,159,2.298571428571428,1,160.0,0
base,NOW,161,161,1,0,WIN,exit_fired,5,3.6528356586338173,90.79799999999999,161,2.3652857142857138,1,163.0,0
base,AVNS,158,158,1,0,BE,no_breakout_within_fw,0,0.0,32.46,158,1.3114214285714283,0,,0
base,CALY,158,158,1,0,LOSS,stop_hit,1,-1.0,13.8867220855615,158,0.555065293777725,1,159.0,0
base,ZBH,158,158,1,0,BE,no_breakout_within_fw,0,0.0,129.68387608069165,158,3.021779146478447,0,,0
base,ZBH,315,315,1,0,LOSS,stop_hit,1,-1.0,151.84176088506453,315,2.8352622848017655,1,316.0,0
base,DKNG,162,162,1,0,BE,breakout_too_far,0,0.0,35.9,162,2.173428571428572,0,,0
base,DKNG,270,270,1,0,WIN,exit_fired,5,1.3395012975290541,57.89,270,3.1653571428571428,1,273.0,0
base,GGB,167,167,1,0,LOSS,stop_hit,3,-1.0,1.904502857142857,167,0.0774458191906058,1,168.0,0
base,LAUR,169,169,1,0,BE,no_breakout_within_fw,0,0.0,6.066733643410852,169,0.19687404050450732,0,,0
base,OEC,169,169,1,0,LOSS,stop_hit,1,-1.0,12.337750435471099,169,0.44382933786482187,1,171.0,0
base,PKG,175,176,2,0,LOSS,stop_hit,5,-1.0,90.55386572264703,176,2.20850847502717,1,177.0,0
base,PKG,322,322,1,0,WIN,exit_fired,1,1.1382374374363775,118.74385879616167,322,2.046182217555564,1,323.0,0
base,VRT,175,175,1,0,WIN,exit_fired,1,0.733427014997079,17.122477758112097,175,0.6104523459497677,1,176.0,0
base,DDOG,185,185,1,0,LOSS,stop_hit,1,-1.0,90.89,185,4.722492857142859,1,186.0,0
base,ARES,187,187,1,0,WIN,exit_fired,12,4.114665658624984,34.114542313432835,187,0.7644746736526657,1,190.0,0
base,ARES,307,307,1,0,BE,no_breakout_within_fw,0,0.0,47.28590803161184,307,1.3982672390755673,0,,0
base,PALL,188,188,1,0,WIN,exit_fired,1,0.0,220.0,188,5.664285714285713,0,191.0,0
base,AJG,189,189,1,0,LOSS,stop_hit,1,-1.0,100.25122780039769,189,1.7831371386480908,1,191.0,0
base,SIG,189,189,1,0,LOSS,stop_hit,2,-1.0,18.197007012035584,189,1.0675856990078827,1,190.0,0
base,SNBR,189,189,1,1,WIN,earnings_flat_favorable,7,4.518898453929495,49.935,189,2.143221428571429,1,190.0,0
base,HD,192,192,1,0,WIN,exit_fired,3,1.2391993040924838,247.53507505335114,192,5.194987541865514,1,194.0,0
base,INMD,193,193,1,0,LOSS,stop_hit,1,-1.0,19.42195,193,0.7829892857142856,1,194.0,0
base,CSX,195,195,1,0,LOSS,stop_hit,5,-1.0,24.452056304719285,195,0.5416283493292534,1,196.0,0
base,MHO,195,195,1,0,LOSS,stop_hit,1,-1.0,47.87,195,2.305600000000001,1,196.0,0
base,GLPI,200,200,1,0,LOSS,stop_hit,1,-1.0,27.871585489676473,200,0.8010488659034957,1,204.0,0
base,HBAN,202,202,1,0,BE,breakout_too_far,0,0.0,7.850994534412955,202,0.25017086306390984,0,,0
base,WSC,203,203,1,0,BE,breakout_too_far,0,0.0,17.35410154285714,203,0.5056852869304217,0,,0
base,WSC,500,500,1,0,BE,no_breakout_within_fw,0,0.0,40.42386401561357,500,1.0570529754374942,0,,0
base,CYH,204,206,3,0,BE,breakout_too_far,0,0.0,4.99,206,0.30612857142857136,0,,0
base,SONO,212,212,1,0,LOSS,stop_hit,3,-1.0,15.34,212,0.7025285714285711,1,213.0,0
base,BBIO,214,214,1,0,LOSS,stop_hit,1,-1.0,42.19,214,1.5703571428571428,0,219.0,0
base,EAT,214,214,1,0,LOSS,stop_hit,1,-1.0,47.78,214,2.537435714285716,1,216.0,0
base,EAT,297,297,1,0,WIN,exit_fired,2,0.4484745721061111,73.675,297,4.069349999999999,1,300.0,0
base,EAT,826,826,1,0,LOSS,stop_hit,1,-1.0,38.155,826,1.3914285714285721,1,828.0,0
base,EAT,828,828,1,0,LOSS,stop_hit,1,-1.0,38.46,828,1.3660714285714295,1,829.0,0
base,EAT,1181,1183,3,1,WIN,earnings_flat_favorable,30,9.10338542953289,73.32,1183,2.602328571428573,1,1184.0,1
base,NEO,221,221,1,0,LOSS,stop_hit,1,-1.0,42.75964666821454,221,1.9954416504346923,0,222.0,0
base,PJT,227,227,1,0,LOSS,stop_hit,1,-1.0,65.16552512063583,227,2.02456341516087,1,228.0,0
base,PJT,234,234,1,0,BE,breakout_too_far,0,0.0,66.425016,234,1.6729156308105597,0,,0
base,PJT,1432,1432,1,0,WIN,exit_fired,1,0.4467531964785283,185.13564761537188,1432,4.35084158311452,1,1435.0,0
base,APPS,238,239,2,0,WIN,exit_fired,10,2.890774991921225,44.18,239,3.006114285714287,1,240.0,0
base,CMG,238,238,1,0,WIN,exit_fired,5,3.4362019254263805,26.517,238,0.5846571428571428,1,241.0,0
base,CMG,240,240,1,0,BE,breakout_too_far,0,0.0,26.2606,240,0.5742857142857142,0,,0
base,TECH,241,241,1,0,BE,breakout_too_far,0,0.0,75.68156767368659,241,1.8007333222133417,0,,0
base,TECH,243,243,1,0,BE,breakout_too_far,0,0.0,75.5451619447314,243,1.7485366390650674,0,,0
base,TECH,375,375,1,0,LOSS,stop_hit,1,-1.0,110.27078001116568,375,2.706335936922101,1,377.0,0
base,VCEL,241,241,1,0,WIN,exit_fired,42,15.606354126307634,27.23,241,1.2904999999999998,1,245.0,0
base,ISRG,242,242,1,0,LOSS,stop_hit,2,-1.0,256.6533653090023,242,5.481191863138354,1,243.0,0
base,TVTX,243,243,1,0,WIN,exit_fired,6,0.49764767381076824,26.36,243,1.3664285714285713,1,244.0,0
base,NBP,233,233,1,0,LOSS,stop_hit,1,-1.0,41.36,233,1.6414285714285708,0,235.0,0
base,LAD,251,252,2,0,BE,breakout_too_far,0,0.0,286.309860928691,252,11.118228123744233,0,,0
base,SITM,253,253,1,0,WIN,exit_fired,8,2.687229507137782,117.421,253,6.634714285714283,1,256.0,0
