setup,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,outcome,reason,bars_to_outcome,profit_adr,ref_price,ref_idx,adr,had_earnings,entry_idx,rule_pass
bf,JD,101,101,1,1,WIN,earnings_flat_favorable,54,3.9997122926933764,46.06061183849471,101,2.1021982448250753,1,102.0,0
bf,JD,120,120,1,0,BE,no_breakout_within_fw,0,0.0,53.59106814839572,120,1.7541736813990043,0,,0
bf,RPAY,104,105,2,0,LOSS,stop_hit,3,-1.0,24.015,105,1.311114285714286,1,108.0,0
bf,NVAX,107,108,2,0,LOSS,stop_hit,1,-1.0,50.49,108,5.553571428571431,1,113.0,0
bf,SLP,109,110,2,0,WIN,earnings_flat_favorable,16,3.108606753606876,51.03506809588774,110,3.043624573334753,1,113.0,0
bf,PLUG,115,115,1,0,WIN,exit_fired,10,9.780821917808225,5.51,115,0.39107142857142846,1,118.0,0
bf,PLUG,239,239,1,0,LOSS,stop_hit,1,-1.0,27.85,239,2.3299928571428574,1,241.0,0
bf,PLUG,252,252,1,0,WIN,exit_fired,4,13.764901935649267,34.573,252,2.2845785714285727,1,255.0,0
bf,NET,124,124,1,0,LOSS,stop_hit,8,-1.0,36.04,124,2.2875714285714293,1,125.0,0
bf,QDEL,125,125,1,0,LOSS,stop_hit,2,-1.0,225.82,125,14.12972142857143,1,126.0,0
bf,OPK,133,135,3,0,BE,breakout_too_far,0,0.0,4.16,135,0.32892857142857135,0,,0
bf,SITM,133,133,1,0,LOSS,stop_hit,1,-1.0,47.73,133,3.2142857142857153,1,134.0,0
bf,SITM,195,195,1,0,LOSS,stop_hit,12,-1.0,86.44,195,3.9540714285714276,1,196.0,0
bf,CRSP,136,136,1,0,LOSS,stop_hit,1,-1.0,92.59,136,5.807028571428572,1,137.0,0
bf,SMPL,136,136,1,0,WIN,exit_fired,30,1.8727344556802346,22.76,136,1.0305785714285716,0,138.0,0
bf,AMZN,142,142,1,0,LOSS,stop_hit,7,-1.0,154.9,142,6.498243171705762,0,146.0,0
bf,PINS,155,155,1,0,LOSS,stop_hit,1,-1.0,35.75,155,2.107142857142857,1,158.0,0
bf,TECL,155,156,2,0,LOSS,stop_hit,1,-1.0,27.784596815178727,156,1.1871052628819656,0,158.0,0
bf,EBS,157,157,1,0,BE,no_breakout_within_fw,0,0.0,135.6313,157,6.676685714285718,0,,0
bf,RPD,157,157,1,0,LOSS,stop_hit,2,-1.0,60.3,157,1.8523642857142855,1,158.0,0
bf,CALX,158,158,1,0,BE,no_breakout_within_fw,0,0.0,21.4,158,0.9718571428571424,0,,0
bf,ZM,177,177,1,0,WIN,exit_fired,27,4.5190215294390015,413.5,177,27.769285714285708,1,180.0,0
bf,HYLN,179,180,2,0,BE,no_breakout_within_fw,0,0.0,51.94,180,6.384642857142857,0,,0
bf,PTON,179,179,1,0,WIN,exit_fired,22,5.916439276556652,85.7,179,7.813821428571428,1,180.0,0
bf,AEO,185,185,1,0,LOSS,stop_hit,1,-1.0,12.359202092050209,185,0.5608880211724727,1,186.0,0
bf,ZG,186,186,1,0,BE,breakout_too_far,0,0.0,102.81,186,4.541871428571427,0,,0
bf,ZG,252,252,1,0,LOSS,stop_hit,1,-1.0,137.535,252,6.053285714285716,1,254.0,0
bf,CX,187,187,1,0,LOSS,stop_hit,1,-1.0,3.6335767955801104,187,0.17233042668903267,1,188.0,0
bf,AMSC,191,191,1,0,WIN,exit_fired,10,2.2139037433155058,15.4,191,0.9350000000000003,1,192.0,0
bf,AMSC,194,196,3,0,LOSS,stop_hit,1,-1.0,17.86,196,1.2664285714285717,1,199.0,0
bf,ALTO,197,197,1,0,LOSS,stop_hit,1,-1.0,9.19,197,0.747142857142857,1,198.0,0
bf,BKE,198,199,2,0,LOSS,stop_hit,2,-1.0,13.11820432466979,199,0.5187979924705494,1,204.0,0
bf,CLF,198,199,2,0,LOSS,stop_hit,1,-1.0,7.57,199,0.39464285714285724,1,200.0,0
bf,CLF,224,224,1,0,WIN,exit_fired,39,20.685040979798167,9.11,224,0.3843357142857143,0,225.0,0
