setup,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,outcome,reason,bars_to_outcome,profit_adr,ref_price,ref_idx,adr,had_earnings,entry_idx,rule_pass
dtss,MASI,214,214,1,0,LOSS,stop_hit,18,-1.0,259.29,215,8.407857142857141,0,215.0,0
dtss,MASI,224,224,1,0,LOSS,stop_hit,5,-1.0,251.845,224,8.018214285714288,0,224.0,0
dtss,MASI,231,231,1,0,LOSS,stop_hit,1,-1.0,267.97,234,6.6464285714285785,1,234.0,0
dtss,MASI,233,233,1,0,LOSS,stop_hit,3,-1.0,272.58,236,6.375357142857153,1,236.0,0
dtss,CWST,221,221,1,0,LOSS,stop_hit,4,-1.0,61.49,223,1.6139714285714295,0,223.0,0
dtss,CWST,241,243,3,0,WIN,exit_fired,20,3.3418865792509242,63.58,244,1.5171071428571428,1,244.0,0
dtss,CWST,1268,1268,1,0,WIN,exit_fired,6,2.9771349492741996,112.99,1268,2.1833071428571436,1,1268.0,1
dtss,TROW,221,221,1,0,LOSS,stop_hit,6,-1.0,114.13781502155018,222,3.726869671271687,1,222.0,0
dtss,FIZZ,222,222,1,0,LOSS,stop_hit,8,-1.0,40.97683859049653,223,1.671470910807738,1,223.0,0
dtss,MLAB,222,222,1,0,WIN,exit_fired,31,1.5435225333075497,284.83039240057326,223,6.962122138603111,1,223.0,0
dtss,MLAB,243,243,1,0,WIN,exit_fired,10,1.2114312701356904,282.9602491658976,244,7.326911055303539,1,244.0,0
dtss,MLAB,245,245,1,0,WIN,exit_fired,8,1.068610059227675,282.03366908931696,246,7.439073795601672,1,246.0,0
dtss,MLAB,1194,1194,1,0,LOSS,stop_hit,11,-1.0,134.09772756218905,1195,4.90127391353194,1,1195.0,0
dtss,NVR,222,223,2,0,WIN,exit_fired,37,2.6270107504160163,4424.95,222,175.77392857142854,1,222.0,0
dtss,AAON,224,224,1,0,WIN,exit_fired,19,1.1031235322374862,43.946841017964076,227,1.976062475562152,0,227.0,0
dtss,AAON,1270,1271,2,0,WIN,earnings_flat_favorable,24,8.604304865886396,137.10049215041988,1270,4.145830802886716,1,1270.0,1
dtss,GPI,224,224,1,0,WIN,exit_fired,19,2.6609330525405044,129.36084336431512,227,5.183348506700235,1,227.0,0
dtss,HOV,224,224,1,0,LOSS,stop_hit,1,-1.0,41.38,227,2.4892857142857148,0,227.0,0
dtss,WSM,226,226,1,0,WIN,exit_fired,27,2.1996008539831338,51.94885282400851,227,2.1609160659313673,0,227.0,0
dtss,WKHS,228,229,2,0,WIN,exit_fired,21,3.215585527724256,85260.0,229,7006.5,0,229.0,0
dtss,PTGX,230,230,1,0,LOSS,stop_hit,15,-1.0,24.9,231,1.6151714285714285,0,231.0,0
dtss,QLD,231,231,1,0,LOSS,stop_hit,2,-1.0,27.01244324424304,233,0.597794656539128,0,233.0,0
dtss,PCTY,232,232,1,0,LOSS,stop_hit,9,-1.0,199.6,235,6.172000000000003,1,235.0,0
dtss,VICR,233,233,1,0,LOSS,stop_hit,1,-1.0,87.32,236,2.413335714285714,1,236.0,0
dtss,VICR,242,242,1,0,LOSS,stop_hit,3,-1.0,96.0,243,3.043928571428571,1,243.0,0
dtss,VICR,281,281,1,0,WIN,earnings_flat_favorable,8,1.6864909467391174,104.68,282,3.670342857142856,1,282.0,0
dtss,ELF,234,234,1,0,LOSS,stop_hit,9,-1.0,23.06,237,0.6966999999999999,1,237.0,0
dtss,ELF,297,297,1,0,WIN,exit_fired,1,0.2787375884702851,29.1,300,1.1121571428571424,1,300.0,0
dtss,ELF,461,461,1,0,WIN,exit_fired,4,2.966154951072809,33.38,464,0.7956428571428577,0,464.0,0
dtss,ELF,1126,1126,1,0,LOSS,stop_hit,2,-1.0,218.4999,1128,10.373814285714285,1,1128.0,1
dtss,ELF,1128,1128,1,0,LOSS,stop_hit,8,-1.0,219.5199,1130,11.114199999999999,1,1130.0,1
dtss,UNIT,234,235,2,0,LOSS,stop_hit,8,-1.0,14.02289527391049,235,0.599232263955957,1,235.0,0
dtss,LSTR,236,238,3,0,WIN,exit_fired,10,1.5429526598881174,125.22801690950055,240,3.269067833789734,1,240.0,0
dtss,LSTR,501,502,2,0,LOSS,stop_hit,1,-1.0,164.6475600707309,505,3.402947119724049,1,505.0,1
dtss,ODFL,236,236,1,0,WIN,exit_fired,13,3.2826813449714165,102.8444825565912,237,2.499414866800798,1,237.0,0
dtss,PINC,236,236,1,0,WIN,exit_fired,11,2.554541604378512,32.44775832870627,239,0.9003017702918947,1,239.0,0
dtss,DDOG,241,241,1,0,LOSS,stop_hit,3,-1.0,109.85,243,5.012164285714286,1,243.0,0
dtss,NFLX,242,242,1,0,LOSS,stop_hit,6,-1.0,53.63699999999999,244,1.4005349845194641,1,244.0,0
dtss,NFLX,245,245,1,0,LOSS,stop_hit,5,-1.0,53.262,245,1.3575435559480356,1,245.0,0
dtss,IQV,243,243,1,0,WIN,exit_fired,6,1.6486331485375618,180.99,244,3.7364285714285757,1,244.0,0
dtss,FSM,245,245,1,0,WIN,exit_fired,1,1.1569974734953117,7.83,246,0.30250714285714286,1,246.0,0
dtss,CRI,246,247,2,0,WIN,exit_fired,1,0.6086976134408888,79.70734508848152,250,2.308938062918819,1,250.0,0
dtss,CRI,256,256,1,0,WIN,exit_fired,14,4.730450611074461,86.63599607581675,259,2.5349585191193955,1,259.0,0
dtss,PEGA,246,246,1,0,WIN,exit_fired,11,2.3037784780604484,69.67779332756257,248,1.7945272806972088,1,248.0,0
dtss,VRSK,246,247,2,0,WIN,exit_fired,23,5.870997928812407,203.5181271843244,250,3.613615170975866,1,250.0,0
dtss,WB,246,246,1,0,WIN,earnings_flat_favorable,2,1.5989938360950484,35.77917431432303,246,1.1859797527138813,1,246.0,1
dtss,CBSH,247,249,3,0,WIN,exit_fired,1,0.9424494103641291,50.69121560673966,247,1.0487731180793765,1,247.0,0
dtss,INTU,247,247,1,0,LOSS,stop_hit,15,-1.0,374.10956034319895,249,7.550164523014018,1,249.0,0
dtss,INTU,249,249,1,0,LOSS,stop_hit,15,-1.0,374.10956034319895,249,7.550164523014018,1,249.0,0
dtss,INTU,283,283,1,0,WIN,earnings_flat_favorable,3,1.9827219311695328,406.0719170005531,283,9.18773163002628,1,283.0,0
dtss,EW,250,250,1,0,WIN,earnings_flat_favorable,18,2.600067046597383,92.08,250,2.1307142857142845,1,250.0,0
dtss,EW,1419,1419,1,0,LOSS,stop_hit,3,-1.0,81.7,1420,1.278571428571429,1,1420.0,0
dtss,POST,250,252,3,0,LOSS,stop_hit,17,-1.0,66.878029925531,250,1.2282581469117544,1,250.0,0
dtss,POST,711,712,2,0,WIN,exit_fired,5,1.472935171658798,92.26,714,2.0095928571428567,1,714.0,0
dtss,ACGL,251,251,1,0,LOSS,stop_hit,2,-1.0,34.45109661891117,253,0.8578463203450083,1,253.0,0
dtss,AMX,254,255,2,0,WIN,exit_fired,18,5.449759276560869,13.181841539482415,255,0.27616660903822304,1,255.0,0
dtss,EGO,254,254,1,0,WIN,exit_fired,14,6.8414583904748865,14.456104936530323,254,0.5355444303558793,1,254.0,1
dtss,EGO,575,576,2,0,WIN,earnings_flat_favorable,7,5.667899347651634,12.469422213114754,577,0.3822266558089747,1,577.0,1
dtss,CW,255,255,1,0,WIN,exit_fired,18,3.4118811136559075,117.96711177357227,255,2.878386276199746,1,255.0,0
dtss,CW,578,578,1,0,WIN,earnings_flat_favorable,8,4.574951796811654,157.76681539203705,580,3.4383565315376052,1,580.0,1
dtss,CW,1270,1271,2,0,WIN,earnings_flat_favorable,14,4.451417840570628,384.67468362566984,1270,7.823840599337067,1,1270.0,1
dtss,TW,260,260,1,0,LOSS,stop_hit,13,-1.0,65.33561237564064,260,1.7811559572267441,1,260.0,1
dtss,TW,262,263,2,0,LOSS,stop_hit,9,-1.0,65.24748897384922,264,1.6666349584315843,1,264.0,1
dtss,TW,1042,1042,1,0,LOSS,stop_hit,1,-1.0,105.54291589579009,1045,1.8362103679154873,1,1045.0,0
dtss,WMB,261,262,2,0,WIN,exit_fired,12,2.3759861738012664,17.753278426619655,261,0.47528829884264806,1,261.0,0
dtss,IRTC,264,264,1,0,LOSS,stop_hit,5,-1.0,282.64,264,13.18410714285714,1,264.0,1
dtss,SAIC,264,264,1,0,LOSS,stop_hit,2,-1.0,96.19410453291289,267,2.266745236781219,1,267.0,0
dtss,NTNX,274,274,1,0,LOSS,stop_hit,2,-1.0,35.23,277,1.1673214285714284,1,277.0,0
dtss,RIGL,274,274,1,0,LOSS,stop_hit,7,-1.0,50.8,277,2.852142857142856,1,277.0,0
dtss,BAND,275,275,1,0,LOSS,stop_hit,6,-1.0,189.47,276,8.613478571428573,1,276.0,0
dtss,BTAI,276,277,2,0,WIN,earnings_flat_favorable,18,5.097742072319743,1083.84,280,70.58811428571427,1,280.0,0
dtss,ALKS,892,892,1,0,WIN,earnings_flat_favorable,2,2.2138084632516675,32.26,893,0.6414285714285715,1,893.0,1
dtss,MRNA,277,277,1,0,WIN,earnings_flat_favorable,11,3.7679598135931736,189.26,277,11.802142857142856,1,277.0,0
dtss,MTB,277,277,1,0,WIN,exit_fired,1,0.9211846230469816,123.34375456891739,279,3.1085566316181863,1,279.0,0
dtss,BIO,279,279,1,0,WIN,exit_fired,21,6.241486068111451,689.0,281,20.533571428571438,1,281.0,0
dtss,PAGS,279,279,1,0,WIN,exit_fired,1,0.392644674979488,59.5792171996124,280,2.4393994383406237,1,280.0,0
dtss,BFAM,921,921,1,0,WIN,exit_fired,36,10.660411403825329,97.24,923,1.9792857142857148,1,923.0,0
dtss,HCM,282,282,1,0,WIN,earnings_flat_favorable,11,3.9832076560354945,35.73,282,1.4360285714285703,1,282.0,1
dtss,RGEN,282,282,1,0,WIN,earnings_flat_favorable,5,2.8995314686337514,227.75,282,7.32532142857143,1,282.0,0
dtss,SMTC,284,284,1,0,WIN,exit_fired,12,4.94093386360289,80.12,285,2.4246428571428567,1,285.0,1
dtss,SMTC,505,505,1,0,WIN,exit_fired,43,9.754739856306518,92.14,506,3.028271428571429,1,506.0,1
dtss,SMTC,1171,1171,1,0,WIN,exit_fired,6,3.0813839936299043,45.21,1173,1.9017428571428565,1,1173.0,0
dtss,BKNG,286,286,1,0,LOSS,stop_hit,15,-1.0,96.21304128340495,288,2.9300072487279536,1,288.0,0
dtss,BKNG,467,467,1,0,WIN,exit_fired,15,8.95855043784076,105.52040896865742,467,2.5660634639679683,0,467.0,1
dtss,NWE,287,287,1,0,WIN,exit_fired,1,1.9477205062265952,48.147270550811996,289,1.0599932301435675,1,289.0,0
dtss,NWE,291,291,1,0,LOSS,stop_hit,1,-1.0,47.95021114864865,294,1.166723470364962,1,294.0,0
dtss,NWE,1310,1310,1,0,LOSS,stop_hit,6,-1.0,54.06274813456746,1310,1.049675507890036,1,1310.0,0
dtss,PLNT,287,287,1,0,WIN,exit_fired,1,1.0759493670886073,90.34,289,3.9500000000000006,1,289.0,0
dtss,PLNT,506,506,1,0,LOSS,stop_hit,6,-1.0,95.28,506,2.7208571428571418,1,506.0,1
dtss,PRI,287,287,1,0,WIN,exit_fired,3,0.6824748397874548,137.03507538129395,289,2.83611243734164,1,289.0,0
dtss,HXL,288,288,1,0,WIN,exit_fired,1,1.4479245701303336,54.92943068002109,288,1.870215297042263,1,288.0,0
dtss,HXL,873,873,1,0,LOSS,stop_hit,1,-1.0,71.92638204989153,876,1.307702002571503,1,876.0,0
dtss,CPA,291,292,2,0,WIN,exit_fired,33,5.588807660389098,79.77880248101808,293,2.850143259342207,1,293.0,0
dtss,CENX,292,292,1,0,WIN,exit_fired,1,1.092958472534771,17.97,293,1.441042857142857,1,293.0,0
dtss,PAA,294,294,1,0,WIN,exit_fired,1,0.7119327065972413,6.797745901639344,295,0.31512234170505876,1,295.0,0
