setup,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,outcome,reason,bars_to_outcome,profit_adr,ref_price,ref_idx,adr,had_earnings,entry_idx,rule_pass
htf,CHWY,69,69,1,0,LOSS,stop_hit,2,-1.0,42.49,69,3.3946428571428577,1,71.0,0
htf,NTLA,91,92,2,0,WIN,exit_fired,45,3.257836683088459,16.69,92,1.3106857142857145,1,93.0,0
htf,JD,97,97,1,0,LOSS,stop_hit,1,-1.0,47.22090087882823,97,1.8715504529577882,1,102.0,0
htf,FUTU,99,99,1,0,BE,breakout_too_far,0,0.0,14.634950476190477,99,0.9098191987112096,0,,0
htf,TMUS,100,100,1,0,LOSS,stop_hit,1,-1.0,94.38873803497943,100,3.2051711376503462,1,101.0,0
htf,VFF,101,101,1,0,LOSS,stop_hit,2,-1.0,5.99,101,0.5214785714285716,1,105.0,0
htf,AMKR,102,102,1,0,BE,breakout_too_far,0,0.0,9.921788941398866,102,0.4383698136824742,0,,0
htf,CM,102,102,1,0,BE,held_to_end,60,0.0,23.075278304395436,102,0.6395342235524905,0,103.0,0
htf,SONO,103,103,1,0,BE,breakout_too_far,0,0.0,11.38,103,0.7110428571428573,0,,0
htf,TSE,103,103,1,0,LOSS,stop_hit,7,-1.0,19.177673095238095,103,1.1978594812373147,1,104.0,0
htf,ZM,107,107,1,0,LOSS,stop_hit,1,-1.0,208.94,107,11.872857142857143,1,108.0,0
htf,ZM,1528,1528,1,0,LOSS,stop_hit,2,-1.0,94.29,1528,3.391142857142857,1,1533.0,0
htf,CCI,109,109,1,0,BE,no_breakout_within_fw,0,0.0,135.22314736147757,109,3.793295833549078,0,,0
htf,NIO,111,111,1,0,LOSS,stop_hit,1,-1.0,6.09,111,0.4882142857142858,1,112.0,0
htf,NIO,1398,1398,1,0,BE,no_breakout_within_fw,0,0.0,5.01,1398,0.26285714285714284,0,,0
htf,NTES,112,112,1,0,BE,no_breakout_within_fw,0,0.0,74.98597312445052,112,3.1387471796704856,0,,0
htf,BE,113,113,1,0,LOSS,stop_hit,1,-1.0,9.3,113,0.7149785714285716,1,117.0,0
htf,LAKE,114,114,1,0,LOSS,stop_hit,1,-1.0,21.22879698882953,114,1.6200966877308998,1,115.0,0
htf,VRTX,120,120,1,0,BE,no_breakout_within_fw,0,0.0,297.71,120,8.413292857142851,0,,0
htf,WING,123,123,1,0,LOSS,stop_hit,5,-1.0,126.48867772240949,123,5.419428471842305,1,125.0,0
htf,MKC,124,124,1,0,WIN,exit_fired,42,5.74447603802827,80.77620814335879,124,1.994871556740718,0,126.0,0
