setup,label,n,WIN,BE,LOSS,WR,BER,LR,mean_w,median_w,E
htf,winners,24,8,14,2,0.3333333333333333,0.5833333333333334,0.08333333333333333,9.163632983508855,7.380703019670651,2.9712109945029512
htf,rule-pass,39,16,8,15,0.41025641025641024,0.20512820512820512,0.38461538461538464,7.0069081675337666,6.398245049838303,2.49001360719334
htf,rule-fail,430,51,147,232,0.1186046511627907,0.34186046511627904,0.5395348837209303,4.8846818075626315,2.9026490179541606,0.0398110981062656
htf,all non-ex,469,67,155,247,0.14285714285714285,0.3304904051172708,0.5266524520255863,5.391482132331857,3.411529689164309,0.24355928116467895
bf,winners,43,24,18,1,0.5581395348837209,0.4186046511627907,0.023255813953488372,11.275363176190865,9.118337066461784,6.269970144850715
bf,rule-pass,32,12,13,7,0.375,0.40625,0.21875,9.777621017731763,7.889660439652363,3.447857881649411
bf,rule-fail,365,58,105,202,0.1589041095890411,0.2876712328767123,0.5534246575342465,5.301033695165296,4.09308448796361,0.2889313816974992
bf,all non-ex,397,70,118,209,0.17632241813602015,0.2972292191435768,0.5264483627204031,6.068448664748118,4.646312078585682,0.5435551801822878
base,winners,37,12,22,3,0.32432432432432434,0.5945945945945946,0.08108108108108109,15.648977103403103,10.223957637185539,4.994262844346953
base,rule-pass,67,26,25,16,0.3880597014925373,0.373134328358209,0.23880597014925373,4.859297471094099,2.54729359569909,1.6468915559469637
base,rule-fail,433,134,109,190,0.3094688221709007,0.2517321016166282,0.4387990762124711,2.1196733723062464,1.2702556803522542,0.21717374570216413
base,all non-ex,500,160,134,206,0.32,0.268,0.412,2.5648622883592727,1.3799815704360576,0.40875593227496726
dtss,winners,61,59,2,0,0.9672131147540983,0.03278688524590164,0.0,6.202395635315278,5.878718703205336,5.999038401370514
dtss,rule-pass,388,318,6,64,0.8195876288659794,0.015463917525773196,0.16494845360824742,4.864723670917942,4.756394594799558,3.8221188849275918
dtss,rule-fail,639,444,0,195,0.6948356807511737,0.0,0.3051643192488263,2.794629489506166,2.124246903928925,1.6366439645394957
dtss,all non-ex,1027,762,6,259,0.7419668938656281,0.005842259006815969,0.25219084712755596,3.658527061276434,3.085374353919889,2.4623151126510643
