setup,direction,ticker,entry_date,signal_idx,entry_idx,signal_close,adr14,real_stop_dist_adr,fw_min_adr,fw_max_adr,fw_first_adr,fw_last_adr
3-4db,short,AEVA,2025-07-21,1354,1355,32.23,3.7233,0.1509,0.1509,-1.6142,0.1509,-1.6142
3-4db,short,ARM,2025-11-03,535,536,169.82,6.9408,0.536,0.536,-0.791,0.536,-0.791
3-4db,short,BE,2025-10-28,1824,1825,108.53,9.8318,0.5075,3.628,0.5075,0.5075,2.9003
3-4db,short,CLSK,2025-10-28,1894,1895,20.2,2.0178,0.3296,0.3296,-0.7335,0.3296,-0.7335
3-4db,short,HIVE,2025-10-27,2467,2468,6.03,0.7243,0.3728,0.3728,-0.2623,0.3728,-0.2623
3-4db,short,IREN,2025-10-28,988,989,64.99,6.8448,0.3404,0.3404,-0.5815,0.3404,-0.5815
3-4db,short,LEU,2025-10-27,2467,2468,383.0,42.6371,0.2064,0.4456,-0.0171,0.2064,0.4456
3-4db,short,OKLO,2025-10-27,1080,1081,136.05,17.0111,0.5261,0.9411,0.4909,0.5261,0.9411
3-4db,short,ONDS,2025-10-27,1321,1322,7.46,1.0364,0.825,0.825,-0.4921,0.825,-0.4921
3-4db,short,OPEN,2025-09-26,1324,1325,9.09,1.3121,-0.0838,-0.0838,-0.5182,-0.0838,-0.5182
3-4db,short,PATH,2025-10-28,1135,1136,17.39,1.1628,0.0946,0.0946,-0.9159,0.0946,-0.9159
3-4db,short,PL,2025-10-27,1130,1131,13.61,1.0377,0.3373,0.3373,-0.265,0.3373,-0.265
3-4db,short,QS,2025-10-27,1304,1305,16.82,1.8279,0.3447,0.3447,-0.2571,0.3447,-0.2571
3-4db,short,REAL,2026-01-28,1653,1654,16.09,0.8191,0.5005,0.5005,-0.6593,0.5005,-0.6593
3-4db,short,RR,2025-10-27,485,486,6.08,0.7649,0.4445,0.4445,-1.0197,0.4445,-1.0197
base,long,AAPL,2024-11-25,2238,2239,228.6211,3.5021,0.0369,0.0369,-1.1189,0.0369,-1.1189
base,long,ALM,2025-09-15,2437,2438,4.46,0.2782,-0.1797,-0.1797,-1.0424,-0.1797,-1.0424
base,long,AMN,2021-04-22,1333,1334,77.09,1.6793,0.1429,0.1429,-1.5483,0.1429,-1.5483
base,long,APP,2024-09-11,856,857,86.23,3.8294,-0.2324,-0.2324,-5.147,-0.2324,-5.147
base,long,ASTS,2025-06-04,1333,1334,25.18,1.5608,-0.141,-0.141,-2.9472,-0.141,-2.9472
base,long,ATI,2025-12-10,2498,2499,99.42,3.1305,-0.0032,-0.0032,-2.7088,-0.0032,-2.7088
base,long,AXTI,2025-10-24,2466,2467,5.18,0.4919,-0.4473,-0.4473,-1.7485,-0.4473,-1.7485
base,long,BAP,2025-12-02,2492,2493,254.95,8.0329,-0.1979,-0.1979,-1.1764,-0.1979,-1.1764
base,long,CLS,2025-05-13,2352,2353,100.32,4.7943,-0.0709,-0.0709,-2.0962,-0.0709,-1.8021
base,long,DRN,2024-07-11,2142,2143,8.5541,0.2778,-1.3148,-1.3148,-2.8669,-1.3148,-2.8374
base,long,EAT,2024-09-16,2188,2189,70.39,2.5173,-0.0159,-0.0159,-1.2553,-0.0159,-1.2553
base,long,EOSE,2025-09-12,1323,1324,7.22,0.5429,0.0903,0.0903,-1.8237,0.0903,-1.3079
base,long,ERO,2025-11-24,1719,1720,21.6,1.0201,-0.0098,-0.0098,-2.0634,-0.0098,-2.0634
base,long,FIX,2023-02-23,1796,1797,122.3655,2.9279,-1.157,-1.157,-7.215,-1.157,-7.215
base,long,FIX,2025-09-10,2434,2435,708.7244,23.0928,-0.5338,-0.5338,-1.9668,-0.5338,-1.8305
