date,open,high,low,close,volume,ema8,ema21,spread,spread_pct
2016-01-04,200.490000,201.030000,198.590000,201.020000,222353500,201.020000,201.020000,0.000000,0.000000
2016-01-05,201.400000,201.900000,200.050000,201.360000,110845800,201.095556,201.050909,0.044646,0.022172
2016-01-06,198.340000,200.060000,197.600000,198.820000,152112600,200.589877,200.848099,-0.258223,-0.129878
2016-01-07,195.330000,197.440000,193.590000,194.050000,213436100,199.136571,200.230090,-1.093520,-0.563525
2016-01-08,195.190000,195.850000,191.580000,191.920000,209817200,197.532888,199.474627,-1.941739,-1.011744
2016-01-11,193.010000,193.410000,189.820000,192.110000,187941300,196.327802,198.805116,-2.477314,-1.289529
2016-01-12,193.820000,194.550000,191.140000,193.660000,172330500,195.734957,198.337378,-2.602421,-1.343809
2016-01-13,194.450000,194.860000,188.380000,188.830000,221168900,194.200522,197.473071,-3.272549,-1.733066
2016-01-14,189.550000,193.260000,187.660000,191.930000,240795600,193.695962,196.969155,-3.273194,-1.705410
2016-01-15,186.770000,188.760000,185.520000,187.810000,324846400,192.387970,196.136505,-3.748535,-1.995919
2016-01-19,189.960000,190.110000,186.200000,188.060000,195244400,191.426199,195.402277,-3.976078,-2.114260
2016-01-20,185.030000,187.500000,181.020000,185.650000,286547800,190.142599,194.515707,-4.373107,-2.355565
2016-01-21,186.210000,188.870000,184.640000,186.690000,195772900,189.375355,193.804279,-4.428924,-2.372341
2016-01-22,189.780000,190.760000,188.880000,190.520000,168319600,189.629721,193.505708,-3.875987,-2.034425
2016-01-25,189.920000,190.150000,187.410000,187.640000,130371700,189.187560,192.972462,-3.784901,-2.017108
2016-01-26,188.420000,190.530000,188.020000,190.200000,141036800,189.412547,192.720420,-3.307873,-1.739155
2016-01-27,189.580000,191.560000,187.060000,188.130000,185681700,189.127537,192.303109,-3.175572,-1.687967
2016-01-28,189.960000,190.200000,187.160000,189.110000,143798800,189.123640,192.012826,-2.889187,-1.527781
2016-01-29,190.020000,193.880000,189.880000,193.720000,210529300,190.145053,192.168024,-2.022971,-1.044276
2016-02-01,192.530000,194.580000,191.840000,193.650000,136061600,190.923930,192.302749,-1.378819,-0.712016
2016-02-02,191.960000,191.970000,189.540000,190.160000,182564900,190.754168,192.107954,-1.353786,-0.711919
2016-02-03,191.410000,191.780000,187.100000,191.300000,205054900,190.875464,192.034503,-1.159039,-0.605875
2016-02-04,190.710000,192.750000,189.960000,191.600000,139531800,191.036472,191.995003,-0.958531,-0.500277
2016-02-05,190.990000,191.670000,187.200000,187.950000,180788300,190.350589,191.627275,-1.276686,-0.679269
2016-02-08,185.770000,186.120000,182.800000,185.420000,191526700,189.254903,191.062978,-1.808075,-0.975124
2016-02-09,183.360000,186.940000,183.200000,185.430000,184513100,188.404924,190.550889,-2.145964,-1.157291
2016-02-10,186.410000,188.340000,185.120000,185.270000,148214100,187.708275,190.070808,-2.362533,-1.275184
2016-02-11,182.340000,184.100000,181.090000,182.860000,219058900,186.630880,189.415280,-2.784400,-1.522695
2016-02-12,184.960000,186.650000,183.960000,186.630000,127632400,186.630685,189.162073,-2.531388,-1.356367
2016-02-16,188.770000,189.810000,187.630000,189.780000,120250700,187.330532,189.218248,-1.887715,-0.994686
2016-02-17,191.160000,193.320000,191.010000,192.880000,136009500,188.563747,189.551134,-0.987387,-0.511918
2016-02-18,193.200000,193.270000,191.720000,192.090000,102343000,189.347359,189.781940,-0.434581,-0.226238
2016-02-19,191.170000,192.180000,190.450000,192.000000,114793000,189.936835,189.983582,-0.046747,-0.024348
2016-02-22,193.870000,194.950000,193.790000,194.780000,103640300,191.013094,190.419620,0.593474,0.304689
2016-02-23,194.000000,194.320000,192.180000,192.320000,111455300,191.303517,190.592382,0.711135,0.369767
2016-02-24,190.630000,193.530000,189.320000,193.200000,150812200,191.724958,190.829438,0.895520,0.463520
2016-02-25,193.730000,195.550000,192.830000,195.540000,110728300,192.572745,191.257671,1.315074,0.672535
2016-02-26,196.570000,196.680000,194.900000,195.090000,129833700,193.132135,191.606065,1.526070,0.782239
2016-02-29,195.110000,196.230000,193.330000,193.560000,125918100,193.227216,191.783695,1.443521,0.745774
2016-03-01,195.010000,198.210000,194.450000,198.110000,141799700,194.312279,192.358814,1.953466,0.986051
2016-03-02,197.740000,199.060000,197.250000,199.000000,102415000,195.353995,192.962558,2.391437,1.201727
2016-03-03,198.790000,199.800000,198.110000,199.780000,95172200,196.337552,193.582325,2.755226,1.379130
2016-03-04,200.010000,201.350000,199.030000,200.430000,129293600,197.246985,194.204841,3.042143,1.517808
2016-03-07,199.340000,201.070000,199.250000,200.590000,100219000,197.989877,194.785310,3.204567,1.597571
2016-03-08,199.320000,199.920000,198.210000,198.400000,123974900,198.081015,195.113918,2.967097,1.495513
2016-03-09,199.360000,199.790000,198.430000,199.380000,94801200,198.369679,195.501744,2.867935,1.438426
2016-03-10,199.960000,201.070000,197.380000,199.540000,156838700,198.629750,195.868858,2.760892,1.383628
2016-03-11,201.260000,202.810000,199.520000,202.760000,137964500,199.547583,196.495326,3.052258,1.505355
2016-03-14,202.160000,203.040000,201.770000,202.500000,73612000,200.203676,197.041205,3.162471,1.561714
2016-03-15,201.360000,202.530000,201.050000,202.170000,93169100,200.640637,197.507459,3.133178,1.549774
2016-03-16,201.600000,203.820000,201.550000,203.340000,129303200,201.240495,198.037690,3.202805,1.575098
2016-03-17,203.240000,205.230000,202.770000,204.630000,134278500,201.993719,198.636991,3.356728,1.640389
2016-03-18,204.170000,204.780000,203.800000,204.380000,138372400,202.524003,199.159083,3.364921,1.646404
2016-03-21,204.070000,204.940000,203.800000,204.670000,72926700,203.000891,199.660075,3.340816,1.632294
2016-03-22,203.760000,205.230000,203.570000,204.560000,97471900,203.347360,200.105523,3.241837,1.584785
2016-03-23,204.110000,204.330000,203.010000,203.210000,81052500,203.316836,200.387748,2.929087,1.441409
2016-03-24,202.000000,203.160000,201.740000,203.120000,84360900,203.273094,200.636135,2.636960,1.298227
2016-03-28,203.610000,203.860000,202.710000,203.240000,62408200,203.265740,200.872850,2.392890,1.177372
2016-03-29,202.760000,205.250000,202.400000,205.120000,92922900,203.677798,201.258954,2.418844,1.179233
2016-03-30,206.300000,206.870000,205.590000,206.020000,86365300,204.198287,201.691777,2.506511,1.216635
2016-03-31,205.910000,206.410000,205.330000,205.520000,94584100,204.492001,202.039797,2.452204,1.193171
2016-04-01,204.350000,207.140000,203.980000,206.920000,114423500,205.031556,202.483452,2.548105,1.231444
2016-04-04,206.830000,207.070000,205.890000,206.250000,63497000,205.302322,202.825865,2.476456,1.200706
2016-04-05,204.670000,206.260000,203.890000,204.190000,99662200,205.055139,202.949877,2.105262,1.031031
2016-04-06,204.190000,206.490000,203.980000,206.420000,91839800,205.358442,203.265343,2.093098,1.014000
2016-04-07,205.140000,205.560000,203.090000,203.950000,113859000,205.045455,203.327585,1.717870,0.842299
2016-04-08,205.340000,205.850000,203.870000,204.500000,95040600,204.924242,203.434168,1.490074,0.728643
2016-04-11,205.250000,206.070000,203.910000,204.020000,83757500,204.723300,203.487425,1.235874,0.605761
2016-04-12,204.220000,206.250000,203.700000,205.920000,115350600,204.989233,203.708569,1.280665,0.621923
2016-04-13,207.000000,208.100000,206.840000,208.000000,96336400,205.658292,204.098699,1.559594,0.749805
2016-04-14,208.070000,208.600000,207.600000,208.010000,65212900,206.180894,204.454272,1.726623,0.830067
2016-04-15,208.010000,208.170000,207.400000,207.780000,75761600,206.536251,204.756610,1.779640,0.856502
2016-04-18,207.780000,209.280000,207.000000,209.240000,82531000,207.137084,205.164191,1.972893,0.942885
2016-04-19,209.740000,210.200000,208.940000,209.900000,88316100,207.751065,205.594719,2.156346,1.027321
2016-04-20,209.950000,210.920000,209.390000,210.100000,81100300,208.273051,206.004290,2.268761,1.079848
2016-04-21,210.120000,210.250000,208.650000,208.970000,85695000,208.427928,206.273900,2.154028,1.030783
2016-04-22,208.550000,209.290000,207.910000,208.970000,99251700,208.548389,206.519000,2.029388,0.971139
2016-04-25,208.260000,208.660000,207.540000,208.610000,66166500,208.562080,206.709091,1.852989,0.888255
2016-04-26,209.040000,209.520000,208.360000,208.920000,75864200,208.641618,206.910083,1.731535,0.828803
2016-04-27,208.470000,209.810000,208.050000,209.350000,77329400,208.799036,207.131894,1.667143,0.796342
2016-04-28,208.460000,209.760000,206.960000,207.450000,97216200,208.499250,207.160812,1.338438,0.645186
2016-04-29,206.720000,207.130000,205.030000,206.330000,142424100,208.017195,207.085284,0.931911,0.451660
2016-05-02,206.920000,208.180000,206.410000,207.970000,62188000,208.006707,207.165713,0.840994,0.404383
2016-05-03,206.520000,206.800000,205.280000,206.160000,106422100,207.596328,207.074284,0.522043,0.253222
2016-05-04,204.990000,205.850000,204.420000,205.010000,92243800,207.021588,206.886622,0.134966,0.065834
2016-05-05,205.560000,205.980000,204.470000,204.970000,67619200,206.565680,206.712384,-0.146704,-0.071573
2016-05-06,204.060000,205.770000,203.880000,205.720000,89315000,206.377751,206.622167,-0.244416,-0.118810
2016-05-09,205.570000,206.400000,205.360000,205.890000,74374900,206.269362,206.555606,-0.286245,-0.139028
2016-05-10,206.720000,208.470000,206.640000,208.450000,77472200,206.753948,206.727824,0.026124,0.012533
2016-05-11,207.910000,208.540000,206.500000,206.500000,81727000,206.697515,206.707113,-0.009598,-0.004648
2016-05-12,207.290000,207.490000,205.370000,206.560000,89586300,206.666956,206.693739,-0.026783,-0.012966
2016-05-13,206.210000,206.860000,204.380000,204.760000,96474600,206.243188,206.517944,-0.274756,-0.134184
2016-05-16,204.960000,207.340000,204.890000,206.780000,77486800,206.362480,206.541768,-0.179288,-0.086705
2016-05-17,206.460000,206.800000,204.230000,204.850000,114924900,206.026373,206.387971,-0.361597,-0.176518
2016-05-18,204.440000,206.300000,203.630000,204.910000,120062100,205.778290,206.253610,-0.475319,-0.231965
2016-05-19,204.060000,204.540000,202.780000,204.200000,115430500,205.427559,206.066918,-0.639359,-0.313104
2016-05-20,204.920000,206.100000,204.860000,205.490000,104990400,205.441435,206.014471,-0.573036,-0.278863
2016-05-23,205.510000,205.840000,204.990000,205.210000,58682600,205.390005,205.941337,-0.551332,-0.268667
