feature,n,peak_lift_top,trough_lift_bot,peak_lift_bot,trough_lift_top,decile_rho_fwd10,fwd10_dec_low%,fwd10_dec_high%,fwd10_spread%,max_reversal_lift
ema8_minus_ema21_$,1235,0.711,3.622,0.000,0.000,-0.127,1.591,0.537,-1.054,3.622
ema5_minus_ema21_$,1235,2.134,3.622,0.000,0.000,0.055,1.571,0.583,-0.989,3.622
ema8_minus_ema34_$,1235,0.711,4.225,0.000,0.000,-0.273,1.495,0.466,-1.029,4.225
ema13_minus_ema34_$,1235,1.423,3.622,0.000,0.000,-0.394,1.367,0.674,-0.693,3.622
ema21_minus_ema50_$,1235,0.711,3.018,0.000,0.604,-0.261,1.768,0.760,-1.008,3.018
close_vs_sma20,1235,3.557,4.829,0.000,0.000,-0.103,1.422,0.582,-0.840,4.829
close_vs_sma50,1235,2.846,4.829,0.000,0.000,-0.164,1.809,0.307,-1.503,4.829
close_vs_sma200,1235,2.846,2.414,0.000,0.000,-0.358,1.021,0.080,-0.941,2.846
close_vs_ema21,1235,2.846,5.433,0.000,0.000,-0.103,1.503,0.400,-1.103,5.433
sma20_vs_sma50,1235,1.423,1.811,0.711,0.604,-0.733,1.231,0.065,-1.165,1.811
sma50_vs_sma200,1235,0.711,0.000,0.711,1.207,0.079,0.218,0.385,0.167,1.207
pct_from_20d_high,1235,3.662,4.829,0.000,0.000,0.024,1.197,0.489,-0.708,4.829
pct_from_60d_high,1235,3.640,2.414,0.000,0.000,-0.450,1.442,0.295,-1.147,3.640
pct_from_252d_high,1235,3.676,1.811,0.000,0.000,-0.050,1.593,0.300,-1.293,3.676
pct_from_20d_low,1235,2.846,7.037,0.000,0.000,0.139,0.973,0.587,-0.385,7.037
pct_from_60d_low,1235,1.423,6.640,0.000,0.000,0.139,1.402,0.679,-0.723,6.640
roc_5d,1235,2.846,4.829,0.000,0.000,-0.285,0.831,0.847,0.015,4.829
roc_10d,1235,3.557,4.829,0.000,0.000,-0.248,1.185,0.526,-0.658,4.829
roc_20d,1235,2.134,3.622,0.000,0.000,-0.127,1.510,0.559,-0.951,3.622
roc_60d,1235,2.134,2.414,0.000,0.000,-0.164,3.106,0.354,-2.751,2.414
rsi_2,1235,1.423,9.658,0.000,0.000,-0.285,1.076,0.620,-0.456,9.658
rsi_14,1235,2.134,6.036,0.000,0.000,-0.079,1.696,0.054,-1.642,6.036
rsi_5,1235,0.711,11.469,0.000,0.000,-0.285,0.898,0.569,-0.328,11.469
