setup,ticker,signal_date,entry_date,direction,adr,mae_from_signal_low_adr,mae_from_signal_close_adr,entry_vs_signal_low_adr,exit_bar_rel
dtss,AAOI,2024-02-15,2024-02-16,short,1.708,1.107,1.37,1.107,
dtss,ACHR,2025-07-17,2025-07-18,short,0.656,0.503,0.503,0.503,
dtss,AEE,2025-11-26,2025-11-28,short,1.484,0.302,0.389,0.302,13.0
dtss,AIR,2022-06-07,2022-06-08,short,1.767,-0.204,0.068,-0.204,10.0
dtss,ALTS,2025-02-19,2025-02-20,short,0.64,-0.578,-0.047,-0.578,39.0
dtss,APP,2025-12-19,2025-12-22,short,31.548,0.191,0.527,0.191,
dtss,ASST,2025-09-09,2025-09-10,short,20.047,6.086,6.305,6.086,78.0
dtss,AVAV,2023-05-22,2023-05-23,short,2.529,1.036,1.246,1.036,6.0
dtss,AX,2022-01-12,2022-01-13,short,1.384,0.892,1.149,0.892,
dtss,BETR,2025-10-23,2025-10-24,short,9.691,0.542,0.683,0.542,1.0
dtss,BTBT,2025-10-17,2025-10-20,short,0.36,2.447,2.502,2.447,
dtss,CELH,2024-05-21,2024-05-22,short,4.796,0.557,0.603,0.557,
dtss,CEPU,2023-08-28,2023-08-29,short,0.296,0.264,0.323,0.264,25.0
dtss,CSL,2022-06-07,2022-06-08,short,7.312,-0.231,-0.181,-0.231,14.0
dtss,CVNA,2023-09-14,2023-09-15,short,3.763,-0.106,0.143,-0.106,
dtss,CVNA,2026-01-22,2026-01-23,short,20.577,0.367,0.41,0.367,
dtss,DELL,2022-02-09,2022-02-10,short,1.44,0.342,0.488,0.342,
dtss,DNLI,2024-11-08,2024-11-11,short,1.223,1.529,1.619,1.529,43.0
dtss,DNTH,2024-11-07,2024-11-08,short,1.131,1.893,2.096,1.893,13.0
dtss,EBC,2025-02-05,2025-02-06,short,0.49,0.364,0.384,0.364,48.0
dtss,EME,2025-01-21,2025-01-22,short,13.359,1.328,1.354,1.328,
dtss,FFIC,2024-11-22,2024-11-25,short,0.579,0.788,0.788,0.788,
dtss,FITB,2022-02-09,2022-02-10,short,1.244,0.266,0.64,0.266,18.0
