setup,feature,ex_min,ex_max,ex_range,carve_raw,carve_value,covered,n_ex_total,n_ex_measured,n_ne,n_ne_measured,n_ne_in_band
htf,nr_c_maxh2_atr14,0.0225982666015625,2.431640625,2.4090423583984375,0.0175,0.0175,True,31,31,400,400,393
htf,nr_c_maxh2_adr14,0.0246429443359375,2.787109375,2.7624664306640625,0.0175,0.0175,True,31,31,400,400,393
htf,nr_c_maxh2_pct,0.1309814453125,32.28125,32.1502685546875,0.015,0.015,True,31,31,400,400,394
htf,nr_h_maxh2_atr14,-0.3203125,1.9287109375,2.2490234375,0.0425,0.0425,True,31,31,400,400,383
htf,nr_h_maxh2_adr14,-0.322265625,2.2109375,2.533203125,0.045,0.045,True,31,31,400,400,382
htf,nr_h_maxh2_pct,-2.294921875,22.828125,25.123046875,0.0125,0.0125,True,31,31,400,400,395
htf,nr_ratio_maxh2,0.755859375,0.99853515625,0.24267578125,0.015,0.015,True,31,31,400,400,394
htf,nr_c_maxh3_atr14,0.07391357421875,3.3828125,3.30889892578125,0.01,0.01,True,31,31,400,400,396
htf,nr_c_maxh3_adr14,0.0743408203125,4.3359375,4.2615966796875,0.0075,0.0075,True,31,31,400,400,397
htf,nr_c_maxh3_pct,0.529296875,84.625,84.095703125,0.02,0.02,True,31,31,400,400,392
htf,nr_h_maxh3_atr14,-0.3203125,3.05078125,3.37109375,0.03,0.03,True,31,31,400,400,388
htf,nr_h_maxh3_adr14,-0.322265625,3.9140625,4.236328125,0.035,0.035,True,31,31,400,400,386
htf,nr_h_maxh3_pct,-2.294921875,76.375,78.669921875,0.01,0.01,True,31,31,400,400,396
htf,nr_ratio_maxh3,0.54150390625,0.99462890625,0.453125,0.02,0.02,True,31,31,400,400,392
htf,nr_c_maxh5_atr14,0.07391357421875,3.3828125,3.30889892578125,0.005,0.005,True,31,31,400,400,398
htf,nr_c_maxh5_adr14,0.0743408203125,4.3359375,4.2615966796875,0.0025,0.0025,True,31,31,400,400,399
htf,nr_c_maxh5_pct,0.529296875,84.625,84.095703125,0.01,0.01,True,31,31,400,400,396
htf,nr_h_maxh5_atr14,-0.3203125,3.05078125,3.37109375,0.0075,0.0075,True,31,31,400,400,397
