ticker,E_idx,date,example_matched
AAPL,1503,2021-12-21,False
AAPL,2441,2025-09-18,False
ABBV,1254,2020-12-24,False
ABG,1793,2023-02-16,False
ABM,1315,2021-03-25,False
ABT,2032,2024-01-31,False
ACHR,1218,2025-10-27,True
ACNB,1750,2022-12-15,False
AEVA,1346,2025-07-08,True
AEVA,1355,2025-07-21,True
AFSM,308,2021-02-25,False
AGI,2459,2025-10-14,False
AHR,173,2024-10-15,False
AIG,1248,2020-12-16,False
AIRR,2547,2026-02-27,False
AIRT,1231,2021-09-22,False
AIT,1244,2020-12-10,False
ALK,2267,2025-01-07,False
AMAL,1368,2024-01-05,False
AMD,2415,2025-08-12,False
AMGN,2559,2026-03-10,False
AMKR,1892,2023-07-12,False
AMN,1047,2020-03-03,False
AMZN,1142,2020-07-17,False
ANF,2013,2024-01-03,False
ANF,2015,2024-01-05,False
ANIK,2569,2026-03-24,False
APG,887,2023-02-15,False
APO,2248,2024-12-09,False
APP,1193,2026-01-14,True
ARCC,1248,2020-12-16,False
ARE,2015,2024-01-05,False
ARKK,999,2020-01-03,False
ARLP,1457,2021-10-15,False
ARLP,2130,2024-06-21,False
ARM,536,2025-11-03,True
ASC,2118,2024-06-04,False
ASML,2461,2025-10-16,False
ASND,2025,2024-01-22,False
ASND,2027,2024-01-24,False
ASUR,1721,2022-12-15,False
ATEN,1738,2022-11-28,False
ATEX,2575,2026-04-01,False
ATMU,563,2025-08-26,False
AVO,101,2021-02-26,False
AVT,1894,2023-07-14,False
AVUV,1076,2024-01-05,False
AVY,1246,2020-12-14,False
AWI,2015,2024-01-05,False
AWI,2076,2024-04-04,False
AXON,1741,2022-12-01,False
BALL,1047,2020-03-03,False
BAP,1467,2021-10-29,False
BBC,2477,2025-11-10,False
BBT,1370,2021-06-14,False
BCD,1110,2022-04-06,False
BCI,1264,2022-04-07,False
BCS,2380,2025-06-23,False
BCV,1263,2021-01-08,False
BE,1825,2025-10-28,True
BFST,1444,2024-01-09,False
BILL,1259,2024-12-13,False
BKE,2425,2025-08-26,False
BKF,2209,2024-10-14,False
BLK,2017,2024-01-09,False
BNO,1473,2021-11-08,False
BOAT,724,2024-06-21,False
BOTJ,1796,2024-01-10,False
BOTZ,1840,2024-01-10,False
BSM,1293,2021-02-23,False
BSRR,2012,2024-01-05,False
BTEC,1682,2024-01-24,False
BTI,1530,2022-01-31,False
BTQ,625,2025-10-27,True
BWMN,1095,2025-09-17,False
BWXT,2067,2024-03-21,False
BWXT,2227,2024-11-07,False
BX,1418,2021-08-20,False
C,2025,2024-01-22,False
C,2532,2026-01-29,False
CAC,1315,2021-03-25,False
CACI,1026,2020-01-31,False
CAH,1674,2022-08-26,False
CALM,1585,2022-04-20,False
CARG,1791,2024-11-25,False
CBL,980,2025-09-30,False
CBL,1045,2026-01-02,False
CBRL,1315,2021-03-25,False
CBT,1370,2021-06-14,False
CBU,2168,2024-08-15,False
CCU,1792,2023-02-15,False
CCU,2327,2025-04-04,False
CDZI,1082,2020-04-22,False
CEG,543,2024-03-19,False
CF,1471,2021-11-04,False
CFBK,2240,2024-11-26,False
CHAT,568,2025-08-25,False
CHAU,2445,2025-09-24,False
CIA,2432,2025-09-05,False
CIEN,1261,2021-01-06,False
CKX,1397,2023-09-28,False
CLBT,689,2023-08-07,False
CLIX,689,2020-08-14,False
CLSK,1895,2025-10-28,True
CLX,2196,2024-09-25,False
CM,2017,2024-01-09,False
CMCO,1793,2023-02-16,False
CMRE,2128,2024-06-18,False
COHN,2301,2025-08-07,False
COHR,2052,2024-02-29,False
COKE,1501,2021-12-17,False
COKE,2030,2024-01-29,False
COKE,2503,2025-12-16,False
COLO,2311,2025-03-13,False
COO,1209,2020-10-21,False
COPA,274,2025-10-28,False
COPX,2469,2025-10-28,False
COST,2136,2024-07-01,False
CPF,2188,2024-09-13,False
CRH,2015,2024-01-05,False
CRUS,1256,2020-12-29,False
CRUS,2454,2025-10-07,False
CSD,1259,2021-01-04,False
CSGP,1893,2023-07-13,False
CSV,2248,2024-12-09,False
CSW,1683,2022-09-09,False
CSWC,1924,2023-08-25,False
CTAS,2019,2024-01-11,False
CTRN,1280,2021-02-03,False
CVS,1363,2021-06-03,False
CWBC,2015,2024-01-05,False
DB,2433,2025-09-08,False
DBE,1563,2022-03-18,False
DBO,1563,2022-03-18,False
DD,2490,2025-11-26,False
DDOG,552,2021-11-26,False
DFH,748,2024-01-11,False
DGX,1749,2022-12-13,False
DJP,1577,2022-04-07,False
DLHC,1946,2023-10-30,False
DMLP,1471,2021-11-04,False
DRI,1206,2020-10-16,False
DRIV,702,2021-02-02,False
DSGR,1801,2023-03-02,False
DSWL,2364,2025-08-11,False
DVY,1313,2021-03-23,False
DX,2027,2024-01-24,False
DXCM,1414,2021-08-16,False
EBAY,2071,2024-03-27,False
ECO,609,2025-12-01,False
ECPG,1495,2021-12-09,False
EDEN,1759,2022-12-28,False
EFSC,2167,2024-08-14,False
EFX,1129,2020-06-29,False
EFXT,2257,2024-12-20,False
EHC,1254,2020-12-24,False
EIDO,1259,2021-01-04,False
EIG,1332,2021-04-20,False
EMBJ,2079,2024-04-09,False
EME,1920,2023-08-21,False
EME,2414,2025-08-11,False
EMET,1064,2026-02-10,False
ENS,1801,2023-03-01,False
ENVA,2166,2024-08-13,False
EPAM,1440,2021-09-22,False
EPU,2085,2024-04-17,False
EPU,2540,2026-02-10,False
ERIE,1925,2023-08-28,False
ERIE,1932,2023-09-07,False
ERIE,2204,2024-10-07,False
EVO,1131,2021-01-13,False
EVR,2015,2024-01-05,False
EW,2066,2024-03-20,False
EWJV,1752,2026-02-25,False
EWO,1281,2021-02-04,False
EWO,1292,2021-02-22,False
EXLS,2236,2024-11-20,False
EZM,2015,2024-01-05,False
EZPW,2056,2024-03-06,False
FCBC,1315,2021-03-25,False
FCCO,1703,2022-11-30,False
FCFS,1734,2022-11-21,False
FCG,1461,2021-10-21,False
FCO,1799,2023-02-27,False
FENY,1472,2021-11-05,False
FFLG,782,2024-03-15,False
FICO,2033,2024-02-01,False
FIGR,96,2026-01-29,True
FINW,942,2025-08-25,False
FITB,2027,2024-01-24,False
FIVG,1627,2025-08-21,False
FIX,2065,2024-03-19,False
FKWL,2166,2024-08-13,False
FNK,2013,2024-01-05,False
FNX,2015,2024-01-05,False
FR,2019,2024-01-11,False
FRDM,423,2021-01-27,False
FSCS,1645,2024-01-05,False
FSTR,1927,2023-08-30,False
FYC,1277,2021-01-29,False
G,2303,2025-03-03,False
GABC,2015,2024-01-05,False
GATX,1579,2022-04-11,False
GEN,1382,2021-06-30,False
GFI,2299,2025-02-25,False
GGT,1321,2021-04-05,False
GGT,1890,2023-07-10,False
GHM,1820,2023-03-28,False
GL,2416,2025-08-13,False
GLDM,540,2020-08-18,False
GLIN,1281,2021-02-04,False
GLRE,1797,2023-02-23,False
GLTR,1182,2020-09-14,False
GLU,1358,2021-05-26,False
GM,2027,2024-01-24,False
GMAB,2461,2025-10-16,False
GNOM,451,2021-02-01,False
GNRC,2397,2025-07-17,False
GOGO,2415,2025-08-12,True
GOOGL,2497,2025-12-08,False
GOOW,95,2025-12-08,False
GPOR,909,2024-12-27,False
GPRK,1548,2022-02-25,False
GRC,1490,2021-12-02,False
GRC,1492,2021-12-06,False
GRID,1241,2021-02-02,False
GRID,1243,2021-02-04,False
GRMN,1246,2020-12-14,False
GRP-U,1152,2020-08-19,False
GRTUF,1151,2020-08-19,False
GTY,2552,2026-02-27,False
GXG,2311,2025-03-13,False
HALO,1922,2023-08-23,False
HDB,1232,2020-11-23,False
HERZ,1280,2021-02-03,False
HIVE,2468,2025-10-27,True
HLF,1372,2021-06-16,False
HOFT,2024,2024-01-19,False
HOMB,1325,2021-04-09,False
HOOY,57,2025-07-31,False
HQL,2027,2024-01-24,False
HSBC,1787,2023-02-08,False
HSBC,1789,2023-02-10,False
HSBC,2549,2026-02-24,False
HTB,2015,2024-01-05,False
HTBK,1741,2022-12-01,False
HTO,2572,2026-03-27,False
HWM,2348,2026-03-09,False
IAUX-WS,51,2025-10-03,False
IBCP,2012,2024-01-03,False
IBCP,2014,2024-01-05,False
IBCP,2164,2024-08-12,False
IBKR,1469,2021-11-02,False
IBN,1236,2020-11-30,False
ICL,1254,2020-12-24,False
ICLR,1364,2021-06-04,False
ICUI,2198,2024-09-27,False
IDCC,2250,2024-12-11,False
IDCC,2260,2024-12-26,False
IDT,2217,2024-10-24,False
IDX,1259,2021-01-04,False
IDXX,2016,2024-01-08,False
IEO,1472,2021-11-05,False
IETC,1321,2023-06-29,False
IGE,2565,2026-03-18,False
IGIC,1507,2024-12-05,False
IHG,1800,2023-02-28,False
IHT,2277,2025-01-23,False
IJJ,2015,2024-01-05,False
ILF,2544,2026-02-17,False
IMKTA,1325,2021-04-09,False
IMOS,1253,2020-12-28,False
INCO,1275,2021-01-27,False
INDV,2482,2025-11-14,False
INFU,1047,2020-03-03,False
ING,1790,2023-02-13,False
INOD,2461,2025-10-16,True
IONQ,1209,2025-10-27,True
IONQ-WS,436,2025-10-27,False
IPAR,1829,2023-04-11,False
IPGP,1802,2023-03-02,False
IREN,989,2025-10-28,True
IRM,1284,2021-02-09,False
ISCV,2015,2024-01-05,False
ISMD,1714,2024-01-05,False
ITUB,2017,2024-01-09,False
IVOV,2015,2024-01-05,False
IVZ,2415,2025-08-12,False
IWC,1259,2021-01-04,False
IWM,1277,2021-01-29,False
IWO,1277,2021-01-29,False
IYW,1884,2023-06-29,False
JKL,2015,2024-01-05,False
JKS,2398,2025-07-18,False
JMSB,1540,2022-06-07,False
KALU,2088,2024-04-22,False
KARS,726,2020-12-09,False
KBA,1127,2020-07-21,False
KDEF,258,2026-02-17,False
KEYS,2563,2026-03-16,False
KRBN,215,2021-06-08,False
KYN,1381,2021-06-29,False
KYNB,1792,2023-02-15,False
LAND,1364,2021-06-04,False
LAUR,762,2020-02-12,False
LAUR,1649,2023-08-22,False
LBRDA,1924,2023-08-25,False
LENS,259,2026-02-10,False
LEU,2468,2025-10-27,True
LIND,2531,2026-01-28,False
LLY,1864,2023-05-31,False
LNG,1376,2021-06-22,False
LNN,1296,2021-02-26,False
LOW,1506,2021-12-27,False
LRN,2001,2023-12-14,False
LTM,227,2025-06-23,False
MAN,1744,2022-12-06,False
MASI,1416,2021-08-18,False
MBIN,856,2021-03-25,False
MDYV,2015,2024-01-05,False
MEOH,1221,2020-11-06,False
METV,1026,2025-08-01,False
MFG,1788,2023-02-09,False
MLI,1493,2021-12-07,False
MLP,2025,2024-01-29,False
MOG-A,2532,2026-01-29,False
MRBK,1366,2023-08-17,False
MT,1256,2020-12-29,False
MTB,2546,2026-02-19,False
MTH,1798,2023-02-24,False
MTUM,2063,2024-03-15,False
MTZ,1360,2021-05-28,False
NANR,2100,2024-05-08,False
NANR,2537,2026-02-05,False
NBHC,1742,2022-12-02,False
NEE,2114,2024-05-29,False
NEN,1544,2022-02-18,False
NFBK,1325,2021-04-09,False
NFLX,1884,2023-06-29,False
NGL,2454,2025-10-07,False
NGS,1971,2023-11-01,False
NHC,2126,2024-06-14,False
NMR,2531,2026-01-28,False
NRIM,2512,2025-12-30,False
NSP,1438,2021-09-20,False
NSSC,1674,2022-08-26,False
NTRS,2397,2025-07-17,False
NUE,1578,2022-04-08,False
NVEC,1282,2021-02-05,False
NVMI,1256,2020-12-29,False
NVT,1330,2023-07-31,False
NVT,1847,2025-08-21,False
NWSA,1320,2021-04-01,False
NYC,217,2021-06-29,False
OCCI,563,2020-12-31,False
OFS,1316,2021-03-26,False
OFS,1584,2022-04-19,False
OILK,1287,2021-11-08,False
OILK,1377,2022-03-18,False
OKLO,1081,2025-10-27,True
ONDS,1322,2025-10-27,True
OPEN,1325,2025-09-26,True
OPY,1750,2022-12-14,False
OR,2536,2026-02-04,False
ORC,2027,2024-01-24,False
OTTR,1444,2021-09-28,False
OVLY,1809,2023-08-07,False
PAM,2201,2024-10-02,False
PARR,1922,2023-08-23,False
PARR,2404,2025-07-28,False
PATH,1136,2025-10-28,True
PAYC,2237,2024-11-21,False
PBEE,767,2024-05-20,False
PBR,1373,2021-06-17,False
PCAR,2240,2024-11-26,False
PEBK,1202,2020-12-09,False
PEBO,1991,2023-11-30,False
PENG,1533,2023-06-28,False
PEZ,1156,2020-08-31,False
PFLT,1248,2020-12-16,False
PFLT,1256,2020-12-29,False
PHI,1449,2021-10-05,False
PHM,1865,2023-06-01,False
PKX,1256,2020-12-29,False
PL,1131,2025-10-27,True
PLBC,1324,2021-04-08,False
PLPC,1253,2020-12-23,False
PLUS,1802,2023-03-02,False
PM,2312,2025-03-14,False
PNFP,1315,2021-03-25,False
POOL,1359,2021-05-27,False
PRIM,1893,2023-07-14,False
PRLB,2434,2025-09-09,False
PSA,2198,2024-09-27,False
PSCM,2424,2026-01-30,False
PSMT,2548,2026-02-23,False
PSO,2255,2024-12-18,False
PXE,1946,2023-09-27,False
PXJ,2567,2026-03-20,False
QCLN,1026,2020-01-31,False
QCLN,1241,2020-12-07,False
QLD,1026,2020-01-31,False
QS,1305,2025-10-27,True
RACE,1993,2023-12-04,False
RBC,1239,2020-12-03,False
RCG,1253,2020-12-23,False
RDNT,2133,2024-06-26,False
REAL,1654,2026-01-28,True
REX,1938,2023-09-15,False
RFG,2080,2024-04-10,False
RNST,1736,2022-11-23,False
ROST,1759,2022-12-28,False
RPD,1247,2020-12-15,False
RPV,1315,2021-03-25,False
RR,486,2025-10-27,True
RSPG,1472,2021-11-05,False
RVMD,1202,2024-11-21,False
RWK,2015,2024-01-05,False
SAP,1750,2022-12-14,False
SBAC,1047,2020-03-03,False
SBFG,2339,2025-08-25,False
SBIO,2478,2025-11-10,False
SBSI,2168,2024-08-15,False
SCCO,1246,2020-12-14,False
SCCO,1791,2023-02-14,False
SCHW,2016,2024-01-08,False
SEA,607,2024-06-21,False
SEB,2515,2026-01-05,False
SFST,1320,2021-04-01,False
SFYF,1043,2023-06-29,False
SGI,1793,2023-02-16,False
SHG,1372,2021-06-16,False
SHG,2380,2025-06-23,False
SIMO,2024,2024-01-19,False
SIMS,781,2021-02-04,False
SIXG,1626,2025-08-21,False
SKM,2196,2024-09-25,False
SKY,1801,2023-03-01,False
SKYW,2237,2024-11-21,False
SLM,1216,2020-10-30,False
SLX,1360,2021-05-28,False
SMBC,1320,2021-04-01,False
SMLF,1973,2024-01-05,False
SMOG,1243,2020-12-09,False
SNX,1029,2020-02-05,False
SNX,1342,2021-05-04,False
SO,1234,2020-11-25,False
SOHU,2153,2024-07-25,False
SOUN,877,2025-10-27,True
SPDV,828,2021-03-25,False
SPH,1978,2023-11-10,False
SPPP,1028,2020-02-04,False
SR,2489,2025-11-25,False
SRCE,2165,2024-08-15,False
STLA,2080,2024-04-10,False
STN,1288,2021-02-18,False
STRL,1878,2023-06-21,False
STRL,2065,2024-03-19,False
STRL,2424,2025-08-25,False
SW,2538,2026-02-05,False
SYF,2026,2024-01-23,False
T,2316,2025-03-20,False
TAC,1865,2023-06-01,False
TBBK,2168,2024-08-15,False
TBRG,2257,2024-12-20,False
TCPC,1255,2020-12-28,False
TDG,1031,2020-02-07,False
TEF,2323,2025-03-31,False
TEL,2418,2025-08-15,False
TESL,225,2021-11-18,False
TEVA,2114,2024-05-29,False
TFII,1369,2021-06-11,False
TFII,1672,2022-08-24,False
TFIN,1221,2020-11-06,False
TFPM,629,2024-04-24,False
THFF,2015,2024-01-05,False
TKO,1852,2023-05-12,False
TM,1884,2023-06-29,False
TME,514,2020-12-28,False
TPG,908,2025-08-28,False
TPH,2015,2024-01-05,False
TPR,2015,2024-01-05,False
TRGP,1562,2022-03-17,False
TRNO,2162,2024-08-07,False
TRV,1232,2020-11-23,False
TSM,2048,2024-02-23,False
TTEK,1239,2020-12-03,False
TTI,1917,2023-08-16,False
TXRH,2015,2024-01-05,False
TZOO,2183,2024-09-06,False
UFCS,2258,2024-12-27,False
UFO,1587,2025-08-05,False
UFPI,1315,2021-03-25,False
UFPI,1334,2021-04-22,False
UFPT,1894,2023-07-14,False
UGA,1326,2021-04-12,False
UGE,1190,2021-01-22,False
UMBF,1325,2021-04-09,False
UPS,1182,2020-09-14,False
URA,2393,2025-07-11,False
USAI,2040,2026-04-06,False
USL,1563,2022-03-18,False
USLM,1736,2022-11-23,False
USLM,2110,2024-05-22,False
USO,1473,2021-11-08,False
USO,1563,2022-03-18,False
UTES,1993,2024-10-15,False
UVE,2059,2024-03-11,False
VABK,1325,2023-08-18,False
VBR,2015,2024-01-05,False
VCAR,226,2021-11-18,False
VDE,1472,2021-11-05,False
VEON,2060,2024-03-12,False
VIAV,2488,2025-11-24,False
VIK,157,2024-12-13,False
VIPS,1777,2023-01-25,False
VITL,1286,2025-09-15,True
VOE,1236,2020-11-30,False
VSEC,2559,2026-03-10,True
VTWG,1259,2021-01-04,False
VTWG,1277,2021-01-29,False
VXF,1277,2021-01-29,False
WANT,747,2021-11-17,False
WDC,1029,2020-02-05,False
WDC,2418,2025-08-15,False
WDFC,1998,2023-12-11,False
WDS,2582,2026-04-14,False
WELL,2203,2024-10-04,False
WFC,2025,2024-01-22,False
WINA,1492,2021-12-06,False
WLFC,1757,2022-12-23,False
WSO,1802,2023-03-02,False
WST,1440,2021-09-22,False
WT,1862,2023-05-26,False
WTRE,2473,2025-11-03,False
WTS,1194,2020-09-30,False
WUGI,818,2023-06-30,False
WVVI,1465,2021-10-29,False
XAR,1256,2020-12-29,False
XBI,2478,2025-11-10,False
XHB,2015,2024-01-05,False
XKII,781,2021-02-04,False
XLC,1433,2024-02-29,False
XME,2411,2025-08-06,False
XME,2422,2025-08-21,False
XOM,1548,2022-02-25,False
XSW,1261,2021-01-06,False
XTL,2408,2025-08-01,False
XTN,2238,2024-11-22,False
YCS,1603,2022-05-16,False
ZWS,1461,2021-10-21,False
