ticker,E_idx,date,example_matched
A,1024,2020-01-29,False
A,1438,2021-09-20,False
A,1441,2021-09-23,False
AA,2532,2026-01-29,False
AAA,8,2020-09-21,False
AAAA,8,2025-07-28,False
AAAA,12,2025-08-01,False
AAAC,8,2025-12-23,False
AAAU,1433,2024-04-26,False
AAAU,1813,2025-10-31,False
AAAU,1815,2025-11-04,False
AAAU,1817,2025-11-06,False
AACB,8,2025-04-17,False
AACBR,1,2025-04-10,False
AACBU,8,2025-02-26,False
AACBU,27,2025-03-25,False
AACIU,8,2025-06-03,False
AAEQ,2,2025-12-12,False
AAEQ,5,2025-12-17,False
AAEQ,10,2025-12-24,False
AAEQ,19,2026-01-08,False
AAEQ,26,2026-01-20,False
AALG,2,2025-07-15,False
AAM,8,2024-09-26,False
AAMI,1236,2020-11-30,False
AAMI,1795,2023-02-21,False
AAMI,1801,2023-03-01,False
AAMI,1804,2023-03-06,False
AAMI,2406,2025-07-30,False
AAON,1295,2021-02-25,False
AAON,1751,2022-12-15,False
AAOX,1,2026-03-25,False
AAPB,4,2022-08-15,False
AAPB,13,2022-08-26,False
AAPD,1,2022-08-10,False
AAPD,3,2022-08-12,False
AAPD,9,2022-08-22,False
AAPG,6,2025-02-03,False
AAPG,28,2025-03-06,False
AAPL,1423,2021-08-27,False
AAPL,1503,2021-12-21,False
AAPL,1505,2021-12-23,False
AAPL,1518,2022-01-12,False
AAPL,2150,2024-07-22,False
AAPL,2441,2025-09-18,False
AAPR,18,2024-04-25,False
AAPU,4,2022-08-15,False
AAPU,13,2022-08-26,False
AAPU,18,2022-09-02,False
AAPW,5,2025-02-26,False
AAPW,8,2025-03-03,False
AAPW,13,2025-03-10,False
AAPW,19,2025-03-18,False
AAPX,2,2024-01-16,False
AAPX,16,2024-02-05,False
AAPX,20,2024-02-09,False
AAPY,6,2023-11-06,False
AAPY,41,2023-12-27,False
AARD,1,2025-02-14,False
AAUC,3,2024-08-20,False
AAUC,17,2024-09-10,False
AAUC,376,2026-02-17,False
AAUGD,1,2021-03-23,False
AAUGD,5,2021-03-29,False
AAUGD,9,2021-04-05,False
AAUM,4,2025-10-07,False
AAUM,6,2025-10-09,False
AAUM,10,2025-10-15,False
AAUM,14,2025-10-21,False
AAUM,18,2025-10-27,False
AAUM,23,2025-11-04,False
AAUM,25,2025-11-10,False
AAUM,27,2025-11-12,False
AAUS,7,2025-08-01,False
AAUS,9,2025-08-05,False
AAUS,21,2025-08-21,False
ABBV,1254,2020-12-24,False
ABBV,2460,2025-10-15,False
ABCB,2015,2024-01-05,False
ABCB,2017,2024-01-09,False
ABCL,1,2020-12-14,False
ABCL,5,2020-12-18,False
ABCS,8,2024-01-03,False
ABCS,10,2024-01-05,False
ABCS,16,2024-01-16,False
ABCS,18,2024-01-18,False
ABCS,20,2024-01-22,False
ABCS,22,2024-01-24,False
ABEQ,3,2020-01-27,False
ABEQ,9,2020-02-04,False
ABEQ,22,2020-02-24,False
ABEV,1376,2021-06-22,False
ABEV,2324,2025-04-01,False
ABG,1793,2023-02-16,False
ABG,1801,2023-03-01,False
ABI,8,2025-07-09,False
ABIG,1,2025-04-10,False
ABIG,5,2025-04-16,False
ABIG,9,2025-04-23,False
ABIG,35,2025-05-30,False
ABIG,37,2025-06-03,False
ABLD,2,2021-12-17,False
ABLD,7,2021-12-27,False
ABLD,27,2022-01-25,False
ABLD,31,2022-01-31,False
ABLS,1,2025-02-20,False
ABLS,7,2025-02-28,False
ABLS,10,2025-03-05,False
ABLS,13,2025-03-10,False
ABLS,15,2025-03-12,False
ABLS,19,2025-03-18,False
ABLV,8,2022-09-22,False
ABLVW,1,2022-09-13,False
ABM,1315,2021-03-25,False
ABNB,1,2020-12-11,False
ABNG,1,2025-11-18,False
ABNG,5,2025-11-24,False
ABNG,7,2025-11-26,False
ABNY,7,2024-07-05,False
ABNY,15,2024-07-17,False
ABNY,17,2024-07-19,False
ABNY,25,2024-07-31,False
ABOS,2,2021-07-06,False
ABOS,8,2021-07-14,False
ABOT,1,2020-12-09,False
ABOT,7,2020-12-17,False
ABOT,17,2021-01-04,False
ABOT,19,2021-01-06,False
ABP,8,2022-03-25,False
ABPWW,1,2022-03-08,False
ABSI,1,2021-07-23,False
ABSI,3,2021-07-27,False
ABT,2029,2024-01-26,False
ABT,2032,2024-01-31,False
ABUF,5,2026-04-14,False
ABUS,2445,2025-09-24,False
ABVE,11,2021-04-22,False
ABVE,16,2021-04-29,False
ABVE,36,2021-05-28,False
ABVEW,1,2024-07-01,False
ABVX,1,2023-10-20,False
ABX,8,2020-09-24,False
ABX,15,2020-10-05,False
ABX,20,2020-10-12,False
ABX,22,2020-10-14,False
ABX,24,2020-10-16,False
ABX,27,2020-10-21,False
ABXB,8,2020-12-18,False
ABXL,8,2023-12-06,False
ABXL,34,2024-01-16,False
ACAA,1,2026-04-13,False
ACAAU,8,2026-03-03,False
ACAAU,24,2026-03-25,False
ACAAU,28,2026-03-31,False
ACCL,1,2025-10-20,False
ACDC,3,2022-05-18,False
ACDC,8,2022-05-25,False
ACEI,8,2025-10-07,False
ACEI,11,2025-10-10,False
ACEI,13,2025-10-14,False
ACEI,35,2025-11-13,False
ACEP,4,2025-11-28,False
ACEP,6,2025-12-02,False
ACES,411,2020-03-03,False
ACES,413,2020-03-05,False
ACES,645,2021-02-04,False
ACGCU,5,2026-04-14,False
ACGL,1733,2022-11-18,False
ACGL,2198,2024-09-27,False
ACGR,12,2020-02-06,False
ACGR,399,2021-08-19,False
ACHR,6,2020-12-29,False
ACHR,8,2020-12-31,False
ACHR,14,2021-01-11,False
ACHR,1218,2025-10-27,True
ACHR-WS,2,2021-09-15,False
ACHR-WS,403,2025-10-27,False
ACHR-WT,1,2024-12-10,False
ACI,5,2020-07-06,False
ACI,14,2020-07-17,False
ACI,26,2020-08-04,False
ACI,28,2020-08-06,False
ACI,308,2021-09-16,False
ACII,8,2025-10-07,False
ACII,11,2025-10-10,False
ACII,16,2025-10-17,False
ACII,32,2025-11-10,False
ACII,35,2025-11-13,False
ACKY,7,2025-09-18,False
ACKY,18,2025-10-03,False
ACKY,30,2025-10-21,False
ACLC,6,2020-07-23,False
ACLC,8,2020-07-27,False
ACLO,8,2024-11-29,False
ACLS,1880,2023-06-23,False
ACLX,2,2022-02-08,False
ACM,1755,2022-12-21,False
ACNB,1526,2022-01-26,False
ACNB,1529,2022-01-31,False
ACNB,1535,2022-02-08,False
ACNB,1750,2022-12-15,False
ACNB,2016,2024-01-09,False
ACOG,1,2024-11-12,False
ACON,1,2022-04-25,False
ACONW,1,2022-04-25,False
ACR,2013,2024-01-03,False
ACR,2179,2024-08-30,False
ACR,2181,2024-09-04,False
ACR,2322,2025-03-28,False
ACRV,1,2022-11-16,False
ACSG,4,2025-10-22,False
ACSG,7,2025-10-27,False
ACSG,15,2025-11-06,False
ACSG,18,2025-11-11,False
ACSG,20,2025-11-13,False
ACSG,25,2025-11-20,False
ACSV,7,2025-10-27,False
ACSV,17,2025-11-10,False
ACSV,22,2025-11-17,False
ACSV,27,2025-11-24,False
ACT,1,2021-09-17,False
ACT,3,2021-09-21,False
ACT,5,2021-09-23,False
ACT,15,2021-10-07,False
ACT,17,2021-10-11,False
ACT,20,2021-10-14,False
ACTS,1,2026-03-20,False
ACTS,5,2026-03-26,False
ACTU,2,2024-08-15,False
ACTU,13,2024-08-30,False
ACVA,1,2021-03-25,False
ACVA,5,2021-03-31,False
ACVF,6,2020-11-06,False
ACVT,7,2025-05-09,False
ACVT,19,2025-05-28,False
ACVT,22,2025-06-02,False
ACXP,1,2021-06-28,False
ACYN,8,2026-03-09,False
ACYN,23,2026-03-30,False
ADACW,1,2026-02-10,False
ADAG,1,2021-02-10,False
ADAM,1316,2021-03-26,False
ADAMG,8,2025-01-28,False
ADAMG,35,2025-03-07,False
ADAMH,8,2025-07-21,False
ADAMI,8,2024-07-12,False
ADAMI,24,2024-08-05,False
ADAMI,26,2024-08-07,False
ADAMI,29,2024-08-12,False
ADAMI,32,2024-08-15,False
ADAMN,1467,2023-08-08,False
ADAMO,8,2026-01-27,False
ADAMO,35,2026-03-06,False
ADAMZ,8,2021-12-01,False
ADAMZ,18,2021-12-15,False
ADAMZ,321,2023-03-02,False
ADBE,2151,2024-07-23,False
ADBG,1,2025-03-24,False
ADBG,3,2025-03-26,False
ADBG,8,2025-04-02,False
ADBU,2,2026-03-27,False
ADBU,4,2026-03-31,False
ADBU,8,2026-04-07,False
ADC,2195,2024-09-24,False
ADCT,2,2020-05-19,False
ADCT,15,2020-06-08,False
ADCT,52,2020-07-30,False
ADFI,8,2020-08-28,False
ADGM,1,2024-08-05,False
ADIV,8,2021-04-09,False
ADIV,25,2021-05-04,False
ADIV,29,2021-05-10,False
ADIV,37,2021-05-20,False
ADM,1590,2022-04-27,False
ADM,1913,2023-08-10,False
ADNT,1051,2020-12-18,False
ADP,1237,2020-12-01,False
ADP,1493,2021-12-07,False
ADPV,8,2022-11-16,False
ADPV,530,2024-12-16,False
ADPV,684,2025-07-31,False
ADSE,14,2021-03-30,False
ADSE,34,2021-04-28,False
ADSE,36,2021-04-30,False
ADTX,8,2020-07-13,False
ADUS,2077,2024-04-05,False
ADVB,1,2025-03-07,False
ADVB,4,2025-03-12,False
ADVE,3,2023-09-27,False
ADVE,6,2023-10-02,False
ADVE,11,2023-10-09,False
ADVE,20,2023-10-20,False
ADVE,23,2023-10-25,False
ADVE,26,2023-10-30,False
ADXN,1,2020-01-31,False
AEAE,1,2021-12-14,False
AEAE,5,2021-12-20,False
AEAE,9,2021-12-27,False
AEAE,13,2021-12-31,False
AEAE,17,2022-01-06,False
AEAE,25,2022-01-19,False
AEAEW,1,2021-12-14,False
AEAQ,8,2026-02-05,False
AEAQW,2,2026-01-28,False
AEBI,1,2025-07-03,False
AEBI,15,2025-07-24,False
AEE,2168,2024-08-15,False
AEG,2019,2024-01-11,False
AEI,1,2020-11-25,False
AEIS,1255,2020-12-28,False
AEIS,2425,2025-08-26,False
AEM,1361,2021-06-01,False
AEMS,8,2025-07-14,False
AEMS,22,2025-08-01,False
AEMS,24,2025-08-05,False
AEMS,27,2025-08-08,False
AENT,1,2021-03-25,False
AENT,8,2021-04-06,False
AENT,24,2021-04-28,False
AENT,37,2021-05-17,False
AENTW,1,2023-03-22,False
AEON,8,2021-05-11,False
AEON,14,2021-06-15,False
AEON,17,2021-06-22,False
AEON,23,2021-07-02,False
AEON,26,2021-07-09,False
AEP,1585,2022-04-20,False
AEP,2309,2025-03-11,False
AERO,1,2025-11-07,False
AERO,12,2025-11-24,False
AERT,8,2021-12-30,False
AERTW,4,2021-12-28,False
AERTW,15,2022-01-12,False
AERTW,20,2022-01-21,False
AES,1279,2021-02-02,False
AES,1295,2021-02-25,False
AESI,1,2023-03-10,False
AESI,4,2023-03-15,False
AESI,8,2023-03-21,False
AESI,10,2023-03-23,False
AESR,15,2020-01-09,False
AESR,26,2020-01-27,False
AESR,30,2020-01-31,False
AETH,1,2023-10-03,False
AETH,3,2023-10-05,False
AETH,5,2023-10-09,False
AETH,11,2023-10-17,False
AETH,13,2023-10-19,False
AEVA,10,2020-03-12,False
AEVA,13,2020-03-17,False
AEVA,21,2020-03-27,False
AEVA,24,2020-04-01,False
AEVA,1346,2025-07-08,True
AEVA,1355,2025-07-21,True
AEXA,6,2025-10-06,False
AEXA,26,2025-11-03,False
AEXA,30,2025-11-07,False
AEXA,34,2025-11-13,False
AFBI,8,2021-02-05,False
AFBI,26,2021-03-04,False
AFCG,1,2021-03-22,False
AFCG,7,2021-03-30,False
AFCG,23,2021-04-22,False
AFGE,6,2020-09-28,False
AFGE,15,2020-10-09,False
AFGE,28,2020-10-28,False
AFIX,16,2025-01-03,False
AFIX,21,2025-01-14,False
AFJK,8,2024-02-01,False
AFJKR,2,2024-01-24,False
AFJKU,8,2023-12-14,False
AFL,2188,2024-09-13,False
AFL,2190,2024-09-17,False
AFL,2192,2024-09-19,False
AFMC,22,2020-01-07,False
AFMC,24,2020-01-09,False
AFMC,37,2020-01-29,False
AFMC,292,2021-02-02,False
AFOS,7,2025-07-08,False
AFOS,79,2025-10-17,False
AFOS,81,2025-10-21,False
AFRI,8,2021-02-18,False
AFRI,14,2021-02-26,False
AFRI,16,2021-03-02,False
AFRI,25,2021-03-15,False
AFRIW,1,2021-02-08,False
AFRM,1,2021-01-14,False
AFRU,4,2025-09-22,False
AFSC,1,2025-02-18,False
AFSC,10,2025-03-03,False
AFSC,14,2025-03-07,False
AFSC,17,2025-03-12,False
AFSM,25,2020-01-10,False
AFSM,290,2021-01-29,False
AFSM,292,2021-02-02,False
AFSM,308,2021-02-25,False
AFSM,1028,2024-01-05,False
AFYA,1114,2023-12-20,False
AFYA,1125,2024-01-08,False
AGBK,1,2026-02-12,False
AGBK,5,2026-02-19,False
AGCC,1,2025-10-23,False
AGCO,2553,2026-03-02,False
AGEM,7,2025-02-27,False
AGEM,14,2025-03-10,False
AGEM,16,2025-03-12,False
AGGA,8,2025-05-13,False
AGGH,8,2022-02-28,False
AGGH,26,2022-03-24,False
AGGH,29,2022-03-29,False
AGGS,8,2024-05-14,False
AGGS,19,2024-05-30,False
AGH,1,2025-02-13,False
AGI,1854,2023-05-16,False
AGI,2459,2025-10-14,False
AGIQ,7,2025-09-12,False
AGIQ,32,2025-10-17,False
AGIQ,34,2025-10-21,False
AGIQ,49,2025-11-11,False
AGIX,4,2024-07-24,False
AGIX,8,2024-07-30,False
AGIX,10,2024-08-01,False
AGIX,16,2024-08-09,False
AGL,1,2021-04-16,False
AGL,4,2021-04-21,False
AGM,1479,2021-11-16,False
AGM,1485,2021-11-24,False
AGM,1938,2023-09-15,False
AGM-P-H,8,2025-09-05,False
AGM-P-H,34,2025-10-13,False
AGMB,1,2026-02-06,False
AGMB,5,2026-02-12,False
