ticker,E_idx,date,example_matched
A,1011,2020-01-09,False
A,1100,2020-05-18,False
A,1104,2020-05-22,False
A,1109,2020-06-01,False
A,1175,2020-09-02,False
A,1220,2020-11-05,False
A,1233,2020-11-24,False
A,1262,2021-01-07,False
A,1335,2021-04-23,False
A,1359,2021-05-27,False
A,1368,2021-06-10,False
A,1414,2021-08-16,False
A,1417,2021-08-19,False
A,1421,2021-08-25,False
A,1654,2022-07-29,False
A,1667,2022-08-17,False
A,1727,2022-11-10,False
A,1735,2022-11-22,False
A,1775,2023-01-23,False
A,1897,2023-07-19,False
A,1899,2023-07-21,False
A,1985,2023-11-21,False
A,2054,2024-03-04,False
A,2057,2024-03-07,False
A,2102,2024-05-10,False
A,2248,2024-12-09,False
A,2275,2025-01-21,False
A,2372,2025-06-10,False
A,2392,2025-07-10,False
A,2450,2025-10-01,False
A,2464,2025-10-21,False
A,2487,2025-11-21,False
AA,1261,2021-01-06,False
AA,2071,2024-03-27,False
AA,2075,2024-04-03,False
AA,2109,2024-05-21,False
AA,2437,2025-09-12,False
AA,2448,2025-09-29,False
AA,2455,2025-10-08,False
AA,2505,2025-12-18,False
AA,2560,2026-03-11,False
AAA,1,2020-09-10,False
AAAA,1,2025-07-17,False
AAAC,1,2025-12-12,False
AAAU,381,2020-02-21,False
AAAU,486,2020-07-22,False
AAAU,489,2020-07-27,False
AAAU,495,2020-08-04,False
AAAU,561,2020-11-05,False
AAAU,600,2021-01-04,False
AAAU,891,2022-03-01,False
AAAU,896,2022-03-08,False
AAAU,1068,2022-11-10,False
AAAU,1082,2022-12-01,False
AAAU,1154,2023-03-17,False
AAAU,1166,2023-04-04,False
AAAU,1330,2023-11-28,False
AAAU,1394,2024-03-01,False
AAAU,1415,2024-04-02,False
AAAU,1487,2024-07-16,False
AAAU,1506,2024-08-12,False
AAAU,1528,2024-09-12,False
AAAU,1652,2025-03-13,False
AAAU,1664,2025-03-31,False
AAAU,1673,2025-04-11,False
AAAU,1676,2025-04-16,False
AAAU,1770,2025-09-02,False
AAAU,1784,2025-09-22,False
AAAU,1789,2025-09-29,False
AAAU,1794,2025-10-06,False
AAAU,1802,2025-10-16,False
AAAU,1848,2025-12-22,False
AAAU,1866,2026-01-20,False
AAAU,1872,2026-01-28,False
