ticker,E_idx,date,example_matched
AA,2209,2024-10-14,False
AA,2500,2025-12-11,True
AA,2507,2025-12-22,False
AA,2520,2026-01-12,False
AAME,1442,2022-04-11,False
AAMI,1228,2020-11-17,False
AAMI,1784,2023-02-03,False
AAMI,2407,2025-07-31,False
AAOI,1275,2021-01-27,False
AAPG,110,2025-07-03,False
AAPL,1174,2020-09-01,False
ABCB,2001,2023-12-14,False
ABEV,2542,2026-02-12,False
ABEV,2549,2026-02-24,False
ABUS,2010,2023-12-28,False
ABUS,2432,2025-09-05,False
ABUS,2436,2025-09-11,False
ACCO,1240,2020-12-04,False
ACES,402,2020-02-19,False
ACES,519,2020-08-05,False
ACH,2071,2024-03-27,False
ACLS,1479,2021-11-16,False
ACLS,1778,2023-01-26,False
ACLS,1783,2023-02-02,False
ACLS,1788,2023-02-09,False
ACLS,1885,2023-06-30,False
ACLX,316,2023-05-10,False
ACMR,2067,2026-01-28,False
ACNB,2001,2023-12-15,False
ACNT,2244,2024-12-03,False
ACNT,2505,2025-12-18,False
ACU,1311,2021-03-19,False
ACVA,483,2023-02-23,False
ACVA,492,2023-03-08,False
AD,2527,2026-01-22,False
ADMA,2025,2024-01-22,False
ADSE,748,2024-02-29,False
AEIS,1227,2020-11-16,False
AEIS,1233,2020-11-24,False
AEIS,2475,2025-11-05,False
AEM,1351,2021-05-17,False
AEM,2073,2024-04-01,False
AEM,2461,2025-10-16,False
AEO,1265,2021-01-12,False
AEO,1282,2021-02-05,False
AEO,1929,2023-09-01,False
AER,1724,2022-11-07,False
AFYA,1105,2023-12-07,False
AG,2453,2025-10-06,False
AG,2455,2025-10-08,False
AGEN,1373,2021-06-17,False
AGIO,2113,2024-05-28,False
AGM,1470,2021-11-03,False
AGMI,346,2025-09-22,False
AGMI,351,2025-09-29,False
AGMI,428,2026-01-20,False
AGQ,2075,2024-04-03,False
AGQ,2458,2025-10-13,False
AGRO,1558,2022-03-11,False
AGRO,2573,2026-03-30,False
AGYS,1030,2020-02-06,False
AHH,1302,2021-03-08,False
AHR,151,2024-09-13,False
AHRT,1302,2021-03-08,False
AIOT,2072,2024-03-28,False
AIRG,2386,2026-02-10,False
AIRT,1190,2021-07-26,False
AIRT,1196,2021-08-03,False
AIS,224,2025-10-27,False
AIT,1233,2020-11-24,False
AIV,1654,2022-07-29,False
AIV,1664,2022-08-12,False
AKBA,1039,2020-02-20,False
AKBA,2030,2024-01-29,False
AL,1240,2020-12-04,False
ALB,1028,2020-02-04,False
ALB,1683,2022-09-09,False
ALG,1233,2020-11-24,False
ALGM,577,2023-02-15,False
ALGM,678,2023-07-13,False
ALGN,1782,2023-02-01,False
ALGT,2226,2024-11-06,False
ALKT,652,2023-11-14,False
ALLT,2449,2025-09-30,False
ALLY,1783,2023-02-02,False
ALM,2030,2024-01-29,False
ALNT,1666,2022-08-16,False
ALRM,2245,2024-12-04,False
ALSN,2523,2026-01-15,False
ALVO,807,2024-01-29,False
AM,904,2020-12-04,False
AM,908,2020-12-10,False
AMAL,1880,2026-01-22,False
AMAL,1892,2026-02-09,False
AMAT,1227,2020-11-16,False
AMAT,1230,2020-11-19,False
AMAT,1233,2020-11-24,False
AMAT,1267,2021-01-14,False
AMBA,2253,2024-12-16,False
AMBR,671,2020-08-24,False
AMD,1006,2020-01-02,False
AMD,1406,2021-08-04,False
AMD,1473,2021-11-08,False
AMD,2010,2023-12-28,False
AMD,2416,2025-08-13,False
AMDY,476,2025-08-13,False
AMKR,1267,2021-01-14,False
AMKR,2146,2024-07-16,False
AMLP,1233,2020-11-24,False
AMLP,1240,2020-12-04,False
AMLX,682,2024-09-26,False
AMPH,1810,2023-03-14,False
AMPH,1879,2023-06-22,False
AMPX,700,2025-07-02,True
AMR,1762,2023-09-28,False
AMRC,1028,2020-02-04,False
AMRC,1040,2020-02-21,False
AMRC,1897,2023-07-19,False
AMS,1274,2021-02-19,False
AMSC,2125,2024-06-13,False
AMUB,540,2020-11-24,False
AMUB,547,2020-12-04,False
AMZA,1240,2020-12-04,False
ANAB,1883,2024-07-23,False
ANDE,1568,2022-03-25,False
ANF,1200,2020-10-08,False
ANF,1307,2021-03-15,False
ANF,1971,2023-11-01,True
ANF,1972,2023-11-02,True
ANF,1989,2023-11-28,False
ANF,2004,2023-12-19,False
ANF,2025,2024-01-22,False
ANF,2049,2024-02-26,False
ANF,2055,2024-03-05,False
ANGO,2451,2025-10-02,False
ANVS,248,2021-01-22,False
AOSL,1476,2021-11-11,False
AOSL,1493,2021-12-07,False
AOTVD,1259,2021-01-04,False
AOUT,159,2021-04-12,False
APA,1912,2023-08-09,False
APA,2429,2025-09-02,False
APA,2572,2026-03-27,False
APAM,1893,2023-07-13,False
APEI,2527,2026-01-22,False
APEI,2570,2026-03-25,False
APLD,1563,2025-10-01,True
APLS,891,2021-05-27,False
APLS,1191,2022-08-05,False
APO,1740,2022-11-30,False
APP,891,2024-10-29,False
APPN,848,2020-10-07,False
APPN,1876,2024-11-07,False
APT,1993,2023-12-04,False
APT,2075,2024-04-03,False
APTV,1233,2020-11-24,False
APYX,1242,2020-12-08,False
APYX,1477,2021-11-12,False
AR,1583,2022-04-18,False
AR,1912,2023-08-09,False
AR,2570,2026-03-25,False
ARCB,1285,2021-02-10,False
ARCB,1295,2021-02-25,False
ARCB,1303,2021-03-09,False
ARCB,1902,2023-07-26,False
ARCO,1531,2022-02-01,False
ARCO,1992,2023-12-01,False
ARHS,304,2023-01-23,False
ARHS,596,2024-03-21,False
ARIS,2008,2023-12-26,False
ARIS,2325,2025-04-02,False
ARIS,2525,2026-01-20,False
ARIS,2531,2026-01-28,False
ARKF,1228,2023-12-19,False
ARKF,1454,2024-11-12,False
ARKF,1605,2025-06-24,False
ARKG,1249,2020-12-22,False
ARKK,1244,2020-12-22,False
ARKK,1885,2023-07-13,False
ARKK,2235,2024-12-02,False
ARKK,2373,2025-06-24,False
ARKQ,1258,2021-01-08,False
ARKQ,2248,2024-12-16,False
ARKW,1281,2021-02-09,False
ARKW,1890,2023-07-13,False
ARKW,1998,2023-12-14,False
ARKX,1079,2025-07-17,False
ARL,1362,2021-06-02,False
ARLO,844,2021-12-09,False
ARLP,1443,2021-09-27,False
ARLP,1458,2021-10-18,False
ARLP,1518,2022-01-12,False
ARMN,2525,2026-01-20,False
ARMN,2531,2026-01-28,False
AROC,1240,2020-12-04,False
AROC,2553,2026-03-02,False
AROW,2150,2024-07-25,False
ARQT,1223,2024-12-10,False
ARTY,658,2021-02-09,False
AS,221,2024-12-17,False
ASA,1154,2020-08-04,False
ASA,2289,2025-02-10,False
ASA,2433,2025-09-08,False
ASA,2455,2025-10-08,False
ASA,2461,2025-10-16,False
ASA,2520,2026-01-12,False
ASA,2528,2026-01-23,False
ASA,2531,2026-01-28,False
ASAN,203,2021-07-22,False
ASB,2001,2023-12-14,False
ASC,1578,2022-04-08,False
ASC,1596,2022-05-05,False
ASC,2109,2024-05-21,False
ASIX,1056,2020-11-24,False
ASIX,1286,2021-10-25,False
ASML,1267,2021-01-14,False
ASML,2524,2026-01-16,False
ASML,2530,2026-01-27,False
ASND,2008,2023-12-26,False
ASO,808,2023-12-19,False
ASPS,1732,2022-11-17,False
ASTH,1278,2021-02-01,False
ASTH,1346,2021-05-10,False
ASTH,1356,2021-05-24,False
ASUR,2246,2025-01-22,False
ASX,1267,2021-01-14,False
ATEC,2490,2025-11-26,False
ATER,301,2020-08-20,False
ATHM,2201,2024-10-02,False
ATI,1784,2023-02-03,False
ATI,2470,2025-10-29,False
ATKR,1134,2020-12-10,False
ATKR,1182,2021-02-22,False
ATKR,1301,2021-08-11,False
ATKR,1786,2023-07-18,False
ATKR,1963,2024-04-01,False
ATLC,932,2020-01-21,False
ATLC,1783,2023-06-07,False
ATLC,1789,2023-06-15,False
ATLC,2159,2024-12-04,False
ATMP,1233,2020-11-24,False
ATMP,1240,2020-12-04,False
ATRA,1241,2020-12-07,False
ATRC,1264,2021-01-11,False
ATRO,1878,2023-06-21,False
ATRO,1896,2023-07-18,False
ATRO,2535,2026-02-03,False
AU,2075,2024-04-03,False
AU,2289,2025-02-10,False
