ticker,E_idx,date,example_matched
AA,2209,2024-10-14,False
AA,2500,2025-12-11,True
AA,2507,2025-12-22,False
AA,2515,2026-01-05,False
AA,2520,2026-01-12,False
AAA,1,2020-09-10,False
AAAA,1,2025-07-17,False
AAAC,1,2025-12-12,False
AAAU,1872,2026-01-28,False
AACB,1,2025-04-08,False
AACBR,1,2025-04-10,False
AACBU,1,2025-02-14,False
AACIU,1,2025-05-22,False
AAEQ,1,2025-12-11,False
AAL,2220,2024-10-29,False
AAL,2246,2024-12-05,False
AALG,1,2025-07-14,False
AALG,4,2025-07-17,False
AAM,1,2024-09-17,False
AAME,1442,2022-04-11,False
AAMI,1228,2020-11-17,False
AAMI,1784,2023-02-03,False
AAMI,2388,2025-07-03,False
AAMI,2407,2025-07-31,False
AAMI,2415,2025-08-12,False
AAMI,2424,2025-08-25,False
AAOI,1275,2021-01-27,False
AAOX,1,2026-03-25,False
AAP,2064,2024-03-18,False
AAPB,1,2022-08-10,False
AAPB,769,2025-09-03,False
AAPD,1,2022-08-10,False
AAPD,37,2022-09-30,False
AAPG,1,2025-01-27,False
AAPG,7,2025-02-04,False
AAPG,19,2025-02-21,False
AAPG,110,2025-07-03,False
AAPL,1125,2020-06-23,False
AAPL,1174,2020-09-01,False
AAPR,1,2024-04-02,False
AAPU,1,2022-08-10,False
AAPU,769,2025-09-03,False
AAPW,1,2025-02-20,False
AAPX,1,2024-01-12,False
AAPX,5,2024-01-19,False
AAPX,411,2025-09-03,False
AAPY,1,2023-10-30,False
AARD,1,2025-02-14,False
AARD,4,2025-02-20,False
AAT,1302,2021-03-08,False
AAUC,1,2024-08-16,False
AAUC,357,2026-01-20,False
AAUGD,1,2021-03-23,False
AAUM,1,2025-10-02,False
AAUS,1,2025-07-24,False
ABCB,2001,2023-12-14,False
ABCL,1,2020-12-14,False
ABCS,1,2023-12-21,False
ABEQ,1,2020-01-23,False
ABEV,1244,2020-12-10,False
ABEV,2312,2025-03-14,False
ABEV,2542,2026-02-12,False
ABEV,2549,2026-02-24,False
ABG,1783,2023-02-02,False
ABI,1,2025-06-27,False
ABIG,1,2025-04-10,False
ABIG,10,2025-04-24,False
ABLD,1,2021-12-16,False
ABLS,1,2025-02-20,False
ABLV,1,2022-09-13,False
ABLVW,1,2022-09-13,False
ABM,2000,2023-12-13,False
ABNB,1,2020-12-11,False
ABNB,22,2021-01-13,False
ABNG,1,2025-11-18,False
ABNG,6,2025-11-25,False
ABNG,13,2025-12-05,False
ABNG,19,2025-12-15,False
ABNG,24,2025-12-22,False
ABNG,33,2026-01-06,False
ABNY,1,2024-06-26,False
ABOS,1,2021-07-02,False
ABOT,1,2020-12-09,False
ABP,1,2022-03-10,False
ABPWW,1,2022-03-08,False
ABR,1866,2023-06-02,False
ABSI,2,2021-07-26,False
ABSI,5,2021-07-29,False
ABUF,1,2026-04-07,False
ABUS,2007,2023-12-22,False
ABUS,2010,2023-12-28,False
ABUS,2432,2025-09-05,False
ABUS,2436,2025-09-11,False
ABVE,1,2021-04-08,False
ABVEW,1,2024-07-01,False
ABVX,1,2023-10-20,False
ABVX,86,2024-02-23,False
ABVX,524,2025-11-20,False
ABX,1,2020-09-15,False
ABXB,1,2020-12-09,False
ABXL,1,2023-11-27,False
ABXL,275,2024-12-30,False
ACAA,1,2026-04-13,False
ACAAU,1,2026-02-20,False
ACAD,1226,2020-11-16,False
ACAD,1781,2023-02-02,False
ACAD,1892,2023-07-14,False
ACCL,1,2025-10-20,False
ACCO,1240,2020-12-04,False
ACCS,2268,2025-06-11,False
ACDC,1,2022-05-16,False
ACDC,15,2022-06-06,False
ACEI,1,2025-09-26,False
ACEP,1,2025-11-24,False
ACES,402,2020-02-19,False
ACES,519,2020-08-05,False
ACES,616,2020-12-22,False
ACES,626,2021-01-07,False
ACGCU,1,2026-04-08,False
ACGR,1,2020-01-22,False
ACGR,17,2020-02-13,False
ACH,2071,2024-03-27,False
ACHR,1,2020-12-21,False
ACHR,35,2021-02-10,False
ACHR-WS,1,2021-09-14,False
ACHR-WT,1,2024-12-10,False
ACI,1,2020-06-29,False
ACI,146,2021-01-26,False
ACI,282,2021-08-10,False
ACI,299,2021-09-02,False
ACII,1,2025-09-26,False
ACIW,1773,2023-01-19,False
ACKY,1,2025-09-10,False
ACLC,1,2020-07-16,False
ACLO,1,2024-11-19,False
ACLS,1479,2021-11-16,False
ACLS,1770,2023-01-13,False
ACLS,1775,2023-01-23,False
ACLS,1778,2023-01-26,False
ACLS,1783,2023-02-02,False
ACLS,1788,2023-02-09,False
ACLS,1885,2023-06-30,False
ACLS,2141,2024-07-09,False
ACLX,1,2022-02-07,False
ACLX,12,2022-02-23,False
ACLX,316,2023-05-10,False
ACLX,658,2024-09-19,False
ACLX,677,2024-10-16,False
ACMR,545,2020-01-07,False
ACMR,2067,2026-01-28,False
ACNB,1232,2020-11-24,False
ACNB,1301,2021-03-08,False
ACNB,2001,2023-12-15,False
ACNT,2244,2024-12-03,False
ACNT,2505,2025-12-18,False
ACOG,1,2024-11-12,False
ACON,1,2022-04-25,False
ACONW,1,2022-04-25,False
ACR,2066,2024-03-20,False
ACR,2072,2024-03-28,False
ACR,2308,2025-03-10,False
ACR,2312,2025-03-14,False
ACRV,1,2022-11-16,False
ACSG,1,2025-10-17,False
ACSV,1,2025-10-17,False
ACT,1,2021-09-17,False
ACT,5,2021-09-23,False
ACT,23,2021-10-19,False
ACTG,1279,2021-02-02,False
ACTS,1,2026-03-20,False
ACTS,13,2026-04-08,False
ACTU,1,2024-08-14,False
ACU,1227,2020-11-16,False
ACU,1311,2021-03-19,False
ACVA,1,2021-03-25,False
ACVA,4,2021-03-30,False
ACVA,15,2021-04-15,False
ACVA,483,2023-02-23,False
ACVA,492,2023-03-08,False
ACVA,537,2023-05-11,False
ACVF,1,2020-10-30,False
ACVF,5,2020-11-05,False
ACVT,1,2025-05-01,False
ACXP,1,2021-06-28,False
ACYN,1,2026-02-26,False
AD,2527,2026-01-22,False
ADACW,1,2026-02-10,False
ADAG,1,2021-02-10,False
ADAM,1233,2020-11-24,False
ADAMG,1,2025-01-16,False
ADAMH,1,2025-07-10,False
ADAMI,1,2024-07-02,False
ADAMO,1,2026-01-15,False
ADAMZ,1,2021-11-19,False
ADBE,1124,2020-06-22,False
ADBG,2,2025-03-25,False
ADBU,1,2026-03-26,False
ADCT,5,2020-05-22,False
ADCT,8,2020-05-28,False
ADCT,19,2020-06-12,False
ADCT,24,2020-06-19,False
ADCT,26,2020-06-23,False
ADCT,31,2020-06-30,False
ADEA,2009,2023-12-27,False
ADFI,1,2020-08-19,False
ADGM,1,2024-08-05,False
ADIV,1,2021-03-30,False
ADMA,2016,2024-01-08,False
ADMA,2025,2024-01-22,False
ADMA,2102,2024-05-10,False
ADMA,2119,2024-06-05,False
ADPV,1,2022-11-07,False
ADSE,1,2021-03-11,False
ADSE,748,2024-02-29,False
ADTN,2580,2026-04-09,False
ADTX,1,2020-07-01,False
ADVB,1,2025-03-07,False
ADVB,3,2025-03-11,False
ADVB,7,2025-03-17,False
ADVE,1,2023-09-25,False
ADXN,1,2020-01-31,False
AEAE,1,2021-12-14,False
AEAEW,1,2021-12-14,False
AEAQ,1,2026-01-27,False
AEAQW,1,2026-01-27,False
AEBI,1,2025-07-03,False
AEI,1,2020-11-25,False
AEIS,1227,2020-11-16,False
AEIS,1233,2020-11-24,False
AEIS,2475,2025-11-05,False
AEM,1351,2021-05-17,False
AEM,2073,2024-04-01,False
AEM,2442,2025-09-19,False
AEM,2448,2025-09-29,False
AEM,2461,2025-10-16,False
AEMS,1,2025-07-02,False
AENT,1,2021-03-25,False
AENTW,1,2023-03-22,False
AEO,1265,2021-01-12,False
AEO,1271,2021-01-21,False
AEO,1282,2021-02-05,False
AEO,1929,2023-09-01,False
AEO,2502,2025-12-15,False
AEO,2516,2026-01-06,False
AEON,1,2021-04-14,False
AER,1724,2022-11-07,False
AERO,1,2025-11-07,False
AERT,1,2021-12-20,False
AERTW,1,2021-12-22,False
AERTW,7,2021-12-31,False
AES,1267,2021-01-14,False
AESI,1,2023-03-10,False
