ticker,E_idx,date,example_matched
AA,2229,2024-11-11,False
AAAU,499,2020-08-10,False
AAAU,881,2022-02-14,False
AAAU,1769,2025-08-29,False
AADR,1017,2020-02-21,False
AADR,2237,2025-01-10,False
AAL,1235,2020-11-27,False
AAL,2019,2024-01-11,False
AAL,2236,2024-11-20,False
AAMI,2079,2024-04-09,False
AAMI,2157,2024-07-31,False
AAOI,2044,2024-02-16,True
AAON,1050,2020-03-06,False
AAP,1445,2021-09-29,False
AAPB,164,2023-04-04,False
AAPL,1276,2021-01-28,False
AAPL,1431,2021-09-09,False
AAPU,191,2023-05-12,False
AAPW,148,2025-09-22,False
AAT,1431,2021-09-09,False
AAVM,2246,2026-04-14,False
AAXJ,1906,2023-08-01,False
AAXJ,2081,2024-04-11,False
AAXJ,2456,2025-10-09,False
AAXJ,2582,2026-04-14,False
AB,1146,2020-07-23,False
AB,1242,2020-12-08,False
AB,1299,2021-03-03,False
AB,1314,2021-03-24,False
AB,1347,2021-05-11,False
AB,2158,2024-08-01,False
AB,2405,2025-07-29,False
AB,2497,2025-12-08,False
ABBV,1425,2021-08-31,False
ABBV,1840,2023-04-26,False
ABCB,1218,2020-11-03,False
ABCB,1260,2021-01-05,False
ABCB,2213,2024-10-18,False
ABEQ,456,2021-11-10,False
ABEQ,718,2022-11-25,False
ABEQ,1386,2025-07-29,False
ABEV,1245,2020-12-11,False
ABEV,2326,2025-04-03,False
ABEV,2582,2026-04-14,False
ABFL,990,2020-09-03,False
ABFL,1326,2022-01-04,False
ABFL,1962,2024-07-18,False
ABFL,2396,2026-04-14,False
ABLD,705,2024-10-07,False
ABLD,937,2025-09-11,False
ABLD,942,2025-09-18,False
ABLG,1666,2024-02-12,False
ABM,2159,2024-08-02,False
ABOT,937,2024-08-30,False
ABR,1224,2020-11-11,False
ABR,2231,2024-11-13,False
ABT,1175,2020-09-02,False
ACA,773,2021-11-24,False
ACA,1217,2023-09-01,False
ACA,1810,2026-01-14,False
ACAD,1799,2023-03-01,False
ACAD,1891,2023-07-13,False
ACEL,1956,2026-03-05,False
ACES,1508,2024-07-12,False
ACES,1510,2024-07-16,False
ACGL,1224,2020-11-11,False
ACGL,1485,2021-11-24,False
ACGL,1501,2021-12-17,False
ACGL,1586,2022-04-21,False
ACGL,1702,2022-10-06,False
ACGL,2203,2024-10-04,False
ACGL,2538,2026-02-06,False
ACGR,765,2023-02-02,False
ACGR,768,2023-02-07,False
ACGR,919,2023-09-14,False
ACGR,1438,2025-10-09,False
ACHC,1586,2022-04-21,False
ACHC,2050,2024-02-27,False
ACHR,1148,2025-07-18,True
ACI,147,2021-01-27,False
ACI,281,2021-08-09,False
ACI,1145,2025-01-16,False
ACI,1165,2025-02-14,False
ACIO,1572,2025-10-09,False
ACIO,1589,2025-11-03,False
ACIW,1013,2020-01-13,False
ACM,1929,2023-09-01,False
ACMR,544,2020-01-06,False
ACN,1176,2020-09-03,False
ACN,1861,2023-05-25,False
ACN,1934,2023-09-11,False
ACN,2058,2024-03-08,False
ACN,2189,2024-09-16,False
ACNB,1306,2021-03-15,False
ACNB,1616,2022-06-06,False
ACNB,2481,2025-11-14,False
ACR,1041,2020-02-24,False
ACRE,1347,2021-05-11,False
ACSI,830,2020-02-21,False
ACSI,1064,2021-01-26,False
ACSI,1991,2024-10-02,False
ACSI,1993,2024-10-04,False
ACSI,2310,2026-01-12,False
ACT,493,2023-09-01,False
ACVF,1241,2025-10-09,False
ACVF,1309,2026-01-16,False
ACWI,2456,2025-10-09,False
ACWI,2524,2026-01-16,False
ACWI,2582,2026-04-14,False
