ticker,E_idx,date,example_matched
A,1006,2020-01-02,False
A,1020,2020-01-23,False
A,1115,2020-06-09,False
A,1147,2020-07-24,False
A,1150,2020-07-29,False
A,1153,2020-08-03,False
A,1155,2020-08-05,False
A,1157,2020-08-07,False
A,1170,2020-08-26,False
A,1175,2020-09-02,False
A,1197,2020-10-05,False
A,1200,2020-10-08,False
A,1206,2020-10-16,False
A,1208,2020-10-20,False
A,1210,2020-10-22,False
A,1220,2020-11-05,False
A,1222,2020-11-09,False
A,1225,2020-11-12,False
A,1235,2020-11-27,False
A,1237,2020-12-01,False
A,1240,2020-12-04,False
A,1245,2020-12-11,False
A,1247,2020-12-15,False
A,1251,2020-12-21,False
A,1271,2021-01-21,False
A,1289,2021-02-17,False
A,1325,2021-04-09,False
A,1337,2021-04-27,False
A,1360,2021-05-28,False
A,1380,2021-06-28,False
A,1390,2021-07-13,False
A,1398,2021-07-23,False
A,1405,2021-08-03,False
A,1431,2021-09-09,False
A,1668,2022-08-18,False
A,1735,2022-11-22,False
A,1737,2022-11-25,False
A,1768,2023-01-11,False
A,2003,2023-12-18,False
A,2010,2023-12-28,False
A,2055,2024-03-05,False
A,2061,2024-03-13,False
A,2102,2024-05-10,False
A,2110,2024-05-22,False
A,2201,2024-10-02,False
A,2275,2025-01-21,False
A,2277,2025-01-23,False
A,2279,2025-01-27,False
A,2427,2025-08-28,False
A,2430,2025-09-03,False
A,2432,2025-09-05,False
A,2434,2025-09-09,False
A,2450,2025-10-01,False
A,2456,2025-10-09,False
A,2468,2025-10-27,False
A,2479,2025-11-11,False
A,2482,2025-11-14,False
A,2487,2025-11-21,False
A,2489,2025-11-25,False
A,2491,2025-11-28,False
AA,1229,2020-11-18,False
AA,1241,2020-12-07,False
AA,1434,2021-09-14,False
AA,1538,2022-02-10,False
AA,1544,2022-02-18,False
AA,2108,2024-05-20,False
AA,2116,2024-05-31,False
AA,2226,2024-11-06,False
AA,2229,2024-11-11,False
AA,2448,2025-09-29,False
AA,2457,2025-10-10,False
AA,2463,2025-10-20,False
AA,2467,2025-10-24,False
AA,2495,2025-12-04,False
AA,2500,2025-12-11,False
AA,2502,2025-12-15,False
AA,2509,2025-12-24,False
AA,2512,2025-12-30,False
AA,2515,2026-01-05,False
AA,2521,2026-01-13,False
AAA,8,2020-09-21,False
AAA,609,2023-02-09,False
AAA,731,2023-08-07,False
AAA,819,2023-12-11,False
AAA,825,2023-12-19,False
AAAA,11,2025-07-31,False
AAAA,25,2025-08-20,False
AAAA,27,2025-08-22,False
AAAA,29,2025-08-26,False
AAAA,57,2025-10-06,False
AAAA,60,2025-10-09,False
AAAA,77,2025-11-03,False
AAAA,104,2025-12-11,False
AAAA,113,2025-12-24,False
