ticker,E_idx,date,example_matched
AAA,1,2020-09-10,False
AAAA,1,2025-07-17,False
AAAC,1,2025-12-12,False
AAAU,1802,2025-10-16,False
AACB,1,2025-04-08,False
AACBR,1,2025-04-10,False
AACBU,1,2025-02-14,False
AACIU,1,2025-05-22,False
AACIU,114,2025-11-03,False
AAEQ,1,2025-12-11,False
AALG,1,2025-07-14,False
AALG,4,2025-07-17,False
AALG,8,2025-07-23,False
AAM,1,2024-09-17,False
AAMI,2387,2025-07-02,False
AAMI,2392,2025-07-10,False
AAOI,1015,2020-01-15,False
AAOX,1,2026-03-25,False
AAPB,1,2022-08-10,False
AAPB,3,2022-08-12,False
AAPD,1,2022-08-10,False
AAPD,668,2025-04-08,False
AAPG,1,2025-01-27,False
AAPG,4,2025-01-30,False
AAPG,7,2025-02-04,False
AAPL,1013,2020-01-13,False
AAPL,1156,2020-08-06,False
AAPR,1,2024-04-02,False
AAPU,1,2022-08-10,False
AAPU,3,2022-08-12,False
AAPW,1,2025-02-20,False
AAPX,1,2024-01-12,False
AAPX,4,2024-01-18,False
AAPY,1,2023-10-30,False
AAPY,3,2023-11-01,False
AARD,1,2025-02-14,False
AARD,4,2025-02-20,False
AAUC,1,2024-08-16,False
AAUGD,1,2021-03-23,False
AAUM,1,2025-10-02,False
AAUS,1,2025-07-24,False
ABCL,1,2020-12-14,False
ABCS,1,2023-12-21,False
ABEQ,1,2020-01-23,False
ABEV,2535,2026-02-03,False
ABEV,2542,2026-02-12,False
ABG,1782,2023-02-01,False
ABG,2286,2025-02-05,False
ABI,1,2025-06-27,False
ABIG,1,2025-04-10,False
ABLD,1,2021-12-16,False
ABLS,1,2025-02-20,False
ABLV,1,2022-09-13,False
ABLV,221,2023-07-31,False
ABLVW,1,2022-09-13,False
ABM,2000,2023-12-13,False
ABNB,1,2020-12-11,False
ABNB,6,2020-12-18,False
ABNG,1,2025-11-18,False
ABNG,24,2025-12-22,False
ABNY,1,2024-06-26,False
ABNY,5,2024-07-02,False
ABOS,1,2021-07-02,False
ABOT,1,2020-12-09,False
ABP,1,2022-03-10,False
ABPWW,1,2022-03-08,False
ABSI,1,2021-07-23,False
ABSI,5,2021-07-29,False
ABSI,8,2021-08-03,False
ABUF,1,2026-04-07,False
ABUS,2436,2025-09-11,False
ABVE,1,2021-04-08,False
ABVEW,1,2024-07-01,False
ABVX,1,2023-10-20,False
ABX,1,2020-09-15,False
ABXB,1,2020-12-09,False
ABXL,1,2023-11-27,False
ABXL,275,2024-12-30,False
ACAA,1,2026-04-13,False
ACAAU,1,2026-02-20,False
ACCL,1,2025-10-20,False
ACDC,1,2022-05-16,False
ACEI,1,2025-09-26,False
ACEL,1557,2024-07-31,False
ACEP,1,2025-11-24,False
ACES,629,2021-01-12,False
ACGCU,1,2026-04-08,False
ACGR,1,2020-01-22,False
ACHR,1,2020-12-21,False
ACHR,5,2020-12-28,False
ACHR,35,2021-02-10,False
ACHR-WS,1,2021-09-14,False
ACHR-WT,1,2024-12-10,False
ACHR-WT,4,2024-12-13,False
ACHR-WT,11,2024-12-24,False
ACI,1,2020-06-29,False
ACI,147,2021-01-27,False
ACI,282,2021-08-10,False
ACII,1,2025-09-26,False
ACIU,2269,2025-10-03,False
ACKY,1,2025-09-10,False
ACLC,1,2020-07-16,False
ACLO,1,2024-11-19,False
ACLX,1,2022-02-07,False
ACLX,446,2023-11-14,False
ACOG,1,2024-11-12,False
ACON,1,2022-04-25,False
ACONW,1,2022-04-25,False
ACR,2066,2024-03-20,False
ACR,2071,2024-03-27,False
ACRV,1,2022-11-16,False
ACSG,2,2025-10-20,False
ACSG,6,2025-10-24,False
ACSV,1,2025-10-17,False
ACT,1,2021-09-17,False
ACT,4,2021-09-22,False
ACTG,1271,2021-01-21,False
ACTS,1,2026-03-20,False
ACTU,1,2024-08-14,False
ACU,1912,2023-08-09,False
ACU,2154,2024-07-26,False
ACVA,1,2021-03-25,False
ACVA,3,2021-03-29,False
ACVA,5,2021-03-31,False
ACVF,1,2020-10-30,False
ACVF,5,2020-11-05,False
ACVT,1,2025-05-01,False
ACXP,1,2021-06-28,False
ACYN,1,2026-02-26,False
ADACW,1,2026-02-10,False
ADAG,1,2021-02-10,False
ADAM,1233,2020-11-24,False
ADAMG,1,2025-01-16,False
ADAMH,1,2025-07-10,False
ADAMI,1,2024-07-02,False
ADAMO,1,2026-01-15,False
ADAMZ,1,2021-11-19,False
ADBG,2,2025-03-25,False
ADBU,1,2026-03-26,False
ADCT,4,2020-05-21,False
ADCT,6,2020-05-26,False
ADCT,8,2020-05-28,False
ADEA,1703,2022-10-07,False
ADEA,1707,2022-10-13,False
ADFI,1,2020-08-19,False
ADGM,1,2024-08-05,False
ADIV,1,2021-03-30,False
ADMA,2145,2024-07-15,False
ADP,1222,2020-11-09,False
ADPV,1,2022-11-07,False
ADSE,1,2021-03-11,False
ADSE,734,2024-02-08,False
ADTX,1,2020-07-01,False
ADVB,1,2025-03-07,False
ADVB,3,2025-03-11,False
ADVE,1,2023-09-25,False
ADXN,1,2020-01-31,False
AEAE,1,2021-12-14,False
AEAE,4,2021-12-17,False
AEAEW,1,2021-12-14,False
AEAQ,1,2026-01-27,False
AEAQW,1,2026-01-27,False
AEBI,1,2025-07-03,False
AEHL,1857,2023-05-19,False
AEI,1,2020-11-25,False
AEMS,1,2025-07-02,False
AENT,1,2021-03-25,False
AENTW,1,2023-03-22,False
AEO,1909,2023-08-04,False
AEO,1913,2023-08-10,False
AEO,2494,2025-12-03,False
AEO,2502,2025-12-15,False
AEON,1,2021-04-14,False
AERO,1,2025-11-07,False
AERT,1,2021-12-20,False
AERTW,1,2021-12-22,False
AERTW,3,2021-12-27,False
AERTW,7,2021-12-31,False
AES,1269,2021-01-19,False
AESI,1,2023-03-10,False
AESR,1504,2025-12-11,False
AETH,1,2023-10-03,False
AETH,22,2023-11-01,False
AETH,28,2023-11-09,False
AETH,404,2025-05-13,False
AEVA,1,2020-02-28,False
AEVA,197,2020-12-07,False
AEXA,1,2025-09-29,False
AEXA,7,2025-10-07,False
AFBI,1,2021-01-27,False
AFBI,836,2024-05-31,False
AFCG,1,2021-03-22,False
AFG,1281,2021-02-04,True
AFGE,1,2020-09-21,False
AFIX,1,2024-12-06,False
AFJK,1,2024-01-23,False
AFJK,449,2025-11-05,False
AFJKR,1,2024-01-23,False
AFJKR,9,2024-02-15,False
AFJKU,1,2023-12-05,False
AFOS,1,2025-06-27,False
AFRI,1,2021-02-08,False
AFRIW,2,2021-02-09,False
AFRM,1,2021-01-14,False
AFRM,6,2021-01-22,False
AFRU,1,2025-09-17,False
AFRU,3,2025-09-19,False
AFSC,1,2025-02-18,False
AGBK,1,2026-02-12,False
AGBK,6,2026-02-20,False
