ticker,E_idx,date,example_matched
ACHR,1218,2025-10-27,True
ACNB,1750,2022-12-15,False
AEVA,1346,2025-07-08,True
AEVA,1355,2025-07-21,True
APP,1193,2026-01-14,True
ARM,536,2025-11-03,True
ATEN,1738,2022-11-28,False
BE,1825,2025-10-28,True
BFST,1444,2024-01-09,False
BTQ,625,2025-10-27,True
CLSK,1895,2025-10-28,True
COST,2136,2024-07-01,False
EFX,1129,2020-06-29,False
FIGR,96,2026-01-29,True
FR,2019,2024-01-11,False
FRDM,423,2021-01-27,False
G,2303,2025-03-03,False
GOGO,2415,2025-08-12,True
HIVE,2468,2025-10-27,True
IDXX,2016,2024-01-08,False
INOD,2461,2025-10-16,True
IONQ,1209,2025-10-27,True
IONQ-WS,436,2025-10-27,False
IREN,989,2025-10-28,True
LEU,2468,2025-10-27,True
LOW,1506,2021-12-27,False
MLP,2025,2024-01-29,False
OKLO,1081,2025-10-27,True
ONDS,1322,2025-10-27,True
OPEN,1325,2025-09-26,True
PARR,2404,2025-07-28,False
PATH,1136,2025-10-28,True
PAYC,2237,2024-11-21,False
PL,1131,2025-10-27,True
QS,1305,2025-10-27,True
RACE,1993,2023-12-04,False
RCG,1253,2020-12-23,False
REAL,1654,2026-01-28,True
RR,486,2025-10-27,True
SCHW,2016,2024-01-08,False
SKM,2196,2024-09-25,False
SOUN,877,2025-10-27,True
TCPC,1255,2020-12-28,False
TEVA,2114,2024-05-29,False
UPS,1182,2020-09-14,False
VITL,1286,2025-09-15,True
VSEC,2559,2026-03-10,True
WDS,2582,2026-04-14,False
WFC,2025,2024-01-22,False
WVVI,1465,2021-10-29,False
