ticker,E_idx,date,example_matched
A,1022,2020-01-27,False
A,1119,2020-06-15,False
A,1126,2020-06-24,False
A,1128,2020-06-26,False
A,1149,2020-07-28,False
A,1153,2020-08-03,False
A,1162,2020-08-14,False
A,1178,2020-09-08,False
A,1207,2020-10-19,False
A,1211,2020-10-23,False
A,1222,2020-11-09,False
A,1241,2020-12-07,False
A,1246,2020-12-14,False
A,1251,2020-12-21,False
A,1264,2021-01-11,False
A,1273,2021-01-25,False
A,1362,2021-06-02,False
A,1365,2021-06-07,False
A,1370,2021-06-14,False
A,1374,2021-06-18,False
A,1389,2021-07-12,False
A,1399,2021-07-26,False
A,1443,2021-09-27,False
A,1684,2022-09-12,False
A,1738,2022-11-28,False
A,1758,2022-12-27,False
A,2016,2024-01-08,False
A,2025,2024-01-22,False
A,2074,2024-04-02,False
A,2080,2024-04-10,False
A,2385,2025-06-30,False
A,2394,2025-07-14,False
A,2468,2025-10-27,False
A,2483,2025-11-17,False
AA,1237,2020-12-01,False
AA,1255,2020-12-28,False
AA,1265,2021-01-12,False
AA,1267,2021-01-14,False
AA,1269,2021-01-19,False
AA,1313,2021-03-23,False
AA,1316,2021-03-26,False
AA,1330,2021-04-16,False
AA,1356,2021-05-24,False
AA,1435,2021-09-15,False
AA,1438,2021-09-20,False
AA,1524,2022-01-21,False
AA,1549,2022-02-28,False
AA,1564,2022-03-21,False
AA,2079,2024-04-09,False
AA,2083,2024-04-15,False
AA,2107,2024-05-17,False
AA,2115,2024-05-30,False
AA,2123,2024-06-11,False
AA,2131,2024-06-24,False
AA,2227,2024-11-07,False
AA,2229,2024-11-11,False
AA,2243,2024-12-02,False
AA,2247,2024-12-06,False
AA,2426,2025-08-27,False
AA,2429,2025-09-02,False
AA,2466,2025-10-23,False
AA,2483,2025-11-17,False
AA,2490,2025-11-26,False
AA,2505,2025-12-18,False
AA,2534,2026-02-02,False
AA,2544,2026-02-17,False
AAA,43,2020-11-09,False
AAAA,42,2025-09-15,False
AAAC,39,2026-02-09,False
AAAU,383,2020-02-25,False
AAAU,386,2020-02-28,False
AAAU,419,2020-04-16,False
AAAU,500,2020-08-11,False
AAAU,504,2020-08-17,False
AAAU,512,2020-08-27,False
AAAU,514,2020-08-31,False
AAAU,699,2021-05-26,False
AAAU,704,2021-06-03,False
AAAU,706,2021-06-07,False
AAAU,897,2022-03-09,False
AAAU,899,2022-03-11,False
AAAU,1097,2022-12-22,False
AAAU,1107,2023-01-09,False
AAAU,1121,2023-01-30,False
AAAU,1439,2024-05-06,False
AAAU,1452,2024-05-23,False
AAAU,1540,2024-09-30,False
AAAU,1557,2024-10-23,False
AAAU,1564,2024-11-01,False
AAAU,1642,2025-02-27,False
AAAU,1654,2025-03-17,False
AAAU,1658,2025-03-21,False
AAAU,1669,2025-04-07,False
AAAU,1693,2025-05-12,False
AAAU,1703,2025-05-27,False
AAAU,1781,2025-09-17,False
AAAU,1802,2025-10-16,False
AAAU,1819,2025-11-10,False
AAAU,1833,2025-12-01,False
AAAU,1843,2025-12-15,False
AAAU,1883,2026-02-12,False
AAAU,1885,2026-02-17,False
AAAU,1899,2026-03-09,False
AAAU,1902,2026-03-12,False
AACB,43,2025-06-09,False
AACBR,3,2025-04-22,False
AACBR,100,2025-11-25,False
AACBU,41,2025-04-14,False
AACG,1280,2021-02-03,False
AACG,1666,2022-08-16,False
AACG,1804,2023-03-06,False
AACG,2229,2024-11-11,False
AACIU,40,2025-07-21,False
AACIU,113,2025-10-31,False
AADR,995,2020-01-21,False
AADR,1142,2020-08-19,False
AADR,1148,2020-08-27,False
AADR,1262,2021-02-10,False
AADR,1870,2023-07-26,False
AADR,1874,2023-08-01,False
AADR,1980,2024-01-02,False
AADR,1985,2024-01-09,False
AADR,1987,2024-01-11,False
AADR,1989,2024-01-16,False
AADR,1993,2024-01-22,False
AADR,2042,2024-04-02,False
AADR,2048,2024-04-10,False
AADR,2050,2024-04-12,False
AADR,2217,2024-12-10,False
AADR,2221,2024-12-16,False
AADR,2247,2025-01-27,False
AADR,2252,2025-02-03,False
AADR,2256,2025-02-07,False
AADR,2266,2025-02-24,False
AADR,2269,2025-02-27,False
AADR,2420,2025-10-03,False
AADR,2501,2026-01-30,False
AADR,2512,2026-02-17,False
AAEQ,40,2026-02-09,False
AAL,1273,2021-01-25,False
AAL,1326,2021-04-12,False
AAL,1749,2022-12-13,False
AAL,1906,2023-08-01,False
AAL,2020,2024-01-12,False
AAL,2051,2024-02-28,False
AAL,2054,2024-03-04,False
AAL,2246,2024-12-05,False
AAL,2262,2024-12-30,False
AAL,2275,2025-01-21,False
AAL,2282,2025-01-30,False
AAL,2385,2025-06-30,False
AAL,2507,2025-12-22,False
AAL,2516,2026-01-06,False
AAL,2518,2026-01-08,False
AAL,2520,2026-01-12,False
AALG,9,2025-07-24,False
AALG,12,2025-07-29,False
AALG,15,2025-08-01,False
AAM,45,2024-11-18,False
AAME,914,2020-02-21,False
AAME,929,2020-03-16,False
AAME,1055,2020-09-21,False
AAME,1873,2024-01-12,False
AAME,1878,2024-01-22,False
AAME,1888,2024-02-06,False
