ticker,E_idx,date,example_matched
A,1775,2023-01-23,False
AA,2560,2026-03-11,False
AAAU,1166,2023-04-04,False
AAAU,1487,2024-07-16,False
AAAU,1506,2024-08-12,False
AAAU,1676,2025-04-16,False
AADR,1015,2020-02-19,False
AADR,1234,2020-12-30,False
AADR,1952,2023-11-20,False
AADR,2001,2024-02-01,False
AADR,2255,2025-02-06,False
AADR,2391,2025-08-22,False
AADR,2468,2025-12-11,False
AAMI,1375,2021-06-21,False
AAMI,2040,2024-02-12,False
AAMI,2407,2025-07-31,False
AAON,1020,2020-01-23,False
AAON,1847,2023-05-05,False
AAP,1265,2021-01-12,False
AAP,1330,2021-04-16,False
AAPL,1247,2020-12-15,False
AAPL,1424,2021-08-30,False
AAPL,1570,2022-03-29,False
AAPL,1847,2023-05-05,False
AAPL,1895,2023-07-17,False
AAPL,1994,2023-12-05,False
AAPL,2199,2024-09-30,False
AAPL,2239,2024-11-25,True
AAPL,2479,2025-11-11,False
AAXJ,1257,2020-12-30,False
AAXJ,1361,2021-06-01,False
AAXJ,2195,2024-09-24,False
AAXJ,2547,2026-02-20,False
AB,2192,2024-09-19,False
ABBV,1341,2021-05-03,False
ABBV,1533,2022-02-03,False
ABCB,2192,2024-09-19,False
ABCB,2405,2025-07-29,False
ABFL,1680,2023-06-02,False
ABG,1666,2022-08-16,False
ABG,2104,2024-05-14,False
ABLG,1501,2023-06-15,False
ABT,2381,2025-06-24,False
ACA,1166,2023-06-21,False
ACA,1434,2024-07-16,False
ACCO,1347,2021-05-11,False
ACCS,1473,2022-03-30,False
ACEL,1590,2024-09-17,False
ACEL,1629,2024-11-11,False
ACES,1814,2025-10-01,False
ACES,1891,2026-01-22,False
ACES,1895,2026-01-28,False
ACGL,1456,2021-10-14,False
ACGL,1570,2022-03-29,False
ACGL,2056,2024-03-06,False
ACGL,2077,2024-04-05,False
ACGL,2107,2024-05-17,False
ACGL,2189,2024-09-16,False
ACGR,844,2023-05-26,False
ACGR,1087,2024-05-15,False
ACHC,1350,2021-05-14,False
ACHC,2050,2024-02-27,False
ACI,1261,2025-07-07,False
ACIW,2052,2024-02-29,False
ACIW,2143,2024-07-11,False
ACIW,2158,2024-08-01,False
ACIW,2203,2024-10-04,False
ACM,1316,2021-03-26,False
ACM,1421,2021-08-25,False
ACM,2192,2024-09-19,False
ACM,2410,2025-08-05,False
ACN,1459,2021-10-19,False
ACNB,2422,2025-08-22,False
ACNB,2474,2025-11-05,False
ACNB,2486,2025-11-21,False
ACNB,2493,2025-12-03,False
ACNT,1522,2022-01-19,False
ACNT,2492,2025-12-01,False
ACNT,2535,2026-02-03,False
ACRE,2582,2026-04-14,False
ACT,987,2025-08-22,False
ACTG,2534,2026-02-02,False
ACTG,2538,2026-02-06,False
ACWI,1866,2023-06-02,False
ACWX,2305,2025-03-05,False
ACWX,2401,2025-07-23,False
ACWX,2530,2026-01-27,False
AD,2414,2025-08-11,False
ADAM,2248,2024-12-09,False
ADBE,1116,2020-06-10,False
ADBE,1471,2021-11-04,False
ADBE,1482,2021-11-19,False
ADC,1584,2022-04-19,False
ADC,1665,2022-08-15,False
ADC,2537,2026-02-05,False
ADI,1406,2021-08-04,False
ADI,2079,2024-04-09,False
ADI,2545,2026-02-18,False
ADIV,884,2024-10-02,False
ADM,1548,2022-02-25,False
ADM,2410,2025-08-05,False
ADP,1405,2021-08-03,False
ADPV,784,2025-12-22,False
ADSE,812,2024-05-31,False
ADSK,1028,2020-02-04,False
ADT,1635,2024-07-22,False
ADTN,1275,2021-01-27,False
ADUS,1836,2023-04-20,False
ADUS,2116,2024-05-31,False
ADVE,587,2026-01-27,False
AEE,1332,2021-04-20,False
AEE,1576,2022-04-06,False
AEE,1585,2022-04-20,False
AEE,2156,2024-07-30,False
AEE,2284,2025-02-03,False
AEG,1286,2021-02-11,False
AEG,1449,2021-10-05,False
AEG,1515,2022-01-07,False
AEG,2287,2025-02-06,False
AEIS,1749,2022-12-13,False
AEIS,2226,2024-11-06,False
AEM,1578,2022-04-08,False
AEM,2059,2024-03-11,False
AEM,2282,2025-01-30,False
AEM,2321,2025-03-27,False
AEM,2400,2025-07-22,False
AEM,2425,2025-08-26,False
AEO,1294,2021-02-24,False
AEO,1981,2023-11-15,False
AEP,1400,2021-07-27,False
AEP,1515,2022-01-07,False
AEP,1576,2022-04-06,False
AEP,2147,2024-07-17,False
AEP,2406,2025-07-30,False
AEP,2470,2025-10-29,False
AEP,2580,2026-04-09,False
AER,2132,2024-06-25,False
AESR,1109,2024-05-15,False
AFG,1333,2021-04-21,False
AFG,1451,2021-10-07,False
AFG,1470,2021-11-03,False
AFG,1613,2022-05-31,False
AFG,1618,2022-06-07,False
AFG,2184,2024-09-09,False
AFK,1344,2021-05-07,False
AFK,2352,2025-05-13,False
AFK,2499,2025-12-11,False
AFL,1512,2022-01-04,False
AFL,1765,2023-01-06,False
AFL,2116,2024-05-31,False
AFL,2447,2025-09-26,False
AFMC,1187,2024-08-23,False
AFMC,1436,2025-08-22,False
AFRI,640,2023-08-23,False
AFSM,481,2021-11-01,False
AFSM,1053,2024-02-12,False
AFSM,1436,2025-08-22,False
AFYA,1113,2023-12-19,False
AGCO,1767,2023-01-10,False
AGCO,1878,2023-06-21,False
AGEM,253,2026-02-20,False
AGM,1775,2023-01-23,False
AGM,1786,2023-02-07,False
AGM,2009,2023-12-27,False
AGM-A,1543,2022-02-17,False
AGNC,1024,2020-01-29,False
AGNC,2423,2025-08-22,False
AGNC,2507,2025-12-22,False
AGNC,2530,2026-01-27,False
AGNCL,640,2025-03-31,False
AGNG,941,2020-02-05,False
AGO,1548,2022-02-25,False
AGO,1727,2022-11-10,False
AGO,1980,2023-11-14,False
AGO,2502,2025-12-15,False
AGRO,1369,2021-06-11,False
AGX,1184,2020-09-16,False
AGX,1223,2020-11-10,False
AGX,1290,2021-02-18,False
AHH,1512,2022-01-04,False
AHH,2144,2024-07-12,False
AHR,184,2024-10-30,False
AHR,314,2025-05-09,False
AHR,348,2025-06-30,False
AHR,357,2025-07-14,False
AHRT,1512,2022-01-04,False
AHRT,2144,2024-07-12,False
AIA,2313,2025-03-17,False
AIA,2401,2025-07-23,False
AIA,2416,2025-08-13,False
