ticker,E_idx,date,example_matched
A,1006,2020-01-02,False
A,1010,2020-01-08,False
A,1015,2020-01-15,False
A,1041,2020-02-24,False
A,1050,2020-03-06,False
A,1068,2020-04-01,False
A,1070,2020-04-03,False
A,1073,2020-04-08,False
A,1140,2020-07-15,False
A,1148,2020-07-27,False
A,1150,2020-07-29,False
A,1161,2020-08-13,False
A,1170,2020-08-26,False
A,1174,2020-09-01,False
A,1193,2020-09-29,False
A,1197,2020-10-05,False
A,1206,2020-10-16,False
A,1219,2020-11-04,False
A,1233,2020-11-24,False
A,1240,2020-12-04,False
A,1242,2020-12-08,False
A,1261,2021-01-06,False
A,1270,2021-01-20,False
A,1287,2021-02-12,False
A,1289,2021-02-17,False
A,1300,2021-03-04,False
A,1321,2021-04-05,False
A,1327,2021-04-13,False
A,1329,2021-04-15,False
A,1335,2021-04-23,False
A,1360,2021-05-28,False
A,1367,2021-06-09,False
A,1371,2021-06-15,False
A,1373,2021-06-17,False
A,1381,2021-06-29,False
A,1384,2021-07-02,False
A,1388,2021-07-09,False
A,1398,2021-07-23,False
A,1407,2021-08-05,False
A,1412,2021-08-12,False
A,1448,2021-10-04,False
A,1465,2021-10-27,False
A,1471,2021-11-04,False
A,1484,2021-11-23,False
A,1498,2021-12-14,False
A,1500,2021-12-16,False
A,1512,2022-01-04,False
A,1519,2022-01-13,False
A,1533,2022-02-03,False
A,1539,2022-02-11,False
A,1572,2022-03-31,False
A,1579,2022-04-11,False
A,1586,2022-04-21,False
A,1596,2022-05-05,False
A,1610,2022-05-25,False
A,1614,2022-06-01,False
A,1621,2022-06-10,False
A,1643,2022-07-14,False
A,1645,2022-07-18,False
A,1654,2022-07-29,False
A,1667,2022-08-17,False
A,1684,2022-09-12,False
A,1694,2022-09-26,False
A,1698,2022-09-30,False
A,1718,2022-10-28,False
A,1720,2022-11-01,False
A,1727,2022-11-10,False
A,1735,2022-11-22,False
A,1768,2023-01-11,False
A,1775,2023-01-23,False
A,1793,2023-02-16,False
A,1836,2023-04-20,False
A,1839,2023-04-25,False
A,1844,2023-05-02,False
A,1877,2023-06-20,False
A,1886,2023-07-03,False
A,1893,2023-07-13,False
A,1895,2023-07-17,False
A,1911,2023-08-08,False
A,1921,2023-08-22,False
A,1930,2023-09-05,False
A,1985,2023-11-21,False
A,1992,2023-12-01,False
A,2000,2023-12-13,False
