ticker,E_idx,date,example_matched
AA,2500,2025-12-11,True
AAMI,2407,2025-07-31,False
AAPL,1174,2020-09-01,False
ABEV,2549,2026-02-24,False
ACES,402,2020-02-19,False
ADMA,2025,2024-01-22,False
AG,2453,2025-10-06,False
AGMI,346,2025-09-22,False
ALGM,577,2023-02-15,False
AMPX,700,2025-07-02,True
ANF,1971,2023-11-01,True
ANF,1972,2023-11-02,True
ANF,1989,2023-11-28,False
ANF,2004,2023-12-19,False
ANF,2049,2024-02-26,False
APLD,1563,2025-10-01,True
ARCB,1295,2021-02-25,False
ARCB,1303,2021-03-09,False
ARHS,596,2024-03-21,False
ARIS,2531,2026-01-28,False
ARKF,1605,2025-06-24,False
ARKK,2373,2025-06-24,False
ARKQ,2248,2024-12-16,False
ARKW,1281,2021-02-09,False
ARLP,1458,2021-10-18,False
ARMN,2531,2026-01-28,False
ASA,2455,2025-10-08,False
ASAN,203,2021-07-22,False
ASC,2109,2024-05-21,False
ASML,1267,2021-01-14,False
ASML,2530,2026-01-27,False
ATRO,2535,2026-02-03,False
AUMI,443,2025-09-22,False
AUMI,531,2026-01-28,False
AVD,1584,2022-04-19,False
AVGO,1872,2023-06-12,False
AWAY,259,2021-02-24,False
AXIA,2487,2025-11-26,False
AXIA,2492,2025-12-04,False
AXL,2536,2026-02-04,False
AXON,1281,2021-02-04,True
AXR,1795,2023-07-19,False
AXTI,2467,2025-10-24,True
B,2500,2025-12-11,False
BCV,1254,2020-12-24,False
BE,1757,2025-07-23,True
BH,2254,2024-12-17,False
BH,2259,2024-12-24,False
BIDU,1257,2020-12-30,False
BIDU,1263,2021-01-08,False
BIOA,286,2025-11-17,True
BIPC,166,2020-11-24,False
BKE,2431,2025-09-04,False
BKE,2436,2025-09-11,False
BKNG,2237,2024-11-21,False
BLDP,1261,2021-01-06,True
BLOK,1496,2023-12-27,False
BLTE,892,2025-11-18,False
BNO,2565,2026-03-18,False
BOOM,1277,2021-01-29,False
BOTJ,1188,2021-06-21,False
BSM,1591,2022-04-28,False
BSVN,1461,2024-07-23,False
BVN,2455,2025-10-08,False
BVN,2539,2026-02-09,False
BWET,641,2025-11-20,False
BWLP,1932,2023-09-07,False
BWLP,2547,2026-02-20,False
BY,918,2021-02-24,False
CARR,168,2020-11-16,False
CARZ,1210,2020-11-24,False
CBU,2151,2024-07-23,False
CC,1604,2022-05-17,False
CCB,1587,2024-11-06,False
CCJ,2371,2025-06-09,False
CCL,2226,2024-11-06,False
CCNE,2149,2024-07-23,False
CECO,2423,2025-08-22,False
CEPU,1725,2024-12-11,False
CF,1564,2022-03-21,False
CG,2403,2025-07-25,False
CIB,2296,2025-02-20,False
CLS,2047,2024-02-22,False
CLS,2276,2025-01-22,False
CMC,1316,2021-03-26,False
CNL,908,2025-02-25,False
CNQ,2561,2026-03-12,False
CNX,2208,2024-10-11,False
CNXT,2436,2025-09-11,False
COKE,2009,2023-12-27,False
COPJ,733,2026-01-06,False
CRD-B,2010,2023-12-29,False
CRT,1452,2021-10-08,False
CSPI,1786,2023-02-07,False
CSPI,1935,2023-09-12,False
CSTM,2535,2026-02-03,False
CUK,2226,2024-11-06,False
CVX,1555,2022-03-08,False
DAC,1240,2020-12-04,True
DAT,800,2024-12-04,False
DCBO,270,2021-09-16,False
DCH,2536,2026-02-04,False
DCO,2398,2025-07-18,False
DD,1265,2021-01-12,False
DEC,1070,2024-11-29,False
DGII,1668,2022-08-18,False
DHT,2549,2026-02-24,False
DIG,2536,2026-02-04,False
DINO,1618,2022-06-07,False
DMLP,1615,2022-06-02,False
DNN,1944,2023-09-25,False
DOCU,545,2020-06-26,False
DOCU,549,2020-07-02,False
DOGZ,967,2021-11-04,False
DQ,1038,2020-02-19,False
EAT,2221,2024-10-30,False
EC,2526,2026-01-21,False
ECO,598,2025-11-13,False
EDN,2240,2024-11-26,False
EFXT,2535,2026-02-03,False
EH,267,2021-01-05,True
EME,2403,2025-07-25,False
ENIC,1801,2023-06-16,False
ENLT,632,2025-07-23,False
ENLT,761,2026-01-27,False
ENLT,784,2026-03-02,False
ENTA,1472,2021-11-05,False
EOSE,1324,2025-09-12,True
EOSE,1328,2025-09-18,True
EQX,2269,2025-08-22,True
ESEA,2368,2025-06-24,False
ESOA,1922,2024-11-19,False
ESP,2401,2025-07-23,False
ESQ,1091,2021-11-01,False
ETD,1283,2021-02-08,False
EVER,1424,2024-02-27,False
EVH,1452,2021-10-08,False
EWY,1260,2021-01-05,False
EWY,2547,2026-02-20,False
EXTR,1907,2023-08-02,False
FCNCA,1302,2021-03-08,False
FCX,1240,2020-12-04,False
FEIM,1978,2023-12-26,False
FIP,435,2024-04-12,False
FIP,454,2024-05-09,False
FISI,2156,2024-07-30,False
FIX,2043,2024-02-15,False
FKWL,1084,2020-04-24,False
FLKR,2075,2026-02-20,False
FLS,2550,2026-02-25,False
FNGO,314,2020-02-19,False
FOR,1854,2023-05-18,False
FRHC,717,2020-12-11,False
FRHC,1708,2024-11-20,False
FRO,2549,2026-02-24,False
FTAI,2137,2024-07-02,False
GAMB,853,2024-12-12,False
GAU,2016,2024-01-08,False
GBUG,147,2025-09-22,False
GBUG,235,2026-01-28,False
GBX,2226,2024-11-06,False
GDXJ,2443,2025-09-22,False
GDXJ,2531,2026-01-28,False
GDXU,1182,2025-08-21,True
GEV,146,2024-10-24,False
GEV,330,2025-07-23,False
GFI,2430,2025-09-03,False
GGAL,2105,2024-05-15,False
GGAL,2192,2024-09-19,False
GH,593,2021-02-12,False
GH,1550,2024-12-04,False
GIII,1999,2023-12-12,False
GILT,2295,2025-02-19,False
GILT,2460,2025-10-15,False
GLDG,2443,2025-09-22,False
GLNG,1555,2022-03-08,False
GLNG,2139,2024-07-05,False
GLOB,1420,2021-08-24,False
GNE,1618,2022-06-07,False
GOLD,2527,2026-01-22,False
GOOG,2438,2025-09-15,False
GOOGL,2438,2025-09-15,False
GOOS,988,2021-02-18,False
GRBK,1856,2023-05-18,False
GTE,1551,2022-03-02,False
GTE,2093,2024-04-29,False
GTES,774,2021-02-23,False
HAIL,784,2021-02-09,False
HAL,1535,2022-02-07,False
HBM,2075,2024-04-03,False
HROW,2185,2024-09-10,True
HUBS,1170,2020-08-26,False
HUT,1856,2025-10-01,True
HWKN,2415,2025-08-12,False
HY,2025,2024-01-22,False
HYMC,1950,2025-12-11,True
IAC,1274,2021-01-26,False
IBCP,2150,2024-07-23,False
IBLC,414,2023-12-19,False
IEZ,2536,2026-02-04,False
INTT,1828,2023-04-18,False
ION,775,2026-01-06,False
IONQ,968,2024-11-07,True
IRDM,1267,2021-01-14,False
IREN,637,2024-06-03,True
IREN,900,2025-06-23,True
IREN,901,2025-06-24,True
IRM,2146,2024-07-16,False
ITRN,2300,2025-02-26,False
IZEA,1245,2021-01-08,True
JD,1108,2020-05-29,True
JD,1121,2020-06-17,False
JEF,2146,2024-07-16,False
JETD,91,2023-10-27,False
KALU,2535,2026-02-03,False
KEN,1536,2022-02-08,False
KEN,2391,2025-07-09,False
KEN,2401,2025-07-23,False
KFS,2369,2025-06-10,False
KGC,2450,2025-10-01,False
KGEI,2266,2025-01-06,False
KLIC,1297,2021-03-01,False
KLIC,2523,2026-01-15,False
KNOP,2435,2025-09-10,False
KOMP,568,2021-02-09,False
KRP,1075,2021-05-13,False
KRT,598,2023-08-30,False
KSTR,1155,2025-08-28,False
KTOS,2436,2025-09-11,True
LAND,1366,2021-06-08,False
LCII,2536,2026-02-04,False
LFUS,1233,2020-11-24,False
LFUS,2538,2026-02-06,False
LGND,2416,2025-08-13,False
LLYVA,321,2024-11-12,False
LLYVK,321,2024-11-12,False
LMB,2284,2025-05-27,False
LMTL,142,2026-03-02,False
LNG,1568,2022-03-25,False
LOMA,1788,2024-12-11,False
LPG,1603,2022-05-16,False
LPG,1614,2022-06-01,False
LPG,1742,2022-12-02,False
LPG,1984,2023-11-20,False
LPG,2115,2024-05-30,False
LPG,2545,2026-02-18,False
LPX,1892,2023-07-12,False
LQDA,1377,2024-01-17,False
LTM,377,2026-01-27,False
LTRX,1460,2021-11-08,False
LXU,2561,2026-03-12,False
LYG,2305,2025-03-05,False
LYV,2230,2024-11-12,False
MAMA,1908,2024-05-28,False
MG,2171,2024-08-20,False
MGY,836,2021-03-05,False
MIR,1087,2024-12-16,False
MKOR,652,2026-02-20,False
MLP,2026,2024-01-30,False
MMYT,2077,2024-04-05,False
MNSO,729,2023-09-11,False
MPB,2090,2024-07-31,False
MSTR,2049,2024-02-26,True
MTA,1016,2020-01-16,False
MU,2450,2025-10-01,True
MX,1283,2021-02-08,False
NAT,2569,2026-03-24,False
NBIS,1140,2020-07-15,False
NBIS,1169,2020-08-25,False
NBTB,2151,2024-07-23,False
NESR,903,2021-03-08,False
NET,480,2021-08-10,False
NET,543,2021-11-08,False
NFLX,2043,2024-02-15,False
NGVC,2157,2024-07-31,False
NHC,2151,2024-07-23,False
NMR,2032,2024-01-31,False
NPKI,2470,2025-10-29,False
NRG,2073,2024-04-01,False
NTES,1273,2021-01-25,False
NTIC,1209,2021-01-26,False
NTR,1061,2022-03-21,False
NUE,1316,2021-03-26,False
NVMI,1480,2021-11-17,False
NXT,687,2025-11-05,False
NYAX,628,2025-07-01,False
OBE,1531,2022-02-01,False
OCCI,613,2021-03-16,False
OII,2546,2026-02-19,False
OILK,2379,2026-03-18,False
OIS,2546,2026-02-19,False
OKTA,791,2020-06-01,False
OLED,2146,2024-07-16,False
OMER,1291,2021-02-19,False
ONDS,1277,2025-08-22,True
ONLN,518,2020-08-05,False
ONTO,1267,2021-01-14,False
OOMA,2246,2024-12-05,False
OPBK,1261,2021-11-23,False
OPFI,762,2023-12-04,False
OPY,2153,2024-07-25,False
OSCR,728,2024-01-24,True
OXSQ,1322,2021-04-06,False
PAC,1015,2020-01-15,False
PAMT,1437,2021-09-17,False
PATK,2526,2026-01-21,False
PBR,2560,2026-03-11,False
PBT,2429,2025-09-02,False
PENG,1535,2023-06-30,False
PHIN,658,2026-02-11,False
PHR,394,2021-02-09,False
PRCT,670,2024-05-15,False
PRKS,1302,2021-03-08,False
PRPL,735,2020-02-04,False
PRT,965,2022-03-02,False
PSCE,2553,2026-03-02,False
PSCM,2432,2026-02-11,False
PSCT,1284,2021-02-09,False
QBTS,992,2024-11-21,True
QFIN,400,2020-07-20,False
QTWO,1252,2020-12-22,False
QUBT,1621,2024-12-16,True
QXO,2370,2025-06-06,True
RAVE,1720,2022-11-01,False
RBLX,1103,2025-07-31,False
RCL,2220,2024-10-29,False
REAL,1354,2024-11-13,True
REMX,1260,2021-01-05,False
REMX,1271,2021-01-21,False
RGTI,913,2024-12-06,True
RGTI,1117,2025-10-02,True
RHI,1293,2021-02-23,False
RJF,2226,2024-11-06,False
RKLB,953,2024-09-11,True
ROAD,652,2020-12-04,False
RUSHA,2547,2026-02-20,False
RYI,2523,2026-01-15,False
RYZ,2523,2026-01-15,False
SAH,2381,2025-06-24,False
SAIA,1480,2021-11-17,False
SAIA,1902,2023-07-26,False
SCCO,2079,2024-04-09,False
SDRL,89,2023-01-27,False
SDRL,215,2023-07-31,False
SE,830,2021-02-09,False
SENEA,2581,2026-04-10,False
SFM,2112,2024-05-24,False
SFM,2240,2024-11-26,False
SGDJ,2531,2026-01-28,False
SGHC,1008,2024-11-26,False
SIG,2001,2023-12-14,False
SII,2531,2026-01-28,False
SIL,2443,2025-09-22,False
SILJ,2443,2025-09-22,False
SILJ,2455,2025-10-08,False
SKE,2300,2026-02-09,False
SLAB,1791,2023-02-14,False
SLB,2536,2026-02-04,False
SLM,1265,2021-01-12,False
SLVP,2443,2025-09-22,False
SMG,1280,2021-02-03,False
SMWB,924,2025-01-15,False
SNBR,1261,2021-01-06,True
SOUN,646,2024-11-21,True
SSTK,1155,2020-08-05,False
STCE,346,2023-12-19,False
STEP,218,2021-07-29,False
STKS,1014,2020-02-06,False
STNG,1608,2022-05-23,False
TAC,2254,2024-12-17,False
TAIT,1241,2021-02-18,False
TBBK,1289,2021-02-17,False
TBBK,2151,2024-07-23,False
TBRG,2273,2025-01-16,False
TBRG,2290,2025-02-11,False
TBRG,2301,2025-02-27,False
TCBK,2151,2024-07-23,False
TCBX,752,2024-11-06,False
TCHI,897,2025-09-17,False
TDOC,1044,2020-02-27,False
TDW,2075,2024-04-03,False
TECL,1006,2020-01-02,False
TER,2535,2026-02-03,False
TEVA,2033,2024-02-01,False
TEXU,119,2026-03-24,False
THR,2500,2025-12-11,False
THRM,1252,2020-12-22,False
TITN,1241,2020-12-07,False
TMET,569,2026-01-06,False
TNC,2067,2024-03-21,False
TPB,2137,2024-11-06,False
TPB,2461,2026-02-25,False
TPR,2287,2025-02-06,False
TQQQ,1893,2023-07-13,False
TRGP,1372,2021-06-16,False
TSE,1240,2020-12-04,True
TSE,1302,2021-03-08,False
TSLA,2246,2024-12-05,True
TTI,2535,2026-02-03,False
TTWO,1154,2020-08-04,False
TUYA,975,2025-02-04,False
UAL,2221,2024-10-30,False
UAMY,2449,2025-10-01,True
UAN,1562,2022-03-17,True
UFI,1281,2021-02-04,False
UFO,1574,2025-07-17,False
UGA,2565,2026-03-18,False
UGP,1980,2023-11-14,False
UI,2277,2025-01-23,False
UIS,1275,2021-01-27,False
ULH,1615,2022-06-02,False
UNG,1443,2021-09-27,False
UPST,172,2021-08-24,True
URA,1260,2021-01-05,False
URNM,957,2023-09-25,False
USO,2573,2026-03-30,False
UTHR,1268,2021-01-15,False
UVE,2366,2025-06-02,False
VALE,1244,2020-12-10,False
VC,1240,2020-12-04,False
VITL,957,2024-05-21,False
VNDA,1294,2021-02-24,False
VNET,1048,2020-03-04,False
VOC,1555,2022-03-08,False
VOXR,1301,2025-10-08,False
VRDN,2480,2025-11-12,False
VSCO,847,2024-12-02,False
VST,1871,2024-03-14,False
WDS,2566,2026-03-19,False
WF,2541,2026-02-20,False
WILC,2259,2025-08-04,False
WK,1406,2021-08-04,False
WLFC,1744,2022-12-06,False
WMS,1038,2020-02-19,False
WNTR,181,2025-12-15,False
WPM,2529,2026-01-28,False
WRBY,812,2024-12-20,False
WSM,2001,2023-12-14,False
WT,2063,2024-03-15,False
WT,2072,2024-03-28,False
WT,2075,2024-04-03,False
WT,2531,2026-01-28,False
WULF,2132,2025-09-09,True
WYY,2030,2024-01-30,False
XKST,784,2021-02-09,False
XME,1564,2022-03-21,False
XOMX,197,2026-02-04,False
XPO,1902,2023-07-26,False
ZBRA,1294,2021-02-24,False
