ticker,E_idx,date,example_matched
A,1425,2021-08-31,False
A,1431,2021-09-09,False
AA,1326,2021-04-12,False
AA,1342,2021-05-04,False
AA,1547,2022-02-24,False
AA,1551,2022-03-02,False
AA,1559,2022-03-14,False
AA,1566,2022-03-23,False
AA,2109,2024-05-21,False
AA,2111,2024-05-23,False
AA,2237,2024-11-21,False
AA,2243,2024-12-02,False
AA,2247,2024-12-06,False
AA,2500,2025-12-11,True
AA,2505,2025-12-18,False
AA,2533,2026-01-30,False
AACBR,3,2025-04-22,False
AACG,2427,2025-08-28,False
AAL,1894,2023-07-14,False
AAME,2267,2025-08-19,False
AAME,2270,2025-08-22,False
AAME,2272,2025-08-26,False
AAME,2276,2025-09-02,False
AAMI,1791,2023-02-14,False
AAMI,1793,2023-02-16,False
AAMI,1796,2023-02-22,False
AAMI,2234,2024-11-18,False
AAMI,2243,2024-12-02,False
AAMI,2247,2024-12-06,False
AAMI,2387,2025-07-02,False
AAMI,2392,2025-07-10,False
AAMI,2407,2025-07-31,False
AAMI,2410,2025-08-05,False
AAMI,2415,2025-08-12,False
AAMI,2425,2025-08-26,False
AAMI,2427,2025-08-28,False
AAMI,2431,2025-09-04,False
AAMI,2438,2025-09-15,False
AAON,1748,2022-12-12,False
AAON,2052,2024-02-29,False
AAON,2239,2024-11-25,False
AAON,2248,2024-12-09,False
AAP,1347,2021-05-11,False
AAPB,226,2023-07-05,False
AAPB,476,2024-07-02,False
AAPB,481,2024-07-10,False
AAPB,489,2024-07-22,False
AAPG,114,2025-07-10,False
AAPL,1006,2020-01-02,False
AAPL,1009,2020-01-07,False
AAPL,1011,2020-01-09,False
AAPL,1022,2020-01-27,False
AAPL,1026,2020-01-31,False
AAPL,1146,2020-07-23,False
AAPL,1156,2020-08-06,False
AAPL,1163,2020-08-17,False
AAPL,1174,2020-09-01,False
AAPL,1178,2020-09-08,False
AAPL,2142,2024-07-10,False
AAPL,2148,2024-07-18,False
AAPU,474,2024-06-28,False
AAPU,476,2024-07-02,False
AAPU,481,2024-07-10,False
AAPU,489,2024-07-22,False
AAPX,123,2024-07-10,False
AAPX,131,2024-07-22,False
AAUC,287,2025-10-08,False
AAUC,290,2025-10-13,False
AAUC,334,2025-12-15,False
AAUC,376,2026-02-17,False
ABCB,1321,2021-04-05,False
ABEV,1370,2021-06-14,False
ABEV,2533,2026-01-30,False
ABEV,2541,2026-02-11,False
ABEV,2545,2026-02-18,False
ABEV,2547,2026-02-20,False
ABEV,2549,2026-02-24,False
ABEV,2554,2026-03-03,False
ABNB,659,2023-07-27,False
ABR,1897,2023-07-19,False
ABR,1915,2023-08-14,False
ABUS,2187,2024-09-12,False
ABUS,2189,2024-09-16,False
ABUS,2452,2025-10-03,False
ABVX,88,2024-02-27,False
ABVX,93,2024-03-05,False
ABVX,96,2024-03-08,False
ABVX,104,2024-03-20,False
ABVX,107,2024-03-25,False
ACA,296,2020-01-06,False
ACA,304,2020-01-16,False
