ticker,E_idx,date,example_matched
A,1419,2021-08-23,False
A,1425,2021-08-31,False
A,1431,2021-09-09,False
AA,1326,2021-04-12,False
AA,1346,2021-05-10,False
AA,1547,2022-02-24,False
AA,1553,2022-03-04,False
AA,1559,2022-03-14,False
AA,1566,2022-03-23,False
AA,2111,2024-05-23,False
AA,2238,2024-11-22,False
AA,2243,2024-12-02,False
AA,2247,2024-12-06,False
AA,2500,2025-12-11,True
AA,2511,2025-12-29,False
AA,2520,2026-01-12,False
AA,2533,2026-01-30,False
AAA,23,2020-10-12,False
AAAA,23,2025-08-18,False
AAAC,20,2026-01-12,False
AAAU,1803,2025-10-17,False
AAAU,1805,2025-10-21,False
AAAU,1874,2026-01-30,False
AACB,24,2025-05-12,False
AACBR,3,2025-04-22,False
AACBU,21,2025-03-17,False
AACG,2427,2025-08-28,False
AACIU,21,2025-06-23,False
AAEQ,21,2026-01-12,False
AAL,1894,2023-07-14,False
AALG,9,2025-07-24,False
AAM,25,2024-10-21,False
AAME,2247,2025-07-22,False
AAME,2251,2025-07-28,False
AAME,2267,2025-08-19,False
AAME,2276,2025-09-02,False
AAMI,1791,2023-02-14,False
AAMI,1793,2023-02-16,False
AAMI,1796,2023-02-22,False
AAMI,2227,2024-11-07,False
AAMI,2234,2024-11-18,False
AAMI,2243,2024-12-02,False
AAMI,2247,2024-12-06,False
AAMI,2411,2025-08-06,False
AAMI,2431,2025-09-04,False
AAMI,2438,2025-09-15,False
AAON,1748,2022-12-12,False
AAON,1824,2023-04-03,False
AAON,2052,2024-02-29,False
AAON,2079,2024-04-09,False
AAON,2221,2024-10-30,False
AAON,2228,2024-11-08,False
AAON,2239,2024-11-25,False
AAON,2248,2024-12-09,False
AAOX,9,2026-04-07,False
AAP,1347,2021-05-11,False
AAPB,14,2022-08-29,False
AAPB,226,2023-07-05,False
AAPB,478,2024-07-05,False
AAPB,489,2024-07-22,False
AAPD,23,2022-09-12,False
AAPD,29,2022-09-20,False
AAPD,34,2022-09-27,False
AAPD,39,2022-10-04,False
AAPD,43,2022-10-10,False
AAPD,46,2022-10-13,False
AAPD,48,2022-10-17,False
AAPG,19,2025-02-21,False
AAPG,25,2025-03-03,False
AAPG,30,2025-03-10,False
AAPG,114,2025-07-10,False
AAPL,1009,2020-01-07,False
AAPL,1022,2020-01-27,False
AAPL,1026,2020-01-31,False
AAPL,1133,2020-07-06,False
AAPL,1146,2020-07-23,False
AAPL,1163,2020-08-17,False
AAPL,1178,2020-09-08,False
AAPL,2148,2024-07-18,False
AAPR,25,2024-05-06,False
AAPU,14,2022-08-29,False
AAPU,474,2024-06-28,False
AAPU,478,2024-07-05,False
AAPU,489,2024-07-22,False
AAPW,13,2025-03-10,False
AAPW,158,2025-10-06,False
AAPX,21,2024-02-12,False
AAPX,112,2024-06-24,False
AAPX,116,2024-06-28,False
AAPX,120,2024-07-05,False
AAPX,131,2024-07-22,False
AAPY,25,2023-12-04,False
AARD,12,2025-03-04,False
AAT,2019,2024-01-11,False
AAT,2180,2024-09-03,False
AAUC,12,2024-09-03,False
AAUC,127,2025-02-19,False
AAUC,130,2025-02-24,False
AAUC,290,2025-10-13,False
AAUC,334,2025-12-15,False
AAUC,376,2026-02-17,False
AAUGD,24,2021-04-26,False
AAUM,18,2025-10-27,False
AAUS,23,2025-08-25,False
AB,1284,2021-02-09,False
AB,1312,2021-03-22,False
ABBV,1510,2021-12-31,False
ABBV,1579,2022-04-11,False
ABBV,2453,2025-10-06,False
ABCB,1321,2021-04-05,False
ABCB,2152,2024-07-24,False
ABCB,2155,2024-07-29,False
