ticker,E_idx,date,example_matched
AAOI,2044,2024-02-16,True
AAVM,2246,2026-04-14,False
AAXJ,2582,2026-04-14,False
AB,1347,2021-05-11,False
AB,2497,2025-12-08,False
ABEV,2582,2026-04-14,False
ABFL,2396,2026-04-14,False
ACHR,1148,2025-07-18,True
ACN,1176,2020-09-03,False
ACNB,1306,2021-03-15,False
ACRE,1347,2021-05-11,False
ACWX,2582,2026-04-14,False
ADAMM,1632,2026-04-14,False
ADTN,2582,2026-04-14,False
AEE,2491,2025-11-28,True
AEP,2582,2026-04-14,False
AFMC,1595,2026-04-14,False
AFSM,456,2021-09-27,False
AFSM,1595,2026-04-14,False
AHR,268,2025-03-05,False
AIA,2553,2026-03-02,False
AIA,2582,2026-04-14,False
AIR,1619,2022-06-08,True
AIRR,2577,2026-04-14,False
AIS,338,2026-04-14,False
AIVC,2537,2026-04-14,False
AIVI,2582,2026-04-14,False
AKAM,2041,2024-02-13,False
ALCO,2582,2026-04-14,False
ALNT,2582,2026-04-14,False
ALTS,2296,2025-02-20,True
AMGN,2036,2024-02-06,False
AMOM,1732,2026-04-14,False
AMTB,1913,2026-04-14,False
AMWD,2053,2024-03-01,False
AMX,1371,2021-06-15,False
AMX,2582,2026-04-14,False
AMZA,1994,2023-12-05,False
AON,1040,2020-02-21,False
AOTG,378,2023-12-29,False
APG,867,2023-01-18,False
APO,1772,2023-01-18,False
APP,1178,2025-12-22,True
APRT,1470,2026-04-14,False
AQNB,1728,2026-04-14,False
ARES,2254,2024-12-17,False
ARLP,1558,2022-03-11,False
ARMK,2582,2026-04-14,False
AROW,2579,2026-04-14,False
ASA,1043,2020-02-26,False
ASEA,2543,2026-04-14,False
ASST,651,2025-09-10,True
ATEN,2582,2026-04-14,False
ATFV,717,2024-03-08,False
ATLO,2581,2026-04-14,False
ATO,2582,2026-04-14,False
AUB,1356,2021-05-24,False
AVAV,1859,2023-05-23,True
AVB,1041,2020-02-24,False
AVDE,1643,2026-04-14,False
AVEM,1648,2026-04-14,False
AVGE,885,2026-04-14,False
AVGV,698,2026-04-14,False
AVIV,1136,2026-04-14,False
AVLC,635,2026-04-14,False
AVLV,1141,2026-04-14,False
