ticker,date,bar_idx
IONQ,2025-10-27,1209
QS,2025-10-27,1305
APP,2026-01-14,1193
OKLO,2025-10-27,1081
INOD,2025-10-16,1455
GOGO,2025-08-12,1409
REAL,2026-01-28,1525
BTQ,2025-10-27,516
ACHR,2025-10-27,1218
AEVA,2025-07-08,1346
AEVA,2025-07-21,1355
CLSK,2025-10-28,1462
IREN,2025-10-28,989
BE,2025-10-28,1463
PL,2025-10-27,1131
PATH,2025-10-28,1136
OPEN,2025-09-26,1325
RR,2025-10-27,486
LEU,2025-10-27,1462
HIVE,2025-10-27,1462
SOUN,2025-10-27,877
VITL,2025-09-15,1286
ARM,2025-11-03,536
ONDS,2025-10-27,1261
VSEC,2026-03-10,1553
