ticker,date,bar_idx
SA,2025-08-29,1422
SKY,2021-11-03,464
STRL,2025-09-10,1429
IONQ,2025-09-11,1177
KTOS,2025-05-16,1350
KTOS,2025-09-11,1430
METC,2021-07-26,393
APP,2024-09-11,857
FTAI,2025-12-30,1506
PSIX,2025-05-12,1346
CLS,2025-05-13,1347
ALM,2025-09-15,1432
ATI,2025-12-10,1493
RH,2020-07-15,134
RCAT,2024-11-05,1219
AAPL,2024-11-25,1233
IREN,2025-06-24,901
ERO,2025-11-24,1465
SIMO,2021-12-03,485
EAT,2024-09-16,1183
SFM,2023-11-30,985
FIX,2023-02-23,791
FIX,2025-09-10,1429
QXO,2025-06-06,1364
IONQ-WS,2025-09-09,402
BAP,2025-12-02,1487
RGTI,2025-09-12,1103
WLDN,2025-05-09,1345
ASTS,2025-06-04,1312
DRN,2024-07-11,1137
SOUN,2024-11-21,646
SNBR,2020-10-02,190
AXTI,2025-10-24,1461
VITL,2024-02-20,893
TSLA,2025-09-11,1430
AMN,2021-04-22,328
LNG,2021-04-23,329
SNDK,2025-08-22,131
SNDK,2026-01-02,222
PTON,2024-10-14,1203
EOSE,2025-09-12,1324
PAG,2021-09-15,429
