ticker,date,bar_idx
BIOA,2025-11-17,286
AXON,2021-02-04,275
HYMC,2025-12-11,1494
IONQ,2024-11-07,968
HUT,2025-10-01,1444
KTOS,2025-09-11,1430
QBTS,2024-11-21,992
DAC,2020-12-04,234
EQX,2025-08-22,1417
ANF,2023-11-01,965
ANF,2023-11-02,966
HROW,2024-09-10,1179
REAL,2024-11-13,1225
UAN,2022-03-17,556
IZEA,2021-01-08,257
QUBT,2024-12-16,1243
IREN,2024-06-03,637
IREN,2025-06-23,900
IREN,2025-06-24,901
BLDP,2021-01-06,255
BE,2025-07-23,1395
UPST,2021-08-24,172
QXO,2025-06-06,1364
GDXU,2025-08-21,1182
RKLB,2024-09-11,953
RGTI,2024-12-06,913
RGTI,2025-10-02,1117
OSCR,2024-01-24,728
MSTR,2024-02-26,1043
AMPX,2025-07-02,700
EH,2021-01-05,254
MU,2025-10-01,1444
SOUN,2024-11-21,646
TSE,2020-12-04,234
SNBR,2021-01-06,255
AXTI,2025-10-24,1461
TSLA,2024-12-05,1240
WULF,2025-09-09,1404
AA,2025-12-11,1494
ONDS,2025-08-22,1216
APLD,2025-10-01,1272
UAMY,2025-10-01,1443
EOSE,2025-09-12,1324
EOSE,2025-09-18,1328
