ticker,date,bar_idx
FFIC,2024-11-25,1233
VRTX,2024-11-11,1223
MOD,2025-01-22,1270
NUE,2022-01-05,507
REPX,2025-01-21,1269
LABU,2024-11-11,1223
APP,2025-12-22,1178
PRKS,2022-04-21,580
FTAI,2025-01-10,1263
GAP,2024-06-03,1111
NOW,2023-09-11,928
PSIX,2025-09-24,1439
DELL,2022-02-10,532
NSP,2023-06-09,865
PNR,2024-05-15,1099
NAIL,2024-10-18,1207
GFS,2023-04-03,358
SERV,2025-01-06,208
BETR,2025-10-24,1127
NEOV,2025-01-06,1164
HNRG,2022-08-23,665
WING,2024-09-24,1189
CVNA,2023-09-15,932
CVNA,2026-01-23,1522
VCTR,2025-02-10,1283
ISRG,2021-12-31,504
GH,2025-05-01,1338
BTBT,2025-10-20,1457
AAOI,2024-02-16,1038
TJX,2022-01-05,507
ACHR,2025-07-18,1148
AVAV,2023-05-23,853
CELH,2024-05-22,1104
WHD,2024-11-25,1233
DNLI,2024-11-11,1223
PR,2022-06-08,613
PDS,2024-07-31,1151
ZVRA,2024-02-20,1039
SFM,2025-06-03,1361
GRPN,2025-08-07,1406
AX,2022-01-13,513
AEE,2025-11-28,1485
CEPU,2023-08-29,920
FITB,2022-02-10,532
UTSL,2024-11-27,1235
WAL,2022-01-12,512
SLS,2025-10-20,1457
MPC,2023-04-03,818
LOPE,2024-08-01,1152
ASST,2025-09-10,651
TRNS,2024-07-24,1146
EME,2025-01-22,1270
MSFT,2025-10-28,1463
ZIM,2024-07-02,861
EBC,2025-02-06,1082
SMCI,2022-06-06,611
SOUN,2023-06-29,293
DNTH,2024-11-08,1222
HAL,2022-06-09,614
LTH,2025-05-08,899
FRT,2024-11-29,1236
INVA,2022-04-05,569
CSL,2022-06-08,613
ALTS,2025-02-20,1290
HCC,2022-06-07,612
FUBO,2025-09-23,1438
GTM,2025-11-04,1362
WGO,2024-04-01,1066
ROOT,2024-05-01,881
AIR,2022-06-08,613
MET,2022-04-21,580
KYMR,2024-11-11,1062
PACB,2026-01-23,1522
