ticker,date,bar_idx
LMND,2024-11-05,1093
LMND,2024-11-06,1094
MOD,2023-06-02,860
RHP,2020-11-13,220
EQX,2025-08-22,1417
HTOO,2020-11-25,167
OGI,2021-02-08,277
AGO,2023-12-19,998
NHI,2024-03-04,1048
REAL,2024-11-13,1225
GME,2021-01-22,266
CHEF,2024-12-03,1238
BB,2024-12-20,1251
HTT,2021-01-12,259
AR,2020-12-17,243
QUBT,2024-11-20,1226
PRTA,2021-06-07,359
PL,2025-09-11,1099
CR,2023-10-31,149
OSCR,2024-01-24,728
RR,2024-12-23,276
CLNE,2020-11-20,225
ASTS,2024-05-28,1057
FORM,2026-01-08,1512
SOUN,2024-02-26,458
SOUN,2024-11-29,651
FTDR,2024-08-06,1155
AFG,2021-02-04,275
PRCH,2023-11-24,974
EOSE,2025-09-18,1328
