ticker,E_idx,date,example_matched
AAAU,1802,2025-10-16,False
AAMI,2387,2025-07-02,False
AAMI,2392,2025-07-10,False
AAOI,1015,2020-01-15,False
AAPD,668,2025-04-08,False
AAPL,1013,2020-01-13,False
AAPL,1156,2020-08-06,False
ABEV,2535,2026-02-03,False
ABEV,2542,2026-02-12,False
ABG,1782,2023-02-01,False
ABG,2286,2025-02-05,False
ABLV,221,2023-07-31,False
ABM,2000,2023-12-13,False
ABUS,2436,2025-09-11,False
ABXL,275,2024-12-30,False
ACEL,1557,2024-07-31,False
ACES,629,2021-01-12,False
ACI,147,2021-01-27,False
ACI,282,2021-08-10,False
ACIU,2269,2025-10-03,False
ACLX,446,2023-11-14,False
ACR,2066,2024-03-20,False
ACR,2071,2024-03-27,False
ACTG,1271,2021-01-21,False
ACU,1912,2023-08-09,False
ACU,2154,2024-07-26,False
ADAM,1233,2020-11-24,False
ADEA,1703,2022-10-07,False
ADEA,1707,2022-10-13,False
ADMA,2145,2024-07-15,False
ADP,1222,2020-11-09,False
ADSE,734,2024-02-08,False
AEHL,1857,2023-05-19,False
AEO,1909,2023-08-04,False
AEO,1913,2023-08-10,False
AEO,2494,2025-12-03,False
AEO,2502,2025-12-15,False
AES,1269,2021-01-19,False
AESR,1504,2025-12-11,False
AETH,404,2025-05-13,False
AEVA,197,2020-12-07,False
AFBI,836,2024-05-31,False
AFG,1281,2021-02-04,True
AFJK,449,2025-11-05,False
AGCO,2538,2026-02-06,False
AGCO,2541,2026-02-11,False
AGM,2151,2024-07-23,False
AGO,2004,2023-12-19,True
AGRO,1550,2022-03-01,False
AGRO,1552,2022-03-03,False
AGRO,2564,2026-03-17,False
AGRO,2570,2026-03-25,False
AGX,2082,2024-04-12,False
AGX,2087,2024-04-19,False
AGYS,2362,2025-05-27,False
AHH,1472,2021-11-05,False
AHR,109,2024-07-16,False
AHR,137,2024-08-23,False
AHRT,1472,2021-11-05,False
AIBD,55,2024-08-05,False
AIIO,395,2021-12-01,False
AIN,1229,2020-11-18,False
AIR,2397,2025-07-17,False
AIR,2522,2026-01-14,False
ALB,1410,2021-08-10,False
ALC,453,2021-01-26,False
ALCYU,668,2025-12-31,False
ALCYU,671,2026-01-06,False
ALGN,1783,2023-02-02,False
ALLT,1028,2020-02-04,False
ALMS,364,2025-12-10,False
ALMU,65,2023-02-22,False
ALMU,69,2023-02-28,False
ALNT,1662,2022-08-10,False
ALNT,1666,2022-08-16,False
ALNY,2131,2024-06-24,False
ALOY,976,2020-06-17,False
ALRM,1221,2020-11-06,False
ALSN,2226,2024-11-06,False
ALT,1427,2021-09-02,False
ALTG,939,2023-01-17,False
AM,2211,2026-02-20,False
AMAL,1503,2024-07-22,False
AMBA,1240,2020-12-04,False
AMCX,1274,2021-01-26,False
AMCX,2110,2024-05-22,False
AMD,1473,2021-11-08,False
AMG,1287,2021-02-12,False
AMKR,2001,2023-12-14,False
AMN,1036,2020-02-14,False
AMR,1752,2023-09-14,False
AMRC,1040,2020-02-21,False
AMSC,2119,2024-06-05,False
AMTD,621,2022-01-20,False
AMWD,1862,2023-05-26,False
AMWD,1869,2023-06-07,False
AMX,1228,2020-11-17,False
AMZA,2242,2024-11-29,False
ANAB,944,2020-10-26,False
ANAB,1204,2021-11-05,False
ANDE,1549,2022-02-28,False
ANDE,1798,2023-02-24,False
ANET,1469,2021-11-02,False
ANF,1306,2021-03-12,False
ANF,2004,2023-12-19,False
ANGO,1871,2023-06-09,False
ANIK,2551,2026-02-26,False
ANIK,2558,2026-03-09,False
AORT,1344,2021-05-06,False
AOSL,1443,2021-09-27,False
AOUT,1084,2024-12-12,False
APA,2571,2026-03-26,False
APAC,689,2026-02-02,False
APEI,2562,2026-03-13,False
APGE,167,2024-03-12,False
APPF,2408,2025-08-01,False
APT,1018,2020-01-21,False
APT,1922,2023-08-23,False
APTV,1265,2021-01-12,False
AQB,2175,2025-09-04,False
AR,1249,2020-12-17,True
ARCB,1786,2023-02-07,False
ARCO,1347,2021-05-11,False
ARGX,760,2020-06-02,False
ARGX,1549,2023-07-21,False
ARKB,218,2024-11-21,False
ARKO,661,2021-09-02,False
ARKW,1894,2023-07-19,False
ARKX,1204,2026-01-14,False
ARQQ,109,2021-09-07,False
ARVLF,147,2020-11-18,False
ARW,2538,2026-02-06,False
ASA,2448,2025-09-29,False
ASA,2460,2025-10-15,False
ASAN,180,2021-06-18,False
